Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5642,0.0066,0.5325
Layer 1,1,0.5591,0.0041,0.5441
Layer 2,2,0.5548,0.0079,0.5471
Layer 3,3,0.5537,0.0051,0.5489
Layer 4,4,0.5526,0.0059,0.5478
Layer 5,5,0.551,0.008,0.5469
Layer 6,6,0.5584,0.0101,0.555
Layer 7,7,0.5655,0.0093,0.5616
Layer 8,8,0.5695,0.0035,0.5661
Layer 9,9,0.5668,0.0062,0.5642
Layer 10,10,0.5661,0.0082,0.5629
Layer 11,11,0.5668,0.009,0.5645
Layer 12,12,0.5672,0.0074,0.5638
Layer 13,13,0.564,0.0056,0.5611
Layer 14,14,0.5617,0.0094,0.5602
Layer 15,15,0.5657,0.0032,0.563
Layer 16,16,0.5695,0.0051,0.5678
Layer 17,17,0.5796,0.0083,0.5777
Layer 18,18,0.5765,0.0067,0.5747
Layer 19,19,0.5757,0.0129,0.5743
Layer 20,20,0.5774,0.0112,0.5766
Layer 21,21,0.5758,0.0126,0.5734
Layer 22,22,0.5819,0.0083,0.5762
Layer 23,23,0.5771,0.0039,0.5727
Layer 24,24,0.5728,0.0064,0.5695
