Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3523,0.0187,0.3492
Layer 1,1,0.4391,0.0206,0.4384
Layer 2,2,0.4944,0.009,0.4924
Layer 3,3,0.5514,0.0199,0.5494
Layer 4,4,0.5475,0.0128,0.5463
Layer 5,5,0.5488,0.0118,0.5478
Layer 6,6,0.5376,0.0248,0.5368
Layer 7,7,0.5324,0.0326,0.5314
Layer 8,8,0.5233,0.0379,0.5225
Layer 9,9,0.5194,0.016,0.5178
Layer 10,10,0.5138,0.0292,0.5129
Layer 11,11,0.5168,0.0264,0.5165
Layer 12,12,0.5052,0.0204,0.5059
Layer 13,13,0.4961,0.0206,0.4961
Layer 14,14,0.4797,0.0152,0.4802
Layer 15,15,0.4681,0.0221,0.4676
Layer 16,16,0.4642,0.0172,0.4642
Layer 17,17,0.4538,0.0284,0.4528
Layer 18,18,0.4473,0.0205,0.4461
Layer 19,19,0.4314,0.0205,0.4305
Layer 20,20,0.4339,0.0193,0.4341
Layer 21,21,0.4326,0.0206,0.4332
Layer 22,22,0.3912,0.0182,0.3907
Layer 23,23,0.3662,0.0156,0.3643
Layer 24,24,0.3679,0.0232,0.3668
