Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.75,0.0147,0.7476
Layer 1,1,0.8,0.0332,0.798
Layer 2,2,0.8417,0.0212,0.8413
Layer 3,3,0.8458,0.0167,0.8453
Layer 4,4,0.8542,0.0401,0.8526
Layer 5,5,0.8604,0.0204,0.8583
Layer 6,6,0.8875,0.0179,0.8868
Layer 7,7,0.875,0.0287,0.8746
Layer 8,8,0.8771,0.0283,0.8764
Layer 9,9,0.8667,0.0212,0.866
Layer 10,10,0.8542,0.0066,0.8541
Layer 11,11,0.8438,0.0208,0.843
Layer 12,12,0.8312,0.0275,0.8305
Layer 13,13,0.8438,0.0238,0.8435
Layer 14,14,0.8417,0.029,0.8425
Layer 15,15,0.8521,0.0305,0.8529
Layer 16,16,0.8583,0.0182,0.8586
Layer 17,17,0.8833,0.0121,0.8832
Layer 18,18,0.8667,0.0167,0.8669
Layer 19,19,0.8667,0.0138,0.8662
Layer 20,20,0.8458,0.0191,0.8468
Layer 21,21,0.8458,0.0153,0.8458
Layer 22,22,0.8292,0.0252,0.8267
Layer 23,23,0.8083,0.0268,0.8086
Layer 24,24,0.8188,0.0169,0.8189
