Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3417,0.0557,0.3385
Layer 1,1,0.3854,0.039,0.3817
Layer 2,2,0.4188,0.0298,0.4123
Layer 3,3,0.4146,0.0332,0.4033
Layer 4,4,0.3854,0.0563,0.3758
Layer 5,5,0.4229,0.0415,0.4148
Layer 6,6,0.4021,0.0591,0.3897
Layer 7,7,0.375,0.0669,0.3651
Layer 8,8,0.3625,0.0369,0.3534
Layer 9,9,0.3604,0.0268,0.353
Layer 10,10,0.3562,0.0121,0.3545
Layer 11,11,0.3708,0.0204,0.3638
Layer 12,12,0.3521,0.0078,0.3458
Layer 13,13,0.3688,0.0214,0.3653
Layer 14,14,0.3688,0.0299,0.365
Layer 15,15,0.3625,0.0167,0.3576
Layer 16,16,0.3604,0.0214,0.3556
Layer 17,17,0.3854,0.0255,0.3773
Layer 18,18,0.3583,0.0313,0.3522
Layer 19,19,0.3833,0.0202,0.3781
Layer 20,20,0.3583,0.0234,0.3526
Layer 21,21,0.3375,0.0204,0.3323
Layer 22,22,0.3104,0.0167,0.3045
Layer 23,23,0.3062,0.0382,0.3003
Layer 24,24,0.2667,0.0083,0.2609
