Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.515,0.0476,0.5141
Layer 1,1,0.6341,0.0174,0.6319
Layer 2,2,0.6872,0.0295,0.6839
Layer 3,3,0.7119,0.0369,0.7114
Layer 4,4,0.7682,0.0369,0.7666
Layer 5,5,0.8129,0.0303,0.81
Layer 6,6,0.8493,0.0226,0.8474
Layer 7,7,0.8494,0.0181,0.8463
Layer 8,8,0.8659,0.0167,0.8637
Layer 9,9,0.8774,0.0374,0.8766
Layer 10,10,0.8807,0.0378,0.8799
Layer 11,11,0.8858,0.032,0.8845
Layer 12,12,0.889,0.0214,0.8879
Layer 13,13,0.9023,0.0194,0.9012
Layer 14,14,0.8808,0.0298,0.8798
Layer 15,15,0.8643,0.0169,0.8623
Layer 16,16,0.8791,0.0171,0.8781
Layer 17,17,0.8907,0.022,0.8896
Layer 18,18,0.8907,0.0224,0.8904
Layer 19,19,0.8824,0.0162,0.8817
Layer 20,20,0.8725,0.0113,0.8713
Layer 21,21,0.8808,0.01,0.8804
Layer 22,22,0.8692,0.0171,0.8686
Layer 23,23,0.8444,0.02,0.8426
Layer 24,24,0.8228,0.0244,0.8217
