Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8841,0.0255,0.8812
Layer 1,1,0.8598,0.0313,0.8578
Layer 2,2,0.9065,0.0244,0.9052
Layer 3,3,0.9421,0.0239,0.9415
Layer 4,4,0.9645,0.0181,0.9644
Layer 5,5,0.9738,0.0109,0.9736
Layer 6,6,0.972,0.0102,0.9719
Layer 7,7,0.9757,0.0127,0.9755
Layer 8,8,0.9701,0.0092,0.9702
Layer 9,9,0.9813,0.0059,0.9814
Layer 10,10,0.9794,0.007,0.9795
Layer 11,11,0.9813,0.0059,0.9811
Layer 12,12,0.9832,0.0124,0.9831
Layer 13,13,0.985,0.0127,0.985
Layer 14,14,0.9794,0.007,0.9793
Layer 15,15,0.9869,0.0075,0.9869
Layer 16,16,0.9813,0.0102,0.9811
Layer 17,17,0.9794,0.0109,0.9793
Layer 18,18,0.9832,0.007,0.9829
Layer 19,19,0.972,0.0084,0.9718
Layer 20,20,0.9813,0.0102,0.9813
Layer 21,21,0.9757,0.0127,0.9758
Layer 22,22,0.9645,0.0092,0.9642
Layer 23,23,0.9682,0.0127,0.9679
Layer 24,24,0.9607,0.0181,0.9605
