Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5308,0.0424,0.5254
Layer 1,1,0.6374,0.0315,0.6353
Layer 2,2,0.7308,0.0273,0.7252
Layer 3,3,0.7626,0.0337,0.7573
Layer 4,4,0.8168,0.0327,0.8113
Layer 5,5,0.8505,0.0318,0.8465
Layer 6,6,0.8561,0.0226,0.8547
Layer 7,7,0.9009,0.0395,0.8968
Layer 8,8,0.9103,0.0293,0.9086
Layer 9,9,0.9159,0.0156,0.9148
Layer 10,10,0.9234,0.026,0.9223
Layer 11,11,0.9364,0.032,0.9363
Layer 12,12,0.9421,0.0216,0.9412
Layer 13,13,0.9421,0.0232,0.9411
Layer 14,14,0.9346,0.0196,0.9337
Layer 15,15,0.9458,0.026,0.9446
Layer 16,16,0.9402,0.0173,0.9394
Layer 17,17,0.9327,0.0124,0.9319
Layer 18,18,0.9234,0.0247,0.9226
Layer 19,19,0.9252,0.0187,0.9246
Layer 20,20,0.9178,0.0161,0.9164
Layer 21,21,0.914,0.026,0.9123
Layer 22,22,0.9103,0.0241,0.9085
Layer 23,23,0.9009,0.0163,0.8994
Layer 24,24,0.9047,0.0092,0.9032
