Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.665,0.0086,0.6644
Layer 1,1,0.6778,0.0128,0.6774
Layer 2,2,0.67,0.0074,0.6698
Layer 3,3,0.6683,0.0073,0.6681
Layer 4,4,0.6751,0.0112,0.675
Layer 5,5,0.6833,0.0093,0.6831
Layer 6,6,0.6824,0.0091,0.6823
Layer 7,7,0.6832,0.0073,0.683
Layer 8,8,0.687,0.0125,0.6869
Layer 9,9,0.6875,0.0099,0.6875
Layer 10,10,0.6908,0.0117,0.6908
Layer 11,11,0.6925,0.0168,0.6923
Layer 12,12,0.6916,0.0131,0.6918
Layer 13,13,0.691,0.0171,0.6909
Layer 14,14,0.6932,0.0222,0.6931
Layer 15,15,0.6877,0.0195,0.6877
Layer 16,16,0.6908,0.024,0.6905
Layer 17,17,0.6951,0.0187,0.695
Layer 18,18,0.6899,0.0091,0.6898
Layer 19,19,0.6923,0.0152,0.6923
Layer 20,20,0.7002,0.0095,0.6999
Layer 21,21,0.6974,0.0075,0.6974
Layer 22,22,0.6936,0.0094,0.6935
Layer 23,23,0.6985,0.0054,0.6985
Layer 24,24,0.696,0.0101,0.6961
