Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5788,0.0145,0.5781
Layer 1,1,0.6143,0.0207,0.6137
Layer 2,2,0.6203,0.0186,0.6201
Layer 3,3,0.6245,0.0197,0.6242
Layer 4,4,0.6322,0.0128,0.6321
Layer 5,5,0.6416,0.0141,0.6413
Layer 6,6,0.6357,0.0156,0.6358
Layer 7,7,0.6361,0.0136,0.636
Layer 8,8,0.6429,0.0189,0.643
Layer 9,9,0.661,0.0202,0.6608
Layer 10,10,0.6632,0.0174,0.6631
Layer 11,11,0.6588,0.0113,0.6587
Layer 12,12,0.6612,0.0122,0.6609
Layer 13,13,0.6612,0.0204,0.661
Layer 14,14,0.6603,0.0247,0.6601
Layer 15,15,0.6678,0.0137,0.6678
Layer 16,16,0.6678,0.0114,0.6677
Layer 17,17,0.6701,0.0093,0.6702
Layer 18,18,0.6595,0.0095,0.6595
Layer 19,19,0.661,0.0237,0.6607
Layer 20,20,0.6681,0.0147,0.6681
Layer 21,21,0.6731,0.0099,0.6735
Layer 22,22,0.6615,0.0146,0.6617
Layer 23,23,0.68,0.0087,0.6799
Layer 24,24,0.6645,0.0128,0.6644
