Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7889,0.0263,0.7888
Layer 1,1,0.7344,0.0473,0.7326
Layer 2,2,0.8028,0.0209,0.8029
Layer 3,3,0.8295,0.0265,0.8298
Layer 4,4,0.8539,0.0228,0.8543
Layer 5,5,0.8713,0.0228,0.871
Layer 6,6,0.8863,0.0201,0.8861
Layer 7,7,0.8887,0.0222,0.8881
Layer 8,8,0.8736,0.0247,0.8738
Layer 9,9,0.8979,0.017,0.8977
Layer 10,10,0.8887,0.0142,0.8888
Layer 11,11,0.8817,0.0107,0.8815
Layer 12,12,0.8677,0.017,0.8674
Layer 13,13,0.8492,0.0296,0.8487
Layer 14,14,0.8237,0.0196,0.8222
Layer 15,15,0.8132,0.0166,0.8128
Layer 16,16,0.8167,0.0186,0.8161
Layer 17,17,0.819,0.0081,0.8196
Layer 18,18,0.8295,0.0121,0.83
Layer 19,19,0.8423,0.0155,0.8429
Layer 20,20,0.8423,0.0159,0.8426
Layer 21,21,0.833,0.0226,0.8328
Layer 22,22,0.8307,0.0206,0.8297
Layer 23,23,0.8202,0.0292,0.8189
Layer 24,24,0.8167,0.0256,0.8155
