Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6358,0.0195,0.6349
Layer 1,1,0.6659,0.0462,0.6656
Layer 2,2,0.7089,0.0508,0.7084
Layer 3,3,0.7321,0.0427,0.7316
Layer 4,4,0.7634,0.0292,0.7633
Layer 5,5,0.8109,0.0318,0.81
Layer 6,6,0.8203,0.0442,0.8188
Layer 7,7,0.8354,0.048,0.8337
Layer 8,8,0.8168,0.0237,0.8174
Layer 9,9,0.8376,0.0335,0.8376
Layer 10,10,0.8469,0.0267,0.8467
Layer 11,11,0.8492,0.0085,0.8494
Layer 12,12,0.8376,0.0167,0.8367
Layer 13,13,0.7993,0.0239,0.7978
Layer 14,14,0.7923,0.0217,0.7902
Layer 15,15,0.7749,0.0252,0.7734
Layer 16,16,0.7761,0.0257,0.7746
Layer 17,17,0.7796,0.0324,0.7786
Layer 18,18,0.7797,0.0356,0.7788
Layer 19,19,0.7866,0.0208,0.7863
Layer 20,20,0.7854,0.0161,0.7847
Layer 21,21,0.7854,0.0329,0.7851
Layer 22,22,0.7808,0.0162,0.7803
Layer 23,23,0.7831,0.0269,0.7832
Layer 24,24,0.7738,0.0295,0.7726
