Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3756,0.0171,0.3715
Layer 1,1,0.4884,0.022,0.4874
Layer 2,2,0.5639,0.0293,0.5637
Layer 3,3,0.6049,0.0192,0.6034
Layer 4,4,0.674,0.0302,0.6733
Layer 5,5,0.7025,0.0336,0.702
Layer 6,6,0.7461,0.026,0.7459
Layer 7,7,0.7496,0.0295,0.7488
Layer 8,8,0.8001,0.0145,0.7997
Layer 9,9,0.8161,0.0277,0.8157
Layer 10,10,0.8325,0.0148,0.8322
Layer 11,11,0.8437,0.0165,0.8435
Layer 12,12,0.8579,0.0141,0.8581
Layer 13,13,0.8674,0.0203,0.8676
Layer 14,14,0.8597,0.0217,0.8598
Layer 15,15,0.8562,0.0119,0.8563
Layer 16,16,0.8523,0.0175,0.8527
Layer 17,17,0.8523,0.0168,0.8523
Layer 18,18,0.842,0.0145,0.8418
Layer 19,19,0.8402,0.0166,0.84
Layer 20,20,0.8415,0.0131,0.8418
Layer 21,21,0.8446,0.0148,0.8448
Layer 22,22,0.8381,0.0157,0.838
Layer 23,23,0.8286,0.0248,0.828
Layer 24,24,0.8212,0.0132,0.821
