Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7771,0.0193,0.7761
Layer 1,1,0.6979,0.0336,0.695
Layer 2,2,0.7708,0.0114,0.7696
Layer 3,3,0.8146,0.0267,0.8127
Layer 4,4,0.8479,0.0364,0.845
Layer 5,5,0.8583,0.0352,0.8574
Layer 6,6,0.875,0.0228,0.8743
Layer 7,7,0.8917,0.0252,0.8908
Layer 8,8,0.8833,0.0202,0.8829
Layer 9,9,0.8979,0.0179,0.897
Layer 10,10,0.8771,0.0167,0.876
Layer 11,11,0.8562,0.0202,0.8533
Layer 12,12,0.8396,0.0106,0.8374
Layer 13,13,0.8188,0.0299,0.8171
Layer 14,14,0.8292,0.0252,0.8273
Layer 15,15,0.8229,0.0272,0.821
Layer 16,16,0.8479,0.0193,0.8467
Layer 17,17,0.8375,0.034,0.8371
Layer 18,18,0.8458,0.029,0.8454
Layer 19,19,0.8458,0.0319,0.8454
Layer 20,20,0.85,0.0376,0.8501
Layer 21,21,0.8708,0.0409,0.8702
Layer 22,22,0.8729,0.0267,0.8726
Layer 23,23,0.8438,0.0228,0.8434
Layer 24,24,0.8458,0.0267,0.8462
