Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3208,0.0319,0.3199
Layer 1,1,0.4312,0.0299,0.4259
Layer 2,2,0.4688,0.0688,0.463
Layer 3,3,0.4667,0.068,0.4625
Layer 4,4,0.5292,0.0468,0.5239
Layer 5,5,0.5562,0.0268,0.5512
Layer 6,6,0.5792,0.0425,0.5734
Layer 7,7,0.6271,0.0512,0.6223
Layer 8,8,0.6083,0.0306,0.6063
Layer 9,9,0.6167,0.0408,0.6111
Layer 10,10,0.6729,0.0234,0.6671
Layer 11,11,0.6667,0.0295,0.6641
Layer 12,12,0.6625,0.0193,0.6519
Layer 13,13,0.6625,0.0234,0.6527
Layer 14,14,0.6667,0.0272,0.6566
Layer 15,15,0.6729,0.032,0.6663
Layer 16,16,0.7104,0.0241,0.7025
Layer 17,17,0.7042,0.0352,0.6977
Layer 18,18,0.6917,0.0182,0.683
Layer 19,19,0.6854,0.0222,0.6792
Layer 20,20,0.6833,0.0364,0.6755
Layer 21,21,0.6667,0.028,0.662
Layer 22,22,0.65,0.0415,0.6446
Layer 23,23,0.6542,0.0463,0.647
Layer 24,24,0.6292,0.0268,0.6254
