Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.2617,0.0484,0.2595
Layer 1,1,0.462,0.0444,0.4592
Layer 2,2,0.5795,0.0279,0.5788
Layer 3,3,0.7037,0.021,0.7011
Layer 4,4,0.7897,0.0157,0.7879
Layer 5,5,0.8179,0.0332,0.8155
Layer 6,6,0.7732,0.0091,0.7709
Layer 7,7,0.7831,0.0212,0.7829
Layer 8,8,0.7252,0.0396,0.7247
Layer 9,9,0.7914,0.0464,0.7882
Layer 10,10,0.7632,0.0423,0.762
Layer 11,11,0.7367,0.0198,0.7336
Layer 12,12,0.7004,0.0185,0.696
Layer 13,13,0.6987,0.0278,0.6963
Layer 14,14,0.7268,0.0136,0.7273
Layer 15,15,0.7732,0.0249,0.7729
Layer 16,16,0.8112,0.0158,0.8094
Layer 17,17,0.8542,0.0265,0.8545
Layer 18,18,0.7946,0.032,0.793
Layer 19,19,0.7583,0.03,0.7583
Layer 20,20,0.7649,0.032,0.764
Layer 21,21,0.7086,0.0395,0.7079
Layer 22,22,0.649,0.0313,0.6465
Layer 23,23,0.6028,0.0435,0.6018
Layer 24,24,0.4934,0.0169,0.4893
