Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4822,0.0348,0.4808
Layer 1,1,0.8523,0.0171,0.8506
Layer 2,2,0.9252,0.0132,0.9247
Layer 3,3,0.9589,0.014,0.9581
Layer 4,4,0.9664,0.0095,0.9661
Layer 5,5,0.9495,0.0173,0.9491
Layer 6,6,0.9421,0.028,0.9419
Layer 7,7,0.9533,0.0156,0.9522
Layer 8,8,0.9383,0.0152,0.9382
Layer 9,9,0.9626,0.0205,0.962
Layer 10,10,0.9458,0.0181,0.9452
Layer 11,11,0.929,0.014,0.9285
Layer 12,12,0.929,0.0127,0.9284
Layer 13,13,0.9308,0.0163,0.9297
Layer 14,14,0.9551,0.0137,0.9546
Layer 15,15,0.957,0.014,0.9565
Layer 16,16,0.9738,0.0171,0.9734
Layer 17,17,0.9869,0.0095,0.9868
Layer 18,18,0.9682,0.0095,0.9678
Layer 19,19,0.9701,0.0109,0.9699
Layer 20,20,0.9701,0.015,0.97
Layer 21,21,0.9495,0.0218,0.9494
Layer 22,22,0.9159,0.0426,0.9157
Layer 23,23,0.9103,0.0412,0.91
Layer 24,24,0.843,0.0463,0.8414
