Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4172,0.0053,0.4158
Layer 1,1,0.58,0.0113,0.5801
Layer 2,2,0.5929,0.0194,0.5926
Layer 3,3,0.6299,0.0131,0.6297
Layer 4,4,0.6319,0.011,0.6316
Layer 5,5,0.6352,0.0098,0.6348
Layer 6,6,0.6463,0.0149,0.6465
Layer 7,7,0.6432,0.0092,0.6433
Layer 8,8,0.6359,0.0132,0.6354
Layer 9,9,0.6577,0.0107,0.6575
Layer 10,10,0.6531,0.0142,0.6529
Layer 11,11,0.6401,0.0087,0.64
Layer 12,12,0.639,0.0145,0.6386
Layer 13,13,0.6333,0.0064,0.6329
Layer 14,14,0.6513,0.0111,0.6513
Layer 15,15,0.6526,0.0096,0.6523
Layer 16,16,0.6703,0.019,0.6705
Layer 17,17,0.6603,0.0112,0.6602
Layer 18,18,0.6581,0.0124,0.658
Layer 19,19,0.6568,0.014,0.6568
Layer 20,20,0.6381,0.009,0.6379
Layer 21,21,0.6469,0.0071,0.6467
Layer 22,22,0.6233,0.0123,0.6232
Layer 23,23,0.6051,0.0204,0.6051
Layer 24,24,0.5923,0.02,0.5921
