Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.322,0.0172,0.3134
Layer 1,1,0.4674,0.008,0.4671
Layer 2,2,0.5051,0.0217,0.505
Layer 3,3,0.557,0.0156,0.5565
Layer 4,4,0.5485,0.0059,0.5482
Layer 5,5,0.5571,0.0173,0.5565
Layer 6,6,0.5672,0.0185,0.5671
Layer 7,7,0.583,0.0121,0.5826
Layer 8,8,0.5674,0.0158,0.567
Layer 9,9,0.5824,0.0135,0.582
Layer 10,10,0.5767,0.0099,0.5763
Layer 11,11,0.5557,0.0149,0.5554
Layer 12,12,0.5636,0.0162,0.5633
Layer 13,13,0.5476,0.0192,0.547
Layer 14,14,0.5696,0.0141,0.5693
Layer 15,15,0.5749,0.0283,0.5744
Layer 16,16,0.5749,0.0111,0.5748
Layer 17,17,0.5793,0.0212,0.5791
Layer 18,18,0.5755,0.0175,0.5752
Layer 19,19,0.5636,0.0093,0.5634
Layer 20,20,0.5575,0.015,0.5573
Layer 21,21,0.5522,0.0155,0.5517
Layer 22,22,0.5187,0.0108,0.5183
Layer 23,23,0.4791,0.0146,0.4784
Layer 24,24,0.4868,0.0222,0.4867
