Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3201,0.0358,0.3164
Layer 1,1,0.6996,0.0235,0.6979
Layer 2,2,0.768,0.0037,0.7672
Layer 3,3,0.8306,0.0235,0.8306
Layer 4,4,0.8388,0.0256,0.8385
Layer 5,5,0.8481,0.0284,0.8484
Layer 6,6,0.8318,0.0236,0.8317
Layer 7,7,0.8237,0.026,0.8233
Layer 8,8,0.8075,0.0319,0.8066
Layer 9,9,0.8225,0.0313,0.8208
Layer 10,10,0.8294,0.0169,0.8295
Layer 11,11,0.8063,0.0296,0.8047
Layer 12,12,0.7749,0.0306,0.7739
Layer 13,13,0.7761,0.0233,0.7749
Layer 14,14,0.8097,0.0093,0.8094
Layer 15,15,0.8086,0.0168,0.8083
Layer 16,16,0.8353,0.0216,0.8352
Layer 17,17,0.8678,0.0191,0.8675
Layer 18,18,0.8458,0.0389,0.8466
Layer 19,19,0.8481,0.0311,0.8471
Layer 20,20,0.8226,0.0394,0.8225
Layer 21,21,0.7808,0.0333,0.779
Layer 22,22,0.7448,0.0452,0.7439
Layer 23,23,0.7227,0.0485,0.7226
Layer 24,24,0.6358,0.0262,0.6332
