Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.1845,0.0234,0.1846
Layer 1,1,0.5442,0.0544,0.5406
Layer 2,2,0.6625,0.0374,0.6625
Layer 3,3,0.7263,0.0209,0.726
Layer 4,4,0.7356,0.0289,0.7352
Layer 5,5,0.717,0.0332,0.7186
Layer 6,6,0.6996,0.0292,0.6996
Layer 7,7,0.7263,0.0246,0.7258
Layer 8,8,0.7053,0.0242,0.706
Layer 9,9,0.7228,0.0204,0.7226
Layer 10,10,0.7158,0.0318,0.7149
Layer 11,11,0.6486,0.0303,0.6483
Layer 12,12,0.6172,0.0186,0.6178
Layer 13,13,0.5801,0.0355,0.5814
Layer 14,14,0.6451,0.0314,0.6437
Layer 15,15,0.6474,0.0151,0.6468
Layer 16,16,0.6892,0.0424,0.6884
Layer 17,17,0.7355,0.0295,0.7352
Layer 18,18,0.6972,0.0169,0.6961
Layer 19,19,0.6891,0.019,0.6896
Layer 20,20,0.6833,0.0227,0.681
Layer 21,21,0.6241,0.0132,0.6222
Layer 22,22,0.6219,0.0315,0.6202
Layer 23,23,0.5825,0.0434,0.5818
Layer 24,24,0.5094,0.0311,0.5069
