Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.1796,0.0123,0.1776
Layer 1,1,0.5354,0.0217,0.534
Layer 2,2,0.6615,0.0226,0.6605
Layer 3,3,0.7763,0.0179,0.7758
Layer 4,4,0.8221,0.026,0.8219
Layer 5,5,0.8251,0.0115,0.8251
Layer 6,6,0.8277,0.0177,0.8273
Layer 7,7,0.8048,0.0155,0.8044
Layer 8,8,0.7612,0.0076,0.7608
Layer 9,9,0.8212,0.0296,0.8206
Layer 10,10,0.8096,0.0302,0.8096
Layer 11,11,0.7824,0.0346,0.782
Layer 12,12,0.7573,0.0278,0.7572
Layer 13,13,0.7409,0.0331,0.7408
Layer 14,14,0.7759,0.0316,0.7756
Layer 15,15,0.7919,0.0188,0.7912
Layer 16,16,0.8389,0.0139,0.8386
Layer 17,17,0.845,0.0157,0.8451
Layer 18,18,0.8299,0.0269,0.8301
Layer 19,19,0.7893,0.0309,0.7889
Layer 20,20,0.7621,0.0214,0.7624
Layer 21,21,0.7262,0.0242,0.7261
Layer 22,22,0.6921,0.0262,0.692
Layer 23,23,0.6408,0.0355,0.6399
Layer 24,24,0.5734,0.0166,0.5704
