Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.1812,0.0327,0.1776
Layer 1,1,0.3562,0.0705,0.3516
Layer 2,2,0.4292,0.0495,0.4212
Layer 3,3,0.5146,0.0358,0.5072
Layer 4,4,0.5188,0.0463,0.5117
Layer 5,5,0.5646,0.0202,0.5576
Layer 6,6,0.5417,0.0432,0.5365
Layer 7,7,0.5292,0.0564,0.518
Layer 8,8,0.4792,0.0432,0.4747
Layer 9,9,0.5667,0.0554,0.5607
Layer 10,10,0.5146,0.0268,0.5087
Layer 11,11,0.5042,0.0169,0.4975
Layer 12,12,0.4833,0.0654,0.4789
Layer 13,13,0.4729,0.0469,0.4649
Layer 14,14,0.5125,0.0463,0.5083
Layer 15,15,0.5104,0.0475,0.5003
Layer 16,16,0.5271,0.044,0.5226
Layer 17,17,0.5417,0.0555,0.5358
Layer 18,18,0.4896,0.0531,0.4793
Layer 19,19,0.4542,0.0382,0.4444
Layer 20,20,0.4375,0.0238,0.4272
Layer 21,21,0.4062,0.0373,0.3932
Layer 22,22,0.3437,0.0427,0.3331
Layer 23,23,0.3292,0.0425,0.3238
Layer 24,24,0.2229,0.0214,0.218
