Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5564,0.0637,0.5537
Layer 1,1,0.5944,0.0403,0.5942
Layer 2,2,0.6308,0.0329,0.6274
Layer 3,3,0.6605,0.03,0.6582
Layer 4,4,0.6588,0.0539,0.656
Layer 5,5,0.6771,0.0259,0.6763
Layer 6,6,0.6953,0.0336,0.6933
Layer 7,7,0.7185,0.0232,0.7152
Layer 8,8,0.7136,0.0316,0.7114
Layer 9,9,0.7401,0.0111,0.7392
Layer 10,10,0.7252,0.0158,0.7239
Layer 11,11,0.7202,0.0177,0.7209
Layer 12,12,0.659,0.033,0.6584
Layer 13,13,0.6375,0.0223,0.6373
Layer 14,14,0.611,0.0337,0.6097
Layer 15,15,0.6027,0.0534,0.5959
Layer 16,16,0.6093,0.0288,0.606
Layer 17,17,0.6208,0.0276,0.6182
Layer 18,18,0.601,0.0247,0.5983
Layer 19,19,0.5646,0.0112,0.5654
Layer 20,20,0.5298,0.0213,0.5298
Layer 21,21,0.5083,0.0252,0.5091
Layer 22,22,0.4454,0.017,0.4449
Layer 23,23,0.409,0.0323,0.4055
Layer 24,24,0.3312,0.0304,0.3281
