Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8748,0.0281,0.8754
Layer 1,1,0.914,0.0161,0.9128
Layer 2,2,0.929,0.0358,0.9271
Layer 3,3,0.9439,0.0277,0.9433
Layer 4,4,0.9514,0.0254,0.9509
Layer 5,5,0.957,0.0163,0.9566
Layer 6,6,0.9682,0.0127,0.9681
Layer 7,7,0.9776,0.0095,0.9774
Layer 8,8,0.9738,0.0124,0.9735
Layer 9,9,0.9701,0.007,0.9699
Layer 10,10,0.9514,0.0181,0.9514
Layer 11,11,0.9477,0.0152,0.9476
Layer 12,12,0.9458,0.007,0.9454
Layer 13,13,0.9252,0.0084,0.9253
Layer 14,14,0.9047,0.0161,0.9044
Layer 15,15,0.9065,0.0213,0.9062
Layer 16,16,0.9084,0.0247,0.9076
Layer 17,17,0.8953,0.0286,0.8944
Layer 18,18,0.9178,0.028,0.9168
Layer 19,19,0.8766,0.0336,0.8753
Layer 20,20,0.8636,0.0449,0.8618
Layer 21,21,0.8019,0.0286,0.7994
Layer 22,22,0.7757,0.0156,0.7708
Layer 23,23,0.7084,0.0533,0.7012
Layer 24,24,0.585,0.0226,0.5753
