Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7738,0.0326,0.7714
Layer 1,1,0.8636,0.0241,0.8635
Layer 2,2,0.8935,0.0192,0.8914
Layer 3,3,0.9196,0.0192,0.9185
Layer 4,4,0.9308,0.0095,0.9301
Layer 5,5,0.9327,0.0181,0.9322
Layer 6,6,0.9402,0.0192,0.9401
Layer 7,7,0.9402,0.0226,0.9398
Layer 8,8,0.9458,0.0037,0.9454
Layer 9,9,0.9308,0.0192,0.9299
Layer 10,10,0.9383,0.0241,0.9377
Layer 11,11,0.9327,0.0298,0.9315
Layer 12,12,0.8935,0.0255,0.8911
Layer 13,13,0.8991,0.0273,0.8978
Layer 14,14,0.8991,0.0232,0.8958
Layer 15,15,0.8879,0.0177,0.8855
Layer 16,16,0.8804,0.0216,0.878
Layer 17,17,0.871,0.0298,0.8675
Layer 18,18,0.8523,0.0273,0.8483
Layer 19,19,0.8243,0.0496,0.8215
Layer 20,20,0.8318,0.0378,0.827
Layer 21,21,0.7589,0.0403,0.756
Layer 22,22,0.7178,0.0161,0.7161
Layer 23,23,0.6542,0.0307,0.6494
Layer 24,24,0.5252,0.0352,0.5162
