Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5058,0.0297,0.5047
Layer 1,1,0.5197,0.0322,0.5185
Layer 2,2,0.5789,0.0387,0.5752
Layer 3,3,0.6044,0.0268,0.6027
Layer 4,4,0.5951,0.025,0.5949
Layer 5,5,0.5893,0.0261,0.5894
Layer 6,6,0.6206,0.024,0.6203
Layer 7,7,0.6068,0.0419,0.6055
Layer 8,8,0.5928,0.0204,0.5915
Layer 9,9,0.5696,0.0227,0.5665
Layer 10,10,0.5093,0.0282,0.5068
Layer 11,11,0.4792,0.0326,0.4764
Layer 12,12,0.4223,0.0261,0.4182
Layer 13,13,0.4234,0.0441,0.4212
Layer 14,14,0.4095,0.0499,0.4075
Layer 15,15,0.3875,0.0359,0.3873
Layer 16,16,0.4072,0.0332,0.407
Layer 17,17,0.3933,0.0198,0.3925
Layer 18,18,0.3666,0.0234,0.3655
Layer 19,19,0.3376,0.0169,0.3347
Layer 20,20,0.3283,0.0164,0.3282
Layer 21,21,0.2993,0.0205,0.2988
Layer 22,22,0.297,0.0263,0.2973
Layer 23,23,0.2807,0.0174,0.2774
Layer 24,24,0.2541,0.0379,0.2538
