Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8808,0.0209,0.8806
Layer 1,1,0.9093,0.0135,0.9096
Layer 2,2,0.9236,0.0139,0.9237
Layer 3,3,0.9361,0.0078,0.9363
Layer 4,4,0.9521,0.0057,0.9521
Layer 5,5,0.9542,0.0076,0.9543
Layer 6,6,0.9542,0.0159,0.9542
Layer 7,7,0.9516,0.0175,0.9515
Layer 8,8,0.9581,0.0106,0.9582
Layer 9,9,0.9495,0.0035,0.9497
Layer 10,10,0.9508,0.0089,0.9508
Layer 11,11,0.9512,0.0133,0.9512
Layer 12,12,0.9486,0.013,0.9488
Layer 13,13,0.9495,0.0144,0.9497
Layer 14,14,0.9508,0.0131,0.951
Layer 15,15,0.9447,0.016,0.945
Layer 16,16,0.9374,0.0071,0.9375
Layer 17,17,0.9383,0.0149,0.9384
Layer 18,18,0.9335,0.0078,0.9337
Layer 19,19,0.9275,0.0186,0.9278
Layer 20,20,0.9214,0.0132,0.9215
Layer 21,21,0.9123,0.0105,0.9122
Layer 22,22,0.8968,0.0069,0.8968
Layer 23,23,0.8692,0.0144,0.8692
Layer 24,24,0.8333,0.0098,0.8333
