Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5941,0.0284,0.5929
Layer 1,1,0.6623,0.0206,0.661
Layer 2,2,0.6787,0.0228,0.6769
Layer 3,3,0.7288,0.0137,0.7282
Layer 4,4,0.7431,0.0237,0.7415
Layer 5,5,0.7755,0.0256,0.7749
Layer 6,6,0.807,0.0193,0.8065
Layer 7,7,0.8199,0.0177,0.8193
Layer 8,8,0.823,0.0163,0.8224
Layer 9,9,0.8264,0.0177,0.8256
Layer 10,10,0.8212,0.0262,0.8205
Layer 11,11,0.8316,0.0208,0.8313
Layer 12,12,0.8256,0.0089,0.8254
Layer 13,13,0.8187,0.0111,0.8187
Layer 14,14,0.8117,0.0123,0.8112
Layer 15,15,0.8057,0.0233,0.8049
Layer 16,16,0.7979,0.0089,0.7968
Layer 17,17,0.7776,0.0159,0.7776
Layer 18,18,0.7336,0.0266,0.7331
Layer 19,19,0.7237,0.0157,0.7236
Layer 20,20,0.7211,0.011,0.7207
Layer 21,21,0.7375,0.0104,0.7377
Layer 22,22,0.7016,0.009,0.7017
Layer 23,23,0.6395,0.0262,0.6401
Layer 24,24,0.5794,0.0131,0.5786
