Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3479,0.0664,0.3391
Layer 1,1,0.3771,0.0926,0.366
Layer 2,2,0.4125,0.045,0.4038
Layer 3,3,0.4438,0.0478,0.4374
Layer 4,4,0.4604,0.0741,0.4504
Layer 5,5,0.4708,0.0811,0.4626
Layer 6,6,0.4688,0.0669,0.4604
Layer 7,7,0.5062,0.0504,0.4928
Layer 8,8,0.5208,0.0401,0.5111
Layer 9,9,0.5375,0.045,0.5342
Layer 10,10,0.5479,0.061,0.5408
Layer 11,11,0.5229,0.0525,0.5099
Layer 12,12,0.5625,0.0649,0.561
Layer 13,13,0.5562,0.0352,0.5563
Layer 14,14,0.5729,0.0578,0.5689
Layer 15,15,0.6062,0.0434,0.5987
Layer 16,16,0.5812,0.0529,0.5748
Layer 17,17,0.5375,0.0469,0.5328
Layer 18,18,0.5,0.0437,0.4906
Layer 19,19,0.5042,0.042,0.5005
Layer 20,20,0.4667,0.0429,0.4669
Layer 21,21,0.4479,0.0632,0.4436
Layer 22,22,0.4146,0.0495,0.4051
Layer 23,23,0.3604,0.0577,0.3552
Layer 24,24,0.2708,0.0309,0.2666
