Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.9121,0.0569,0.9107,HuBERT,EmoDB,clean
Layer 1,1,0.9439,0.0345,0.9432,HuBERT,EmoDB,clean
Layer 2,2,0.9589,0.0173,0.9588,HuBERT,EmoDB,clean
Layer 3,3,0.9664,0.0183,0.9663,HuBERT,EmoDB,clean
Layer 4,4,0.972,0.0196,0.9719,HuBERT,EmoDB,clean
Layer 5,5,0.9738,0.0161,0.9738,HuBERT,EmoDB,clean
Layer 6,6,0.9738,0.0171,0.9738,HuBERT,EmoDB,clean
Layer 7,7,0.9757,0.0183,0.9756,HuBERT,EmoDB,clean
Layer 8,8,0.9813,0.0177,0.9812,HuBERT,EmoDB,clean
Layer 9,9,0.985,0.0095,0.985,HuBERT,EmoDB,clean
Layer 10,10,0.985,0.0095,0.9849,HuBERT,EmoDB,clean
Layer 11,11,0.985,0.0127,0.9851,HuBERT,EmoDB,clean
Layer 12,12,0.9832,0.0092,0.983,HuBERT,EmoDB,clean
Layer 13,13,0.9794,0.0124,0.9794,HuBERT,EmoDB,clean
Layer 14,14,0.9794,0.0124,0.9793,HuBERT,EmoDB,clean
Layer 15,15,0.972,0.0102,0.9721,HuBERT,EmoDB,clean
Layer 16,16,0.972,0.0,0.972,HuBERT,EmoDB,clean
Layer 17,17,0.9682,0.0095,0.9683,HuBERT,EmoDB,clean
Layer 18,18,0.9626,0.0156,0.9626,HuBERT,EmoDB,clean
Layer 19,19,0.9551,0.015,0.9546,HuBERT,EmoDB,clean
Layer 20,20,0.9495,0.0173,0.9492,HuBERT,EmoDB,clean
Layer 21,21,0.9645,0.0137,0.9643,HuBERT,EmoDB,clean
Layer 22,22,0.9664,0.0095,0.966,HuBERT,EmoDB,clean
Layer 23,23,0.9589,0.0127,0.9587,HuBERT,EmoDB,clean
Layer 24,24,0.9626,0.0059,0.9624,HuBERT,EmoDB,clean
CNN,0,0.5907,0.0662,0.5827,HuBERT,EmoDB,0
Layer 1,1,0.6673,0.049,0.6632,HuBERT,EmoDB,0
Layer 2,2,0.7383,0.0213,0.731,HuBERT,EmoDB,0
Layer 3,3,0.772,0.042,0.7677,HuBERT,EmoDB,0
Layer 4,4,0.8037,0.0502,0.7985,HuBERT,EmoDB,0
Layer 5,5,0.8,0.0201,0.7988,HuBERT,EmoDB,0
