Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.7866,0.0107,0.7855,HuBERT,MESD,clean
Layer 1,1,0.8074,0.0205,0.8074,HuBERT,MESD,clean
Layer 2,2,0.8469,0.03,0.8465,HuBERT,MESD,clean
Layer 3,3,0.8492,0.0349,0.8486,HuBERT,MESD,clean
Layer 4,4,0.8608,0.0382,0.86,HuBERT,MESD,clean
Layer 5,5,0.8678,0.0336,0.867,HuBERT,MESD,clean
Layer 6,6,0.8701,0.0249,0.8696,HuBERT,MESD,clean
Layer 7,7,0.8701,0.0286,0.8698,HuBERT,MESD,clean
Layer 8,8,0.8782,0.0264,0.8784,HuBERT,MESD,clean
Layer 9,9,0.8608,0.022,0.8601,HuBERT,MESD,clean
Layer 10,10,0.8666,0.0139,0.8662,HuBERT,MESD,clean
Layer 11,11,0.8574,0.0228,0.8565,HuBERT,MESD,clean
Layer 12,12,0.8516,0.017,0.8507,HuBERT,MESD,clean
Layer 13,13,0.8527,0.0221,0.8528,HuBERT,MESD,clean
Layer 14,14,0.8249,0.0232,0.8242,HuBERT,MESD,clean
Layer 15,15,0.8167,0.0115,0.8155,HuBERT,MESD,clean
Layer 16,16,0.7889,0.0313,0.7887,HuBERT,MESD,clean
Layer 17,17,0.7692,0.026,0.7689,HuBERT,MESD,clean
Layer 18,18,0.7541,0.0194,0.7533,HuBERT,MESD,clean
Layer 19,19,0.7088,0.0147,0.7059,HuBERT,MESD,clean
Layer 20,20,0.7135,0.0205,0.713,HuBERT,MESD,clean
Layer 21,21,0.7088,0.0082,0.7069,HuBERT,MESD,clean
Layer 22,22,0.7332,0.0271,0.7324,HuBERT,MESD,clean
Layer 23,23,0.7031,0.0239,0.7018,HuBERT,MESD,clean
Layer 24,24,0.6682,0.0154,0.667,HuBERT,MESD,clean
CNN,0,0.4908,0.0191,0.4905,HuBERT,MESD,0
Layer 1,1,0.5441,0.0275,0.5414,HuBERT,MESD,0
Layer 2,2,0.558,0.016,0.5553,HuBERT,MESD,0
Layer 3,3,0.5708,0.0262,0.5677,HuBERT,MESD,0
Layer 4,4,0.5615,0.0171,0.5598,HuBERT,MESD,0
Layer 5,5,0.5789,0.021,0.5771,HuBERT,MESD,0
Layer 6,6,0.5766,0.0176,0.5744,HuBERT,MESD,0
Layer 7,7,0.5696,0.0248,0.5665,HuBERT,MESD,0
Layer 8,8,0.5614,0.0212,0.5582,HuBERT,MESD,0
Layer 9,9,0.529,0.036,0.5272,HuBERT,MESD,0
Layer 10,10,0.5302,0.0393,0.5286,HuBERT,MESD,0
Layer 11,11,0.4977,0.031,0.4949,HuBERT,MESD,0
Layer 12,12,0.4872,0.0267,0.4859,HuBERT,MESD,0
Layer 13,13,0.4942,0.0383,0.4923,HuBERT,MESD,0
Layer 14,14,0.4884,0.0189,0.4851,HuBERT,MESD,0
Layer 15,15,0.4908,0.036,0.4886,HuBERT,MESD,0
Layer 16,16,0.4513,0.0313,0.4497,HuBERT,MESD,0
Layer 17,17,0.4339,0.0188,0.4302,HuBERT,MESD,0
Layer 18,18,0.4118,0.0199,0.409,HuBERT,MESD,0
Layer 19,19,0.4211,0.0408,0.4176,HuBERT,MESD,0
Layer 20,20,0.4141,0.0466,0.4125,HuBERT,MESD,0
Layer 21,21,0.4049,0.0282,0.4033,HuBERT,MESD,0
Layer 22,22,0.3944,0.0312,0.3938,HuBERT,MESD,0
Layer 23,23,0.3979,0.0362,0.3955,HuBERT,MESD,0
Layer 24,24,0.377,0.0344,0.3756,HuBERT,MESD,0
CNN,0,0.6265,0.0175,0.624,HuBERT,MESD,10
Layer 1,1,0.6624,0.0374,0.6625,HuBERT,MESD,10
Layer 2,2,0.6891,0.0267,0.6864,HuBERT,MESD,10
Layer 3,3,0.7181,0.0168,0.7154,HuBERT,MESD,10
Layer 4,4,0.7169,0.0142,0.7147,HuBERT,MESD,10
Layer 5,5,0.7019,0.0228,0.701,HuBERT,MESD,10
Layer 6,6,0.7112,0.02,0.7088,HuBERT,MESD,10
Layer 7,7,0.7007,0.0153,0.6998,HuBERT,MESD,10
Layer 8,8,0.6972,0.0237,0.6971,HuBERT,MESD,10
Layer 9,9,0.681,0.0389,0.6796,HuBERT,MESD,10
Layer 10,10,0.6729,0.033,0.6713,HuBERT,MESD,10
Layer 11,11,0.6613,0.0376,0.6589,HuBERT,MESD,10
Layer 12,12,0.6567,0.0459,0.6537,HuBERT,MESD,10
Layer 13,13,0.6463,0.0444,0.644,HuBERT,MESD,10
Layer 14,14,0.6463,0.0389,0.6441,HuBERT,MESD,10
Layer 15,15,0.6358,0.0425,0.6342,HuBERT,MESD,10
Layer 16,16,0.6103,0.052,0.6058,HuBERT,MESD,10
Layer 17,17,0.6033,0.0379,0.5994,HuBERT,MESD,10
Layer 18,18,0.5638,0.0264,0.5595,HuBERT,MESD,10
Layer 19,19,0.5546,0.0193,0.5517,HuBERT,MESD,10
Layer 20,20,0.5488,0.0232,0.5454,HuBERT,MESD,10
Layer 21,21,0.5441,0.0339,0.5433,HuBERT,MESD,10
Layer 22,22,0.5522,0.0337,0.5513,HuBERT,MESD,10
Layer 23,23,0.5233,0.0242,0.5225,HuBERT,MESD,10
Layer 24,24,0.4873,0.0263,0.4833,HuBERT,MESD,10
CNN,0,0.6613,0.0374,0.659,HuBERT,MESD,20
Layer 1,1,0.7285,0.0301,0.7265,HuBERT,MESD,20
Layer 2,2,0.7715,0.0201,0.7702,HuBERT,MESD,20
Layer 3,3,0.7761,0.0132,0.7748,HuBERT,MESD,20
Layer 4,4,0.7854,0.018,0.7845,HuBERT,MESD,20
Layer 5,5,0.7808,0.0238,0.7793,HuBERT,MESD,20
Layer 6,6,0.7704,0.0229,0.7696,HuBERT,MESD,20
Layer 7,7,0.7831,0.033,0.7826,HuBERT,MESD,20
Layer 8,8,0.7878,0.0358,0.7872,HuBERT,MESD,20
Layer 9,9,0.7762,0.0393,0.7759,HuBERT,MESD,20
Layer 10,10,0.775,0.0331,0.7754,HuBERT,MESD,20
Layer 11,11,0.7622,0.0337,0.7622,HuBERT,MESD,20
Layer 12,12,0.7425,0.0342,0.7417,HuBERT,MESD,20
Layer 13,13,0.7344,0.0248,0.7338,HuBERT,MESD,20
Layer 14,14,0.7054,0.0171,0.7051,HuBERT,MESD,20
Layer 15,15,0.6857,0.0241,0.6849,HuBERT,MESD,20
Layer 16,16,0.688,0.0338,0.6867,HuBERT,MESD,20
Layer 17,17,0.6555,0.0318,0.6542,HuBERT,MESD,20
Layer 18,18,0.6184,0.03,0.6168,HuBERT,MESD,20
Layer 19,19,0.6207,0.0086,0.6195,HuBERT,MESD,20
Layer 20,20,0.6276,0.0286,0.6277,HuBERT,MESD,20
Layer 21,21,0.6045,0.0425,0.6039,HuBERT,MESD,20
