Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.725,0.0182,0.7234,HuBERT,SAVEE,clean
Layer 1,1,0.7854,0.0393,0.7835,HuBERT,SAVEE,clean
Layer 2,2,0.8208,0.0202,0.8203,HuBERT,SAVEE,clean
Layer 3,3,0.8625,0.0222,0.8602,HuBERT,SAVEE,clean
Layer 4,4,0.8646,0.0114,0.8624,HuBERT,SAVEE,clean
Layer 5,5,0.8667,0.0167,0.8645,HuBERT,SAVEE,clean
Layer 6,6,0.8812,0.0182,0.8798,HuBERT,SAVEE,clean
Layer 7,7,0.8875,0.0138,0.885,HuBERT,SAVEE,clean
Layer 8,8,0.8833,0.0121,0.8832,HuBERT,SAVEE,clean
Layer 9,9,0.8833,0.0179,0.8821,HuBERT,SAVEE,clean
Layer 10,10,0.8708,0.0284,0.8695,HuBERT,SAVEE,clean
Layer 11,11,0.8729,0.0167,0.8706,HuBERT,SAVEE,clean
Layer 12,12,0.8812,0.026,0.8798,HuBERT,SAVEE,clean
Layer 13,13,0.8688,0.0214,0.8674,HuBERT,SAVEE,clean
Layer 14,14,0.8667,0.0222,0.8666,HuBERT,SAVEE,clean
Layer 15,15,0.8625,0.0275,0.8603,HuBERT,SAVEE,clean
Layer 16,16,0.875,0.0228,0.8743,HuBERT,SAVEE,clean
Layer 17,17,0.8583,0.0376,0.8576,HuBERT,SAVEE,clean
Layer 18,18,0.8479,0.0358,0.8473,HuBERT,SAVEE,clean
Layer 19,19,0.8479,0.0352,0.8478,HuBERT,SAVEE,clean
Layer 20,20,0.8521,0.0319,0.8522,HuBERT,SAVEE,clean
Layer 21,21,0.8562,0.0439,0.8552,HuBERT,SAVEE,clean
Layer 22,22,0.8688,0.0388,0.8694,HuBERT,SAVEE,clean
Layer 23,23,0.8417,0.0339,0.8415,HuBERT,SAVEE,clean
Layer 24,24,0.8125,0.0316,0.8106,HuBERT,SAVEE,clean
CNN,0,0.3417,0.0458,0.3375,HuBERT,SAVEE,0
Layer 1,1,0.3729,0.0424,0.3655,HuBERT,SAVEE,0
Layer 2,2,0.4167,0.048,0.4097,HuBERT,SAVEE,0
Layer 3,3,0.4104,0.034,0.4026,HuBERT,SAVEE,0
Layer 4,4,0.4021,0.0425,0.399,HuBERT,SAVEE,0
Layer 5,5,0.4604,0.0241,0.4573,HuBERT,SAVEE,0
Layer 6,6,0.4542,0.0292,0.4481,HuBERT,SAVEE,0
Layer 7,7,0.4542,0.0513,0.4484,HuBERT,SAVEE,0
Layer 8,8,0.4667,0.0424,0.4609,HuBERT,SAVEE,0
Layer 9,9,0.4875,0.0583,0.4808,HuBERT,SAVEE,0
Layer 10,10,0.4854,0.0382,0.4765,HuBERT,SAVEE,0
Layer 11,11,0.5083,0.0587,0.5017,HuBERT,SAVEE,0
Layer 12,12,0.4938,0.0388,0.4856,HuBERT,SAVEE,0
Layer 13,13,0.5146,0.0599,0.5066,HuBERT,SAVEE,0
Layer 14,14,0.5021,0.0657,0.4956,HuBERT,SAVEE,0
Layer 15,15,0.5229,0.0463,0.5141,HuBERT,SAVEE,0
Layer 16,16,0.5063,0.0641,0.5,HuBERT,SAVEE,0
Layer 17,17,0.5,0.0586,0.4936,HuBERT,SAVEE,0
Layer 18,18,0.4875,0.0732,0.4812,HuBERT,SAVEE,0
Layer 19,19,0.5,0.0571,0.4906,HuBERT,SAVEE,0
Layer 20,20,0.4667,0.0602,0.4574,HuBERT,SAVEE,0
Layer 21,21,0.5,0.0694,0.4927,HuBERT,SAVEE,0
Layer 22,22,0.4958,0.0546,0.4921,HuBERT,SAVEE,0
Layer 23,23,0.4417,0.0404,0.4348,HuBERT,SAVEE,0
Layer 24,24,0.4146,0.0477,0.4087,HuBERT,SAVEE,0
CNN,0,0.4146,0.0232,0.4071,HuBERT,SAVEE,10
Layer 1,1,0.4938,0.0404,0.4895,HuBERT,SAVEE,10
Layer 2,2,0.5438,0.0325,0.5372,HuBERT,SAVEE,10
Layer 3,3,0.5729,0.0447,0.5643,HuBERT,SAVEE,10
Layer 4,4,0.6042,0.0323,0.5995,HuBERT,SAVEE,10
Layer 5,5,0.6062,0.029,0.5994,HuBERT,SAVEE,10
Layer 6,6,0.6104,0.0252,0.6043,HuBERT,SAVEE,10
Layer 7,7,0.6521,0.0404,0.6465,HuBERT,SAVEE,10
Layer 8,8,0.6542,0.0212,0.6472,HuBERT,SAVEE,10
Layer 9,9,0.6521,0.0538,0.6463,HuBERT,SAVEE,10
Layer 10,10,0.6875,0.0342,0.683,HuBERT,SAVEE,10
Layer 11,11,0.7208,0.0363,0.7173,HuBERT,SAVEE,10
Layer 12,12,0.7271,0.0167,0.7243,HuBERT,SAVEE,10
Layer 13,13,0.7562,0.045,0.7545,HuBERT,SAVEE,10
Layer 14,14,0.7437,0.0284,0.7409,HuBERT,SAVEE,10
Layer 15,15,0.7625,0.0222,0.7584,HuBERT,SAVEE,10
Layer 16,16,0.725,0.0388,0.722,HuBERT,SAVEE,10
Layer 17,17,0.7354,0.0445,0.7328,HuBERT,SAVEE,10
Layer 18,18,0.7458,0.0478,0.7439,HuBERT,SAVEE,10
Layer 19,19,0.7562,0.0491,0.7543,HuBERT,SAVEE,10
Layer 20,20,0.7625,0.063,0.7586,HuBERT,SAVEE,10
Layer 21,21,0.7417,0.0541,0.7376,HuBERT,SAVEE,10
