Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.8598,0.0283,0.858,MERT,EmoDB,clean
Layer 1,1,0.9084,0.026,0.9078,MERT,EmoDB,clean
Layer 2,2,0.9159,0.0213,0.9144,MERT,EmoDB,clean
Layer 3,3,0.9402,0.0192,0.9393,MERT,EmoDB,clean
Layer 4,4,0.9327,0.0124,0.9326,MERT,EmoDB,clean
Layer 5,5,0.9477,0.0173,0.9471,MERT,EmoDB,clean
Layer 6,6,0.9551,0.0137,0.9547,MERT,EmoDB,clean
Layer 7,7,0.9645,0.0124,0.9643,MERT,EmoDB,clean
Layer 8,8,0.9495,0.014,0.9494,MERT,EmoDB,clean
Layer 9,9,0.9495,0.0173,0.949,MERT,EmoDB,clean
Layer 10,10,0.9514,0.02,0.9509,MERT,EmoDB,clean
Layer 11,11,0.9551,0.0161,0.9549,MERT,EmoDB,clean
Layer 12,12,0.957,0.014,0.9565,MERT,EmoDB,clean
Layer 13,13,0.9495,0.021,0.9489,MERT,EmoDB,clean
Layer 14,14,0.9477,0.0152,0.9471,MERT,EmoDB,clean
Layer 15,15,0.9421,0.0216,0.9412,MERT,EmoDB,clean
Layer 16,16,0.9421,0.015,0.9417,MERT,EmoDB,clean
Layer 17,17,0.9514,0.0273,0.9507,MERT,EmoDB,clean
Layer 18,18,0.9477,0.0348,0.9467,MERT,EmoDB,clean
Layer 19,19,0.9364,0.0309,0.9359,MERT,EmoDB,clean
Layer 20,20,0.9364,0.0216,0.9361,MERT,EmoDB,clean
Layer 21,21,0.9196,0.0337,0.9187,MERT,EmoDB,clean
Layer 22,22,0.914,0.0254,0.9133,MERT,EmoDB,clean
Layer 23,23,0.8991,0.0326,0.8981,MERT,EmoDB,clean
Layer 24,24,0.9028,0.0192,0.9022,MERT,EmoDB,clean
CNN,0,0.4785,0.0239,0.4744,MERT,EmoDB,0
Layer 1,1,0.5364,0.0377,0.5322,MERT,EmoDB,0
Layer 2,2,0.6112,0.0327,0.6056,MERT,EmoDB,0
Layer 3,3,0.6692,0.0403,0.6581,MERT,EmoDB,0
Layer 4,4,0.7065,0.0299,0.6985,MERT,EmoDB,0
Layer 5,5,0.7308,0.0331,0.7218,MERT,EmoDB,0
Layer 6,6,0.7047,0.0316,0.6918,MERT,EmoDB,0
