Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.667,0.0288,0.666,MERT,MESD,clean
Layer 1,1,0.7622,0.0201,0.761,MERT,MESD,clean
Layer 2,2,0.8179,0.0305,0.8167,MERT,MESD,clean
Layer 3,3,0.8422,0.0194,0.8421,MERT,MESD,clean
Layer 4,4,0.8388,0.019,0.8381,MERT,MESD,clean
Layer 5,5,0.855,0.0322,0.8549,MERT,MESD,clean
Layer 6,6,0.8469,0.0194,0.8465,MERT,MESD,clean
Layer 7,7,0.8701,0.0267,0.8699,MERT,MESD,clean
Layer 8,8,0.855,0.0246,0.8552,MERT,MESD,clean
Layer 9,9,0.8388,0.0338,0.8384,MERT,MESD,clean
Layer 10,10,0.8365,0.0264,0.8367,MERT,MESD,clean
Layer 11,11,0.8214,0.0247,0.8218,MERT,MESD,clean
Layer 12,12,0.826,0.0285,0.8261,MERT,MESD,clean
Layer 13,13,0.8353,0.0259,0.8346,MERT,MESD,clean
Layer 14,14,0.8237,0.0266,0.8229,MERT,MESD,clean
Layer 15,15,0.8399,0.0147,0.8392,MERT,MESD,clean
Layer 16,16,0.8155,0.0112,0.8146,MERT,MESD,clean
Layer 17,17,0.8005,0.0185,0.7989,MERT,MESD,clean
Layer 18,18,0.8121,0.0107,0.812,MERT,MESD,clean
Layer 19,19,0.7912,0.0291,0.7898,MERT,MESD,clean
Layer 20,20,0.7993,0.0181,0.7986,MERT,MESD,clean
Layer 21,21,0.8039,0.0206,0.8036,MERT,MESD,clean
Layer 22,22,0.8039,0.0224,0.803,MERT,MESD,clean
Layer 23,23,0.7877,0.0132,0.7871,MERT,MESD,clean
Layer 24,24,0.7935,0.0089,0.7929,MERT,MESD,clean
CNN,0,0.3829,0.0325,0.3798,MERT,MESD,0
Layer 1,1,0.4501,0.0158,0.4459,MERT,MESD,0
Layer 2,2,0.485,0.0256,0.4824,MERT,MESD,0
Layer 3,3,0.5337,0.0192,0.5325,MERT,MESD,0
Layer 4,4,0.572,0.0353,0.5696,MERT,MESD,0
Layer 5,5,0.5766,0.0247,0.5733,MERT,MESD,0
Layer 6,6,0.5824,0.0105,0.5802,MERT,MESD,0
Layer 7,7,0.5882,0.0245,0.5839,MERT,MESD,0
Layer 8,8,0.5453,0.022,0.5428,MERT,MESD,0
Layer 9,9,0.565,0.0326,0.5632,MERT,MESD,0
Layer 10,10,0.5673,0.0166,0.5643,MERT,MESD,0
Layer 11,11,0.5557,0.0269,0.5528,MERT,MESD,0
Layer 12,12,0.5557,0.0141,0.5527,MERT,MESD,0
Layer 13,13,0.5453,0.0445,0.5431,MERT,MESD,0
Layer 14,14,0.5545,0.022,0.5505,MERT,MESD,0
Layer 15,15,0.5139,0.0244,0.5113,MERT,MESD,0
Layer 16,16,0.5232,0.0225,0.521,MERT,MESD,0
Layer 17,17,0.5023,0.0206,0.4985,MERT,MESD,0
Layer 18,18,0.5151,0.0166,0.5119,MERT,MESD,0
Layer 19,19,0.5105,0.037,0.5088,MERT,MESD,0
Layer 20,20,0.5058,0.0375,0.5058,MERT,MESD,0
Layer 21,21,0.5175,0.0372,0.5154,MERT,MESD,0
Layer 22,22,0.4989,0.0374,0.4948,MERT,MESD,0
Layer 23,23,0.4931,0.0469,0.4891,MERT,MESD,0
Layer 24,24,0.4931,0.0552,0.4911,MERT,MESD,0
CNN,0,0.4977,0.0175,0.4934,MERT,MESD,10
Layer 1,1,0.5604,0.0202,0.5578,MERT,MESD,10
Layer 2,2,0.6149,0.0256,0.6128,MERT,MESD,10
Layer 3,3,0.6543,0.0197,0.6516,MERT,MESD,10
Layer 4,4,0.7065,0.0156,0.7045,MERT,MESD,10
Layer 5,5,0.6868,0.0272,0.6859,MERT,MESD,10
