Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.6542,0.0602,0.6486,MERT,SAVEE,clean
Layer 1,1,0.7104,0.0305,0.7037,MERT,SAVEE,clean
Layer 2,2,0.7542,0.0333,0.7493,MERT,SAVEE,clean
Layer 3,3,0.7229,0.0299,0.7195,MERT,SAVEE,clean
Layer 4,4,0.7646,0.0399,0.7601,MERT,SAVEE,clean
Layer 5,5,0.7875,0.034,0.7856,MERT,SAVEE,clean
Layer 6,6,0.7896,0.0319,0.787,MERT,SAVEE,clean
Layer 7,7,0.775,0.026,0.7731,MERT,SAVEE,clean
Layer 8,8,0.7792,0.0283,0.7777,MERT,SAVEE,clean
Layer 9,9,0.7667,0.0313,0.7642,MERT,SAVEE,clean
Layer 10,10,0.7813,0.0411,0.7777,MERT,SAVEE,clean
Layer 11,11,0.7854,0.0299,0.7847,MERT,SAVEE,clean
Layer 12,12,0.7625,0.0232,0.7607,MERT,SAVEE,clean
Layer 13,13,0.7646,0.034,0.7631,MERT,SAVEE,clean
Layer 14,14,0.7688,0.0267,0.7655,MERT,SAVEE,clean
Layer 15,15,0.7354,0.0496,0.7344,MERT,SAVEE,clean
Layer 16,16,0.725,0.0352,0.7244,MERT,SAVEE,clean
Layer 17,17,0.725,0.0234,0.7225,MERT,SAVEE,clean
Layer 18,18,0.7312,0.0202,0.7291,MERT,SAVEE,clean
Layer 19,19,0.7188,0.0373,0.7148,MERT,SAVEE,clean
Layer 20,20,0.7125,0.0141,0.7107,MERT,SAVEE,clean
Layer 21,21,0.6938,0.0352,0.6909,MERT,SAVEE,clean
Layer 22,22,0.6958,0.0357,0.6925,MERT,SAVEE,clean
Layer 23,23,0.6771,0.0355,0.6729,MERT,SAVEE,clean
Layer 24,24,0.6917,0.05,0.6886,MERT,SAVEE,clean
CNN,0,0.3104,0.0283,0.304,MERT,SAVEE,0
Layer 1,1,0.3229,0.039,0.3225,MERT,SAVEE,0
Layer 2,2,0.3396,0.0464,0.3352,MERT,SAVEE,0
Layer 3,3,0.3438,0.0174,0.3363,MERT,SAVEE,0
Layer 4,4,0.3812,0.037,0.3736,MERT,SAVEE,0
Layer 5,5,0.4042,0.0312,0.3931,MERT,SAVEE,0
