Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.7467,0.0249,0.7479,MERT,AESDD,clean
Layer 1,1,0.8146,0.0456,0.8142,MERT,AESDD,clean
Layer 2,2,0.8311,0.0134,0.8307,MERT,AESDD,clean
Layer 3,3,0.846,0.0271,0.8461,MERT,AESDD,clean
Layer 4,4,0.8708,0.0268,0.8709,MERT,AESDD,clean
Layer 5,5,0.8791,0.0316,0.8799,MERT,AESDD,clean
Layer 6,6,0.8725,0.0399,0.8727,MERT,AESDD,clean
Layer 7,7,0.8758,0.0299,0.876,MERT,AESDD,clean
Layer 8,8,0.8907,0.0215,0.8906,MERT,AESDD,clean
Layer 9,9,0.8923,0.0274,0.8921,MERT,AESDD,clean
Layer 10,10,0.8791,0.0224,0.8792,MERT,AESDD,clean
Layer 11,11,0.8675,0.0303,0.8672,MERT,AESDD,clean
Layer 12,12,0.8725,0.031,0.8726,MERT,AESDD,clean
Layer 13,13,0.8642,0.0217,0.8647,MERT,AESDD,clean
Layer 14,14,0.8791,0.0373,0.8793,MERT,AESDD,clean
Layer 15,15,0.8642,0.0311,0.8641,MERT,AESDD,clean
Layer 16,16,0.8658,0.0306,0.8657,MERT,AESDD,clean
Layer 17,17,0.8675,0.0275,0.8676,MERT,AESDD,clean
Layer 18,18,0.8576,0.0266,0.8578,MERT,AESDD,clean
Layer 19,19,0.8609,0.0274,0.8607,MERT,AESDD,clean
Layer 20,20,0.8427,0.0267,0.8428,MERT,AESDD,clean
Layer 21,21,0.8278,0.0211,0.8286,MERT,AESDD,clean
Layer 22,22,0.8294,0.0274,0.829,MERT,AESDD,clean
Layer 23,23,0.8195,0.0207,0.8187,MERT,AESDD,clean
Layer 24,24,0.8079,0.0404,0.8079,MERT,AESDD,clean
CNN,0,0.3958,0.0306,0.3932,MERT,AESDD,0
Layer 1,1,0.4321,0.0501,0.4311,MERT,AESDD,0
Layer 2,2,0.4818,0.0664,0.4788,MERT,AESDD,0
Layer 3,3,0.5978,0.0585,0.5952,MERT,AESDD,0
Layer 4,4,0.6192,0.0224,0.6162,MERT,AESDD,0
Layer 5,5,0.644,0.0376,0.642,MERT,AESDD,0
Layer 6,6,0.6391,0.0338,0.6357,MERT,AESDD,0
Layer 7,7,0.6325,0.0277,0.6304,MERT,AESDD,0
Layer 8,8,0.6605,0.0346,0.6611,MERT,AESDD,0
Layer 9,9,0.644,0.0364,0.643,MERT,AESDD,0
Layer 10,10,0.6506,0.0143,0.65,MERT,AESDD,0
Layer 11,11,0.6374,0.0197,0.6358,MERT,AESDD,0
Layer 12,12,0.6225,0.026,0.6186,MERT,AESDD,0
Layer 13,13,0.5944,0.0193,0.5903,MERT,AESDD,0
Layer 14,14,0.591,0.0346,0.5887,MERT,AESDD,0
Layer 15,15,0.5612,0.0504,0.5589,MERT,AESDD,0
Layer 16,16,0.5712,0.0279,0.5682,MERT,AESDD,0
Layer 17,17,0.563,0.0504,0.5588,MERT,AESDD,0
Layer 18,18,0.5794,0.0236,0.5759,MERT,AESDD,0
Layer 19,19,0.5712,0.034,0.5686,MERT,AESDD,0
Layer 20,20,0.5481,0.0361,0.5443,MERT,AESDD,0
Layer 21,21,0.553,0.0384,0.5503,MERT,AESDD,0
Layer 22,22,0.5349,0.0529,0.5333,MERT,AESDD,0
Layer 23,23,0.5382,0.064,0.5364,MERT,AESDD,0
Layer 24,24,0.5547,0.059,0.551,MERT,AESDD,0
CNN,0,0.5215,0.0507,0.5192,MERT,AESDD,10
Layer 1,1,0.5398,0.074,0.541,MERT,AESDD,10
Layer 2,2,0.5945,0.0751,0.5941,MERT,AESDD,10
Layer 3,3,0.6607,0.0584,0.6585,MERT,AESDD,10
Layer 4,4,0.7054,0.0431,0.7035,MERT,AESDD,10
Layer 5,5,0.7219,0.0233,0.7195,MERT,AESDD,10
Layer 6,6,0.7235,0.0289,0.7208,MERT,AESDD,10
Layer 7,7,0.7021,0.0549,0.6984,MERT,AESDD,10
Layer 8,8,0.7219,0.041,0.7211,MERT,AESDD,10
Layer 9,9,0.7302,0.0448,0.7272,MERT,AESDD,10
