Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.8897,0.0546,0.8884,WavLM,EmoDB,clean
Layer 1,1,0.9458,0.0331,0.9455,WavLM,EmoDB,clean
Layer 2,2,0.9626,0.0244,0.9624,WavLM,EmoDB,clean
Layer 3,3,0.9738,0.0137,0.9737,WavLM,EmoDB,clean
Layer 4,4,0.9757,0.0173,0.9756,WavLM,EmoDB,clean
Layer 5,5,0.9794,0.0092,0.9793,WavLM,EmoDB,clean
Layer 6,6,0.9813,0.0177,0.9812,WavLM,EmoDB,clean
Layer 7,7,0.9813,0.0156,0.9812,WavLM,EmoDB,clean
Layer 8,8,0.9869,0.0127,0.9869,WavLM,EmoDB,clean
Layer 9,9,0.9794,0.0137,0.9795,WavLM,EmoDB,clean
Layer 10,10,0.985,0.0127,0.9849,WavLM,EmoDB,clean
Layer 11,11,0.9776,0.0075,0.9776,WavLM,EmoDB,clean
Layer 12,12,0.9776,0.0095,0.9774,WavLM,EmoDB,clean
Layer 13,13,0.9701,0.007,0.97,WavLM,EmoDB,clean
Layer 14,14,0.9682,0.0127,0.968,WavLM,EmoDB,clean
Layer 15,15,0.9664,0.0163,0.9663,WavLM,EmoDB,clean
Layer 16,16,0.9589,0.0226,0.9588,WavLM,EmoDB,clean
Layer 17,17,0.9645,0.0124,0.9643,WavLM,EmoDB,clean
Layer 18,18,0.9701,0.015,0.9699,WavLM,EmoDB,clean
Layer 19,19,0.9682,0.0248,0.9679,WavLM,EmoDB,clean
Layer 20,20,0.9664,0.0152,0.9661,WavLM,EmoDB,clean
Layer 21,21,0.9589,0.0095,0.9586,WavLM,EmoDB,clean
Layer 22,22,0.957,0.0183,0.9566,WavLM,EmoDB,clean
Layer 23,23,0.9477,0.0127,0.9471,WavLM,EmoDB,clean
Layer 24,24,0.9477,0.0163,0.947,WavLM,EmoDB,clean
CNN,0,0.5869,0.0478,0.5831,WavLM,EmoDB,0
Layer 1,1,0.6766,0.0468,0.6707,WavLM,EmoDB,0
Layer 2,2,0.7439,0.0433,0.7387,WavLM,EmoDB,0
Layer 3,3,0.7757,0.0397,0.7693,WavLM,EmoDB,0
Layer 4,4,0.7869,0.0247,0.7847,WavLM,EmoDB,0
Layer 5,5,0.8168,0.0337,0.8137,WavLM,EmoDB,0
Layer 6,6,0.8393,0.0286,0.8364,WavLM,EmoDB,0
Layer 7,7,0.8579,0.0137,0.8567,WavLM,EmoDB,0
Layer 8,8,0.8523,0.0171,0.85,WavLM,EmoDB,0
Layer 9,9,0.843,0.0254,0.8397,WavLM,EmoDB,0
Layer 10,10,0.8336,0.0137,0.831,WavLM,EmoDB,0
Layer 11,11,0.8224,0.0156,0.8199,WavLM,EmoDB,0
Layer 12,12,0.7981,0.0255,0.797,WavLM,EmoDB,0
Layer 13,13,0.7907,0.0468,0.7879,WavLM,EmoDB,0
Layer 14,14,0.7963,0.0394,0.7941,WavLM,EmoDB,0
Layer 15,15,0.7888,0.0337,0.7874,WavLM,EmoDB,0
Layer 16,16,0.785,0.0177,0.783,WavLM,EmoDB,0
Layer 17,17,0.7757,0.0296,0.7735,WavLM,EmoDB,0
Layer 18,18,0.7701,0.0192,0.7664,WavLM,EmoDB,0
Layer 19,19,0.7776,0.0216,0.7745,WavLM,EmoDB,0
Layer 20,20,0.7701,0.0218,0.7682,WavLM,EmoDB,0
Layer 21,21,0.7589,0.0181,0.7559,WavLM,EmoDB,0
Layer 22,22,0.729,0.0307,0.7252,WavLM,EmoDB,0
Layer 23,23,0.729,0.0229,0.7263,WavLM,EmoDB,0
Layer 24,24,0.7234,0.0372,0.7206,WavLM,EmoDB,0
