Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.6527,0.011,0.6521,WavLM,IEMOCAP,clean
Layer 1,1,0.6667,0.0096,0.6664,WavLM,IEMOCAP,clean
Layer 2,2,0.6811,0.013,0.681,WavLM,IEMOCAP,clean
Layer 3,3,0.6742,0.015,0.6741,WavLM,IEMOCAP,clean
Layer 4,4,0.6632,0.025,0.663,WavLM,IEMOCAP,clean
Layer 5,5,0.6685,0.0124,0.6683,WavLM,IEMOCAP,clean
Layer 6,6,0.6711,0.0159,0.6711,WavLM,IEMOCAP,clean
Layer 7,7,0.6685,0.0178,0.6688,WavLM,IEMOCAP,clean
Layer 8,8,0.6773,0.0141,0.6776,WavLM,IEMOCAP,clean
Layer 9,9,0.6813,0.0155,0.6814,WavLM,IEMOCAP,clean
Layer 10,10,0.6848,0.0223,0.6846,WavLM,IEMOCAP,clean
Layer 11,11,0.6835,0.0146,0.6835,WavLM,IEMOCAP,clean
Layer 12,12,0.6817,0.0158,0.6817,WavLM,IEMOCAP,clean
Layer 13,13,0.6848,0.013,0.6848,WavLM,IEMOCAP,clean
Layer 14,14,0.6837,0.0054,0.6838,WavLM,IEMOCAP,clean
Layer 15,15,0.6806,0.0034,0.6807,WavLM,IEMOCAP,clean
Layer 16,16,0.6857,0.0137,0.6856,WavLM,IEMOCAP,clean
Layer 17,17,0.6857,0.0164,0.6858,WavLM,IEMOCAP,clean
Layer 18,18,0.6797,0.0146,0.6795,WavLM,IEMOCAP,clean
Layer 19,19,0.6833,0.0084,0.6832,WavLM,IEMOCAP,clean
Layer 20,20,0.674,0.0083,0.6738,WavLM,IEMOCAP,clean
Layer 21,21,0.6855,0.0155,0.6854,WavLM,IEMOCAP,clean
Layer 22,22,0.689,0.0066,0.6893,WavLM,IEMOCAP,clean
Layer 23,23,0.6733,0.0203,0.6733,WavLM,IEMOCAP,clean
Layer 24,24,0.6665,0.0167,0.6666,WavLM,IEMOCAP,clean
CNN,0,0.463,0.014,0.4629,WavLM,IEMOCAP,0
Layer 1,1,0.5009,0.0136,0.5005,WavLM,IEMOCAP,0
Layer 2,2,0.504,0.0107,0.5037,WavLM,IEMOCAP,0
Layer 3,3,0.4996,0.0125,0.4994,WavLM,IEMOCAP,0
Layer 4,4,0.5005,0.009,0.5002,WavLM,IEMOCAP,0
Layer 5,5,0.5108,0.0164,0.5104,WavLM,IEMOCAP,0
Layer 6,6,0.4978,0.0099,0.4976,WavLM,IEMOCAP,0
Layer 7,7,0.5086,0.0152,0.5081,WavLM,IEMOCAP,0
Layer 8,8,0.5002,0.0194,0.4996,WavLM,IEMOCAP,0
Layer 9,9,0.5125,0.0078,0.5118,WavLM,IEMOCAP,0
Layer 10,10,0.5092,0.0082,0.5087,WavLM,IEMOCAP,0
Layer 11,11,0.5084,0.0103,0.5076,WavLM,IEMOCAP,0
Layer 12,12,0.4956,0.0161,0.495,WavLM,IEMOCAP,0
Layer 13,13,0.504,0.0156,0.5036,WavLM,IEMOCAP,0
Layer 14,14,0.494,0.0196,0.4936,WavLM,IEMOCAP,0
Layer 15,15,0.4941,0.0186,0.4939,WavLM,IEMOCAP,0
Layer 16,16,0.485,0.0089,0.4847,WavLM,IEMOCAP,0
Layer 17,17,0.4886,0.0183,0.4886,WavLM,IEMOCAP,0
Layer 18,18,0.4938,0.0113,0.4935,WavLM,IEMOCAP,0
Layer 19,19,0.4945,0.0137,0.4942,WavLM,IEMOCAP,0
Layer 20,20,0.4934,0.0156,0.493,WavLM,IEMOCAP,0
Layer 21,21,0.4864,0.0092,0.4861,WavLM,IEMOCAP,0
Layer 22,22,0.4766,0.0195,0.4764,WavLM,IEMOCAP,0
Layer 23,23,0.4626,0.0236,0.4624,WavLM,IEMOCAP,0
Layer 24,24,0.4654,0.0159,0.4651,WavLM,IEMOCAP,0
CNN,0,0.5342,0.011,0.5334,WavLM,IEMOCAP,10
