Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.7796,0.0302,0.7783,WavLM,MESD,clean
Layer 1,1,0.8631,0.0267,0.8633,WavLM,MESD,clean
Layer 2,2,0.8979,0.0081,0.8975,WavLM,MESD,clean
Layer 3,3,0.8921,0.0048,0.8915,WavLM,MESD,clean
Layer 4,4,0.8956,0.016,0.8954,WavLM,MESD,clean
Layer 5,5,0.9107,0.0199,0.9104,WavLM,MESD,clean
Layer 6,6,0.9096,0.0208,0.9094,WavLM,MESD,clean
Layer 7,7,0.9246,0.0131,0.9245,WavLM,MESD,clean
Layer 8,8,0.9154,0.0172,0.9148,WavLM,MESD,clean
Layer 9,9,0.8991,0.0076,0.899,WavLM,MESD,clean
Layer 10,10,0.8829,0.0252,0.8822,WavLM,MESD,clean
Layer 11,11,0.8817,0.0163,0.8808,WavLM,MESD,clean
Layer 12,12,0.8666,0.0264,0.8655,WavLM,MESD,clean
Layer 13,13,0.8411,0.0274,0.84,WavLM,MESD,clean
Layer 14,14,0.8144,0.0233,0.813,WavLM,MESD,clean
Layer 15,15,0.8051,0.0302,0.8044,WavLM,MESD,clean
Layer 16,16,0.804,0.0245,0.8035,WavLM,MESD,clean
Layer 17,17,0.7982,0.0159,0.7977,WavLM,MESD,clean
Layer 18,18,0.797,0.0115,0.7961,WavLM,MESD,clean
Layer 19,19,0.7936,0.0342,0.7925,WavLM,MESD,clean
Layer 20,20,0.7749,0.0199,0.7752,WavLM,MESD,clean
Layer 21,21,0.7715,0.0265,0.7703,WavLM,MESD,clean
Layer 22,22,0.7622,0.0269,0.7611,WavLM,MESD,clean
Layer 23,23,0.739,0.0333,0.7379,WavLM,MESD,clean
Layer 24,24,0.7297,0.0137,0.7291,WavLM,MESD,clean
CNN,0,0.4803,0.0261,0.4774,WavLM,MESD,0
Layer 1,1,0.5419,0.0409,0.5418,WavLM,MESD,0
Layer 2,2,0.5964,0.0465,0.5975,WavLM,MESD,0
Layer 3,3,0.6149,0.0269,0.6149,WavLM,MESD,0
Layer 4,4,0.6148,0.0318,0.6146,WavLM,MESD,0
Layer 5,5,0.6345,0.0324,0.6338,WavLM,MESD,0
Layer 6,6,0.6403,0.0367,0.6391,WavLM,MESD,0
Layer 7,7,0.6334,0.0176,0.6335,WavLM,MESD,0
Layer 8,8,0.6589,0.0159,0.6582,WavLM,MESD,0
Layer 9,9,0.6335,0.0407,0.6316,WavLM,MESD,0
Layer 10,10,0.6288,0.0444,0.6289,WavLM,MESD,0
Layer 11,11,0.6184,0.0389,0.6182,WavLM,MESD,0
Layer 12,12,0.6115,0.0495,0.6102,WavLM,MESD,0
Layer 13,13,0.5964,0.0495,0.5957,WavLM,MESD,0
Layer 14,14,0.5651,0.0515,0.5648,WavLM,MESD,0
Layer 15,15,0.5639,0.0293,0.5643,WavLM,MESD,0
Layer 16,16,0.5545,0.0375,0.5541,WavLM,MESD,0
Layer 17,17,0.5406,0.0478,0.5388,WavLM,MESD,0
Layer 18,18,0.5337,0.0523,0.5338,WavLM,MESD,0
Layer 19,19,0.5024,0.0417,0.5023,WavLM,MESD,0
Layer 20,20,0.4827,0.0355,0.4825,WavLM,MESD,0
Layer 21,21,0.507,0.0435,0.5064,WavLM,MESD,0
Layer 22,22,0.5035,0.0518,0.5013,WavLM,MESD,0
Layer 23,23,0.4583,0.0375,0.4559,WavLM,MESD,0
Layer 24,24,0.442,0.0331,0.4406,WavLM,MESD,0
CNN,0,0.5975,0.0068,0.5943,WavLM,MESD,10
Layer 1,1,0.6589,0.0313,0.657,WavLM,MESD,10
Layer 2,2,0.7205,0.0242,0.7197,WavLM,MESD,10
Layer 3,3,0.7704,0.0286,0.7696,WavLM,MESD,10
Layer 4,4,0.7842,0.0135,0.7836,WavLM,MESD,10
Layer 5,5,0.7947,0.025,0.7938,WavLM,MESD,10
Layer 6,6,0.8098,0.0258,0.8091,WavLM,MESD,10
Layer 7,7,0.7866,0.0223,0.7854,WavLM,MESD,10
Layer 8,8,0.7703,0.0271,0.7695,WavLM,MESD,10
Layer 9,9,0.7819,0.0222,0.7814,WavLM,MESD,10
Layer 10,10,0.7703,0.0356,0.7691,WavLM,MESD,10
Layer 11,11,0.7645,0.0309,0.7635,WavLM,MESD,10
Layer 12,12,0.7309,0.0295,0.7306,WavLM,MESD,10
Layer 13,13,0.7402,0.0333,0.7388,WavLM,MESD,10
Layer 14,14,0.71,0.0239,0.7099,WavLM,MESD,10
Layer 15,15,0.6879,0.0131,0.6857,WavLM,MESD,10
Layer 16,16,0.6764,0.0154,0.6742,WavLM,MESD,10
Layer 17,17,0.6857,0.0332,0.6838,WavLM,MESD,10
Layer 18,18,0.6485,0.022,0.6478,WavLM,MESD,10
Layer 19,19,0.6381,0.0263,0.6366,WavLM,MESD,10
Layer 20,20,0.6219,0.0219,0.6224,WavLM,MESD,10
Layer 21,21,0.652,0.0212,0.6539,WavLM,MESD,10
Layer 22,22,0.6439,0.0164,0.6438,WavLM,MESD,10
Layer 23,23,0.6103,0.0367,0.6092,WavLM,MESD,10
Layer 24,24,0.5789,0.0358,0.5777,WavLM,MESD,10
CNN,0,0.6497,0.0187,0.6465,WavLM,MESD,20
Layer 1,1,0.7529,0.0226,0.7514,WavLM,MESD,20
Layer 2,2,0.7889,0.0266,0.788,WavLM,MESD,20
Layer 3,3,0.8167,0.0158,0.8157,WavLM,MESD,20
Layer 4,4,0.8376,0.0187,0.8369,WavLM,MESD,20
Layer 5,5,0.8504,0.0285,0.8492,WavLM,MESD,20
Layer 6,6,0.8458,0.0272,0.845,WavLM,MESD,20
