Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.75,0.0147,0.7476,WavLM,SAVEE,clean
Layer 1,1,0.8,0.0332,0.798,WavLM,SAVEE,clean
Layer 2,2,0.8417,0.0212,0.8413,WavLM,SAVEE,clean
Layer 3,3,0.8458,0.0167,0.8453,WavLM,SAVEE,clean
Layer 4,4,0.8542,0.0401,0.8526,WavLM,SAVEE,clean
Layer 5,5,0.8604,0.0204,0.8583,WavLM,SAVEE,clean
Layer 6,6,0.8875,0.0179,0.8868,WavLM,SAVEE,clean
Layer 7,7,0.875,0.0287,0.8746,WavLM,SAVEE,clean
Layer 8,8,0.8771,0.0283,0.8764,WavLM,SAVEE,clean
Layer 9,9,0.8667,0.0212,0.866,WavLM,SAVEE,clean
Layer 10,10,0.8542,0.0066,0.8541,WavLM,SAVEE,clean
Layer 11,11,0.8438,0.0208,0.843,WavLM,SAVEE,clean
Layer 12,12,0.8312,0.0275,0.8305,WavLM,SAVEE,clean
Layer 13,13,0.8438,0.0238,0.8435,WavLM,SAVEE,clean
Layer 14,14,0.8417,0.029,0.8425,WavLM,SAVEE,clean
Layer 15,15,0.8521,0.0305,0.8529,WavLM,SAVEE,clean
Layer 16,16,0.8583,0.0182,0.8586,WavLM,SAVEE,clean
Layer 17,17,0.8833,0.0121,0.8832,WavLM,SAVEE,clean
Layer 18,18,0.8667,0.0167,0.8669,WavLM,SAVEE,clean
Layer 19,19,0.8667,0.0138,0.8662,WavLM,SAVEE,clean
Layer 20,20,0.8458,0.0191,0.8468,WavLM,SAVEE,clean
Layer 21,21,0.8458,0.0153,0.8458,WavLM,SAVEE,clean
Layer 22,22,0.8292,0.0252,0.8267,WavLM,SAVEE,clean
Layer 23,23,0.8083,0.0268,0.8086,WavLM,SAVEE,clean
Layer 24,24,0.8188,0.0169,0.8189,WavLM,SAVEE,clean
CNN,0,0.3417,0.0557,0.3385,WavLM,SAVEE,0
Layer 1,1,0.3854,0.039,0.3817,WavLM,SAVEE,0
Layer 2,2,0.4188,0.0298,0.4123,WavLM,SAVEE,0
Layer 3,3,0.4146,0.0332,0.4033,WavLM,SAVEE,0
Layer 4,4,0.3854,0.0563,0.3758,WavLM,SAVEE,0
