Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.8129,0.0086,0.8129,WavLM,AESDD,clean
Layer 1,1,0.8626,0.0185,0.8623,WavLM,AESDD,clean
Layer 2,2,0.8758,0.012,0.8755,WavLM,AESDD,clean
Layer 3,3,0.899,0.013,0.8989,WavLM,AESDD,clean
Layer 4,4,0.9189,0.0034,0.9185,WavLM,AESDD,clean
Layer 5,5,0.9255,0.0158,0.9253,WavLM,AESDD,clean
Layer 6,6,0.9454,0.0154,0.9451,WavLM,AESDD,clean
Layer 7,7,0.947,0.0186,0.9468,WavLM,AESDD,clean
Layer 8,8,0.9404,0.016,0.9398,WavLM,AESDD,clean
Layer 9,9,0.9504,0.0173,0.9502,WavLM,AESDD,clean
Layer 10,10,0.9421,0.0215,0.9417,WavLM,AESDD,clean
Layer 11,11,0.9421,0.0117,0.9417,WavLM,AESDD,clean
Layer 12,12,0.9338,0.0173,0.9335,WavLM,AESDD,clean
Layer 13,13,0.9222,0.0219,0.9216,WavLM,AESDD,clean
Layer 14,14,0.9321,0.0252,0.9317,WavLM,AESDD,clean
Layer 15,15,0.9255,0.025,0.9254,WavLM,AESDD,clean
Layer 16,16,0.9239,0.0247,0.9237,WavLM,AESDD,clean
Layer 17,17,0.909,0.0321,0.9089,WavLM,AESDD,clean
Layer 18,18,0.914,0.0298,0.9139,WavLM,AESDD,clean
Layer 19,19,0.9023,0.0273,0.9026,WavLM,AESDD,clean
Layer 20,20,0.9073,0.0225,0.9072,WavLM,AESDD,clean
Layer 21,21,0.9056,0.0219,0.906,WavLM,AESDD,clean
Layer 22,22,0.8874,0.0299,0.887,WavLM,AESDD,clean
Layer 23,23,0.8874,0.0111,0.8868,WavLM,AESDD,clean
Layer 24,24,0.8891,0.0153,0.8881,WavLM,AESDD,clean
CNN,0,0.5051,0.0594,0.4995,WavLM,AESDD,0
Layer 1,1,0.5696,0.0462,0.5676,WavLM,AESDD,0
Layer 2,2,0.606,0.0283,0.6034,WavLM,AESDD,0
Layer 3,3,0.654,0.0202,0.6516,WavLM,AESDD,0
Layer 4,4,0.6391,0.0285,0.6357,WavLM,AESDD,0
Layer 5,5,0.6656,0.0193,0.6622,WavLM,AESDD,0
Layer 6,6,0.6905,0.0242,0.6899,WavLM,AESDD,0
Layer 7,7,0.7252,0.0293,0.7249,WavLM,AESDD,0
Layer 8,8,0.7268,0.0155,0.728,WavLM,AESDD,0
Layer 9,9,0.7285,0.0206,0.7285,WavLM,AESDD,0
Layer 10,10,0.7037,0.0335,0.7034,WavLM,AESDD,0
Layer 11,11,0.7169,0.0293,0.7167,WavLM,AESDD,0
Layer 12,12,0.7005,0.0453,0.7015,WavLM,AESDD,0
Layer 13,13,0.6872,0.0427,0.6882,WavLM,AESDD,0
Layer 14,14,0.6823,0.0563,0.6815,WavLM,AESDD,0
Layer 15,15,0.674,0.0468,0.673,WavLM,AESDD,0
Layer 16,16,0.6326,0.0478,0.6329,WavLM,AESDD,0
Layer 17,17,0.6359,0.0485,0.6361,WavLM,AESDD,0
Layer 18,18,0.6343,0.0497,0.6343,WavLM,AESDD,0
Layer 19,19,0.621,0.0466,0.6212,WavLM,AESDD,0
Layer 20,20,0.6178,0.0736,0.6182,WavLM,AESDD,0
Layer 21,21,0.6127,0.035,0.6113,WavLM,AESDD,0
Layer 22,22,0.5845,0.0557,0.5837,WavLM,AESDD,0
Layer 23,23,0.5828,0.0405,0.5805,WavLM,AESDD,0
Layer 24,24,0.573,0.0644,0.5715,WavLM,AESDD,0
CNN,0,0.616,0.052,0.6126,WavLM,AESDD,10
Layer 1,1,0.6872,0.0448,0.6865,WavLM,AESDD,10
Layer 2,2,0.7153,0.0244,0.7136,WavLM,AESDD,10
Layer 3,3,0.7765,0.0136,0.7716,WavLM,AESDD,10
Layer 4,4,0.7732,0.0161,0.7699,WavLM,AESDD,10
Layer 5,5,0.7964,0.0185,0.7952,WavLM,AESDD,10
Layer 6,6,0.8593,0.017,0.8594,WavLM,AESDD,10
Layer 7,7,0.8592,0.0264,0.8591,WavLM,AESDD,10
Layer 8,8,0.8791,0.022,0.8793,WavLM,AESDD,10
Layer 9,9,0.8841,0.0335,0.8832,WavLM,AESDD,10
Layer 10,10,0.8758,0.025,0.8754,WavLM,AESDD,10
Layer 11,11,0.8643,0.0192,0.8642,WavLM,AESDD,10
Layer 12,12,0.8527,0.0355,0.8528,WavLM,AESDD,10
Layer 13,13,0.8494,0.0338,0.8493,WavLM,AESDD,10
Layer 14,14,0.8113,0.0368,0.8106,WavLM,AESDD,10
Layer 15,15,0.7931,0.0355,0.7928,WavLM,AESDD,10
Layer 16,16,0.7882,0.032,0.7883,WavLM,AESDD,10
Layer 17,17,0.7848,0.0235,0.7859,WavLM,AESDD,10
Layer 18,18,0.7633,0.0187,0.7624,WavLM,AESDD,10
Layer 19,19,0.7732,0.0252,0.772,WavLM,AESDD,10
Layer 20,20,0.7799,0.0435,0.7805,WavLM,AESDD,10
Layer 21,21,0.7799,0.0254,0.7789,WavLM,AESDD,10
Layer 22,22,0.7534,0.0325,0.752,WavLM,AESDD,10
Layer 23,23,0.7566,0.028,0.755,WavLM,AESDD,10
Layer 24,24,0.7698,0.0173,0.7667,WavLM,AESDD,10
CNN,0,0.6458,0.0276,0.645,WavLM,AESDD,20
Layer 1,1,0.75,0.0165,0.7487,WavLM,AESDD,20
Layer 2,2,0.7848,0.0105,0.7818,WavLM,AESDD,20
Layer 3,3,0.8245,0.0129,0.8214,WavLM,AESDD,20
Layer 4,4,0.8328,0.0278,0.8311,WavLM,AESDD,20
Layer 5,5,0.8527,0.0282,0.8521,WavLM,AESDD,20
Layer 6,6,0.8891,0.0198,0.8887,WavLM,AESDD,20
Layer 7,7,0.899,0.0206,0.8986,WavLM,AESDD,20
Layer 8,8,0.9205,0.02,0.9201,WavLM,AESDD,20
Layer 9,9,0.9189,0.0274,0.9183,WavLM,AESDD,20
Layer 10,10,0.9056,0.0085,0.9052,WavLM,AESDD,20
Layer 11,11,0.904,0.0171,0.9036,WavLM,AESDD,20
Layer 12,12,0.894,0.023,0.8937,WavLM,AESDD,20
Layer 13,13,0.889,0.0126,0.8884,WavLM,AESDD,20
Layer 14,14,0.8577,0.0202,0.8574,WavLM,AESDD,20
Layer 15,15,0.8527,0.025,0.8517,WavLM,AESDD,20
Layer 16,16,0.8593,0.0337,0.8585,WavLM,AESDD,20
Layer 17,17,0.8461,0.0267,0.8453,WavLM,AESDD,20
Layer 18,18,0.8411,0.0245,0.8407,WavLM,AESDD,20
Layer 19,19,0.8378,0.0305,0.8377,WavLM,AESDD,20
Layer 20,20,0.8461,0.0268,0.8466,WavLM,AESDD,20
Layer 21,21,0.8527,0.0141,0.8524,WavLM,AESDD,20
Layer 22,22,0.8493,0.0236,0.8481,WavLM,AESDD,20
Layer 23,23,0.841,0.0231,0.84,WavLM,AESDD,20
Layer 24,24,0.8294,0.0231,0.8282,WavLM,AESDD,20
CNN,0,0.5564,0.0594,0.5545,WavLM,AESDD,5
Layer 1,1,0.6375,0.0474,0.6358,WavLM,AESDD,5
Layer 2,2,0.6756,0.0234,0.6749,WavLM,AESDD,5
Layer 3,3,0.7037,0.0217,0.7007,WavLM,AESDD,5
Layer 4,4,0.745,0.0148,0.7428,WavLM,AESDD,5
Layer 5,5,0.7566,0.0079,0.7545,WavLM,AESDD,5
Layer 6,6,0.7881,0.0256,0.7871,WavLM,AESDD,5
Layer 7,7,0.8046,0.0133,0.8036,WavLM,AESDD,5
Layer 8,8,0.8013,0.0207,0.8006,WavLM,AESDD,5
Layer 9,9,0.8014,0.0225,0.802,WavLM,AESDD,5
Layer 10,10,0.7947,0.0137,0.795,WavLM,AESDD,5
Layer 11,11,0.7815,0.0248,0.7821,WavLM,AESDD,5
Layer 12,12,0.7749,0.0278,0.7756,WavLM,AESDD,5
Layer 13,13,0.7749,0.0345,0.7747,WavLM,AESDD,5
Layer 14,14,0.7467,0.0265,0.747,WavLM,AESDD,5
Layer 15,15,0.7468,0.0343,0.7469,WavLM,AESDD,5
Layer 16,16,0.722,0.033,0.7214,WavLM,AESDD,5
Layer 17,17,0.7037,0.0313,0.7034,WavLM,AESDD,5
Layer 18,18,0.7169,0.0236,0.7182,WavLM,AESDD,5
Layer 19,19,0.7021,0.0371,0.7038,WavLM,AESDD,5
