Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.8079,0.0267,0.8074,Whisper,AESDD,clean
Layer 1,1,0.798,0.017,0.7973,Whisper,AESDD,clean
Layer 2,2,0.8295,0.0171,0.8287,Whisper,AESDD,clean
Layer 3,3,0.8642,0.0172,0.8636,Whisper,AESDD,clean
Layer 4,4,0.8974,0.017,0.8964,Whisper,AESDD,clean
Layer 5,5,0.9189,0.0096,0.9184,Whisper,AESDD,clean
Layer 6,6,0.9239,0.008,0.9233,Whisper,AESDD,clean
Layer 7,7,0.9421,0.0104,0.9416,Whisper,AESDD,clean
Layer 8,8,0.9255,0.0052,0.9244,Whisper,AESDD,clean
Layer 9,9,0.9421,0.0209,0.9415,Whisper,AESDD,clean
Layer 10,10,0.9586,0.0216,0.9583,Whisper,AESDD,clean
Layer 11,11,0.9337,0.0149,0.9332,Whisper,AESDD,clean
Layer 12,12,0.9338,0.0261,0.9333,Whisper,AESDD,clean
Layer 13,13,0.9387,0.0308,0.9384,Whisper,AESDD,clean
Layer 14,14,0.9338,0.0251,0.9333,Whisper,AESDD,clean
Layer 15,15,0.9437,0.016,0.9436,Whisper,AESDD,clean
Layer 16,16,0.9304,0.0261,0.93,Whisper,AESDD,clean
Layer 17,17,0.9288,0.0346,0.9282,Whisper,AESDD,clean
Layer 18,18,0.9371,0.025,0.9366,Whisper,AESDD,clean
Layer 19,19,0.9304,0.025,0.9301,Whisper,AESDD,clean
Layer 20,20,0.9239,0.0095,0.9235,Whisper,AESDD,clean
Layer 21,21,0.9255,0.0172,0.9253,Whisper,AESDD,clean
Layer 22,22,0.9189,0.0191,0.9184,Whisper,AESDD,clean
Layer 23,23,0.904,0.026,0.9039,Whisper,AESDD,clean
Layer 24,24,0.9106,0.0319,0.9105,Whisper,AESDD,clean
CNN,0,0.462,0.0397,0.4596,Whisper,AESDD,0
Layer 1,1,0.5977,0.0192,0.5916,Whisper,AESDD,0
Layer 2,2,0.6276,0.039,0.6247,Whisper,AESDD,0
Layer 3,3,0.6639,0.0189,0.6606,Whisper,AESDD,0
Layer 4,4,0.7118,0.0604,0.7097,Whisper,AESDD,0
Layer 5,5,0.7764,0.0416,0.7745,Whisper,AESDD,0
Layer 6,6,0.8046,0.0188,0.8037,Whisper,AESDD,0
Layer 7,7,0.8328,0.0212,0.8307,Whisper,AESDD,0
Layer 8,8,0.8278,0.0095,0.8257,Whisper,AESDD,0
Layer 9,9,0.846,0.0518,0.8453,Whisper,AESDD,0
Layer 10,10,0.8659,0.056,0.8642,Whisper,AESDD,0
Layer 11,11,0.8709,0.0264,0.8702,Whisper,AESDD,0
Layer 12,12,0.8708,0.0209,0.8687,Whisper,AESDD,0
Layer 13,13,0.8725,0.0258,0.8705,Whisper,AESDD,0
Layer 14,14,0.8493,0.017,0.8476,Whisper,AESDD,0
Layer 15,15,0.8444,0.0216,0.8425,Whisper,AESDD,0
Layer 16,16,0.8444,0.0097,0.843,Whisper,AESDD,0
Layer 17,17,0.8477,0.028,0.8466,Whisper,AESDD,0
Layer 18,18,0.8526,0.0177,0.8521,Whisper,AESDD,0
Layer 19,19,0.8328,0.0182,0.8331,Whisper,AESDD,0
Layer 20,20,0.8394,0.0151,0.8391,Whisper,AESDD,0
Layer 21,21,0.8294,0.0139,0.828,Whisper,AESDD,0
Layer 22,22,0.8344,0.0115,0.8337,Whisper,AESDD,0
Layer 23,23,0.8196,0.0149,0.819,Whisper,AESDD,0
Layer 24,24,0.7964,0.0159,0.7953,Whisper,AESDD,0
CNN,0,0.5663,0.0564,0.5661,Whisper,AESDD,10
Layer 1,1,0.6822,0.0316,0.6795,Whisper,AESDD,10
Layer 2,2,0.702,0.0341,0.7,Whisper,AESDD,10
Layer 3,3,0.7483,0.0368,0.7486,Whisper,AESDD,10
Layer 4,4,0.8229,0.0218,0.8216,Whisper,AESDD,10
Layer 5,5,0.8543,0.0264,0.8513,Whisper,AESDD,10
Layer 6,6,0.8709,0.0154,0.8696,Whisper,AESDD,10
Layer 7,7,0.8692,0.0191,0.8672,Whisper,AESDD,10
Layer 8,8,0.8825,0.0204,0.8801,Whisper,AESDD,10
Layer 9,9,0.899,0.0143,0.8981,Whisper,AESDD,10
Layer 10,10,0.9023,0.0339,0.9013,Whisper,AESDD,10
Layer 11,11,0.904,0.0125,0.9028,Whisper,AESDD,10
Layer 12,12,0.9172,0.0218,0.9163,Whisper,AESDD,10
Layer 13,13,0.9205,0.0194,0.9196,Whisper,AESDD,10
Layer 14,14,0.9073,0.0258,0.9068,Whisper,AESDD,10
Layer 15,15,0.8957,0.0199,0.8946,Whisper,AESDD,10
Layer 16,16,0.9007,0.0127,0.8997,Whisper,AESDD,10
Layer 17,17,0.9023,0.0243,0.9017,Whisper,AESDD,10
Layer 18,18,0.894,0.0083,0.8937,Whisper,AESDD,10
Layer 19,19,0.8973,0.0223,0.8966,Whisper,AESDD,10
Layer 20,20,0.9006,0.012,0.8999,Whisper,AESDD,10
Layer 21,21,0.904,0.0113,0.9035,Whisper,AESDD,10
Layer 22,22,0.8592,0.0191,0.8587,Whisper,AESDD,10
Layer 23,23,0.856,0.0249,0.8551,Whisper,AESDD,10
Layer 24,24,0.8427,0.0326,0.8423,Whisper,AESDD,10
CNN,0,0.6292,0.0531,0.6288,Whisper,AESDD,20
Layer 1,1,0.7236,0.0319,0.7221,Whisper,AESDD,20
Layer 2,2,0.7616,0.0133,0.7591,Whisper,AESDD,20
Layer 3,3,0.8129,0.0314,0.8118,Whisper,AESDD,20
Layer 4,4,0.8494,0.0159,0.8483,Whisper,AESDD,20
Layer 5,5,0.8725,0.0169,0.8711,Whisper,AESDD,20
Layer 6,6,0.8957,0.0162,0.8946,Whisper,AESDD,20
Layer 7,7,0.8957,0.0248,0.8948,Whisper,AESDD,20
Layer 8,8,0.9023,0.0098,0.9007,Whisper,AESDD,20
Layer 9,9,0.9221,0.0262,0.9212,Whisper,AESDD,20
Layer 10,10,0.9321,0.0295,0.9316,Whisper,AESDD,20
Layer 11,11,0.9305,0.004,0.93,Whisper,AESDD,20
Layer 12,12,0.9354,0.0145,0.9349,Whisper,AESDD,20
Layer 13,13,0.9304,0.0257,0.9299,Whisper,AESDD,20
Layer 14,14,0.9271,0.016,0.927,Whisper,AESDD,20
Layer 15,15,0.9271,0.0242,0.9267,Whisper,AESDD,20
Layer 16,16,0.9238,0.0232,0.9237,Whisper,AESDD,20
Layer 17,17,0.9122,0.0265,0.9114,Whisper,AESDD,20
Layer 18,18,0.9288,0.0265,0.9282,Whisper,AESDD,20
Layer 19,19,0.9304,0.0267,0.9301,Whisper,AESDD,20
Layer 20,20,0.9188,0.025,0.9182,Whisper,AESDD,20
Layer 21,21,0.9172,0.0074,0.917,Whisper,AESDD,20
Layer 22,22,0.8974,0.0122,0.8966,Whisper,AESDD,20
Layer 23,23,0.8808,0.0194,0.8797,Whisper,AESDD,20
Layer 24,24,0.8725,0.0375,0.8722,Whisper,AESDD,20
CNN,0,0.515,0.0476,0.5141,Whisper,AESDD,5
Layer 1,1,0.6341,0.0174,0.6319,Whisper,AESDD,5
Layer 2,2,0.6872,0.0295,0.6839,Whisper,AESDD,5
Layer 3,3,0.7119,0.0369,0.7114,Whisper,AESDD,5
Layer 4,4,0.7682,0.0369,0.7666,Whisper,AESDD,5
Layer 5,5,0.8129,0.0303,0.81,Whisper,AESDD,5
Layer 6,6,0.8493,0.0226,0.8474,Whisper,AESDD,5
Layer 7,7,0.8494,0.0181,0.8463,Whisper,AESDD,5
Layer 8,8,0.8659,0.0167,0.8637,Whisper,AESDD,5
Layer 9,9,0.8774,0.0374,0.8766,Whisper,AESDD,5
Layer 10,10,0.8807,0.0378,0.8799,Whisper,AESDD,5
Layer 11,11,0.8858,0.032,0.8845,Whisper,AESDD,5
Layer 12,12,0.889,0.0214,0.8879,Whisper,AESDD,5
Layer 13,13,0.9023,0.0194,0.9012,Whisper,AESDD,5
Layer 14,14,0.8808,0.0298,0.8798,Whisper,AESDD,5
Layer 15,15,0.8643,0.0169,0.8623,Whisper,AESDD,5
Layer 16,16,0.8791,0.0171,0.8781,Whisper,AESDD,5
Layer 17,17,0.8907,0.022,0.8896,Whisper,AESDD,5
Layer 18,18,0.8907,0.0224,0.8904,Whisper,AESDD,5
Layer 19,19,0.8824,0.0162,0.8817,Whisper,AESDD,5
Layer 20,20,0.8725,0.0113,0.8713,Whisper,AESDD,5
Layer 21,21,0.8808,0.01,0.8804,Whisper,AESDD,5
Layer 22,22,0.8692,0.0171,0.8686,Whisper,AESDD,5
Layer 23,23,0.8444,0.02,0.8426,Whisper,AESDD,5
Layer 24,24,0.8228,0.0244,0.8217,Whisper,AESDD,5
