Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.8841,0.0255,0.8812,Whisper,EmoDB,clean
Layer 1,1,0.8598,0.0313,0.8578,Whisper,EmoDB,clean
Layer 2,2,0.9065,0.0244,0.9052,Whisper,EmoDB,clean
Layer 3,3,0.9421,0.0239,0.9415,Whisper,EmoDB,clean
Layer 4,4,0.9645,0.0181,0.9644,Whisper,EmoDB,clean
Layer 5,5,0.9738,0.0109,0.9736,Whisper,EmoDB,clean
Layer 6,6,0.972,0.0102,0.9719,Whisper,EmoDB,clean
Layer 7,7,0.9757,0.0127,0.9755,Whisper,EmoDB,clean
Layer 8,8,0.9701,0.0092,0.9702,Whisper,EmoDB,clean
Layer 9,9,0.9813,0.0059,0.9814,Whisper,EmoDB,clean
Layer 10,10,0.9794,0.007,0.9795,Whisper,EmoDB,clean
Layer 11,11,0.9813,0.0059,0.9811,Whisper,EmoDB,clean
Layer 12,12,0.9832,0.0124,0.9831,Whisper,EmoDB,clean
Layer 13,13,0.985,0.0127,0.985,Whisper,EmoDB,clean
Layer 14,14,0.9794,0.007,0.9793,Whisper,EmoDB,clean
Layer 15,15,0.9869,0.0075,0.9869,Whisper,EmoDB,clean
Layer 16,16,0.9813,0.0102,0.9811,Whisper,EmoDB,clean
Layer 17,17,0.9794,0.0109,0.9793,Whisper,EmoDB,clean
Layer 18,18,0.9832,0.007,0.9829,Whisper,EmoDB,clean
Layer 19,19,0.972,0.0084,0.9718,Whisper,EmoDB,clean
Layer 20,20,0.9813,0.0102,0.9813,Whisper,EmoDB,clean
Layer 21,21,0.9757,0.0127,0.9758,Whisper,EmoDB,clean
Layer 22,22,0.9645,0.0092,0.9642,Whisper,EmoDB,clean
Layer 23,23,0.9682,0.0127,0.9679,Whisper,EmoDB,clean
Layer 24,24,0.9607,0.0181,0.9605,Whisper,EmoDB,clean
CNN,0,0.5308,0.0424,0.5254,Whisper,EmoDB,0
Layer 1,1,0.6374,0.0315,0.6353,Whisper,EmoDB,0
Layer 2,2,0.7308,0.0273,0.7252,Whisper,EmoDB,0
Layer 3,3,0.7626,0.0337,0.7573,Whisper,EmoDB,0
Layer 4,4,0.8168,0.0327,0.8113,Whisper,EmoDB,0
Layer 5,5,0.8505,0.0318,0.8465,Whisper,EmoDB,0
Layer 6,6,0.8561,0.0226,0.8547,Whisper,EmoDB,0
Layer 7,7,0.9009,0.0395,0.8968,Whisper,EmoDB,0
Layer 8,8,0.9103,0.0293,0.9086,Whisper,EmoDB,0
Layer 9,9,0.9159,0.0156,0.9148,Whisper,EmoDB,0
Layer 10,10,0.9234,0.026,0.9223,Whisper,EmoDB,0
Layer 11,11,0.9364,0.032,0.9363,Whisper,EmoDB,0
Layer 12,12,0.9421,0.0216,0.9412,Whisper,EmoDB,0
Layer 13,13,0.9421,0.0232,0.9411,Whisper,EmoDB,0
Layer 14,14,0.9346,0.0196,0.9337,Whisper,EmoDB,0
Layer 15,15,0.9458,0.026,0.9446,Whisper,EmoDB,0
Layer 16,16,0.9402,0.0173,0.9394,Whisper,EmoDB,0
Layer 17,17,0.9327,0.0124,0.9319,Whisper,EmoDB,0
Layer 18,18,0.9234,0.0247,0.9226,Whisper,EmoDB,0
Layer 19,19,0.9252,0.0187,0.9246,Whisper,EmoDB,0
Layer 20,20,0.9178,0.0161,0.9164,Whisper,EmoDB,0
Layer 21,21,0.914,0.026,0.9123,Whisper,EmoDB,0
Layer 22,22,0.9103,0.0241,0.9085,Whisper,EmoDB,0
Layer 23,23,0.9009,0.0163,0.8994,Whisper,EmoDB,0
Layer 24,24,0.9047,0.0092,0.9032,Whisper,EmoDB,0
CNN,0,0.6374,0.0286,0.6359,Whisper,EmoDB,10
Layer 1,1,0.7551,0.0273,0.7544,Whisper,EmoDB,10
Layer 2,2,0.8056,0.0208,0.8046,Whisper,EmoDB,10
Layer 3,3,0.8355,0.0248,0.833,Whisper,EmoDB,10
Layer 4,4,0.8748,0.0362,0.8721,Whisper,EmoDB,10
Layer 5,5,0.9196,0.0358,0.9184,Whisper,EmoDB,10
Layer 6,6,0.9308,0.0095,0.9303,Whisper,EmoDB,10
Layer 7,7,0.9439,0.0307,0.9431,Whisper,EmoDB,10
Layer 8,8,0.9439,0.0283,0.943,Whisper,EmoDB,10
Layer 9,9,0.9495,0.0268,0.9483,Whisper,EmoDB,10
Layer 10,10,0.9607,0.0224,0.96,Whisper,EmoDB,10
Layer 11,11,0.9607,0.0247,0.9603,Whisper,EmoDB,10
Layer 12,12,0.9626,0.0177,0.9625,Whisper,EmoDB,10
Layer 13,13,0.9664,0.0163,0.9661,Whisper,EmoDB,10
Layer 14,14,0.9626,0.0167,0.9622,Whisper,EmoDB,10
Layer 15,15,0.9589,0.0201,0.9588,Whisper,EmoDB,10
Layer 16,16,0.9589,0.0173,0.9585,Whisper,EmoDB,10
Layer 17,17,0.9645,0.0137,0.9642,Whisper,EmoDB,10
