Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.665,0.0086,0.6644,Whisper,IEMOCAP,clean
Layer 1,1,0.6778,0.0128,0.6774,Whisper,IEMOCAP,clean
Layer 2,2,0.67,0.0074,0.6698,Whisper,IEMOCAP,clean
Layer 3,3,0.6683,0.0073,0.6681,Whisper,IEMOCAP,clean
Layer 4,4,0.6751,0.0112,0.675,Whisper,IEMOCAP,clean
Layer 5,5,0.6833,0.0093,0.6831,Whisper,IEMOCAP,clean
Layer 6,6,0.6824,0.0091,0.6823,Whisper,IEMOCAP,clean
Layer 7,7,0.6832,0.0073,0.683,Whisper,IEMOCAP,clean
Layer 8,8,0.687,0.0125,0.6869,Whisper,IEMOCAP,clean
Layer 9,9,0.6875,0.0099,0.6875,Whisper,IEMOCAP,clean
Layer 10,10,0.6908,0.0117,0.6908,Whisper,IEMOCAP,clean
Layer 11,11,0.6925,0.0168,0.6923,Whisper,IEMOCAP,clean
Layer 12,12,0.6916,0.0131,0.6918,Whisper,IEMOCAP,clean
Layer 13,13,0.691,0.0171,0.6909,Whisper,IEMOCAP,clean
Layer 14,14,0.6932,0.0222,0.6931,Whisper,IEMOCAP,clean
Layer 15,15,0.6877,0.0195,0.6877,Whisper,IEMOCAP,clean
Layer 16,16,0.6908,0.024,0.6905,Whisper,IEMOCAP,clean
Layer 17,17,0.6951,0.0187,0.695,Whisper,IEMOCAP,clean
Layer 18,18,0.6899,0.0091,0.6898,Whisper,IEMOCAP,clean
Layer 19,19,0.6923,0.0152,0.6923,Whisper,IEMOCAP,clean
Layer 20,20,0.7002,0.0095,0.6999,Whisper,IEMOCAP,clean
Layer 21,21,0.6974,0.0075,0.6974,Whisper,IEMOCAP,clean
Layer 22,22,0.6936,0.0094,0.6935,Whisper,IEMOCAP,clean
Layer 23,23,0.6985,0.0054,0.6985,Whisper,IEMOCAP,clean
Layer 24,24,0.696,0.0101,0.6961,Whisper,IEMOCAP,clean
CNN,0,0.4971,0.012,0.4956,Whisper,IEMOCAP,0
Layer 1,1,0.5333,0.0189,0.5335,Whisper,IEMOCAP,0
Layer 2,2,0.5403,0.0167,0.5401,Whisper,IEMOCAP,0
Layer 3,3,0.5522,0.0125,0.552,Whisper,IEMOCAP,0
Layer 4,4,0.5619,0.0165,0.5613,Whisper,IEMOCAP,0
Layer 5,5,0.5764,0.0133,0.5762,Whisper,IEMOCAP,0
Layer 6,6,0.5872,0.0176,0.5869,Whisper,IEMOCAP,0
Layer 7,7,0.5767,0.0177,0.5765,Whisper,IEMOCAP,0
Layer 8,8,0.5973,0.0135,0.5971,Whisper,IEMOCAP,0
Layer 9,9,0.6059,0.0146,0.6057,Whisper,IEMOCAP,0
Layer 10,10,0.6201,0.0169,0.6199,Whisper,IEMOCAP,0
Layer 11,11,0.62,0.019,0.6197,Whisper,IEMOCAP,0
Layer 12,12,0.6233,0.0122,0.6228,Whisper,IEMOCAP,0
Layer 13,13,0.6214,0.0094,0.6209,Whisper,IEMOCAP,0
Layer 14,14,0.624,0.013,0.6238,Whisper,IEMOCAP,0
Layer 15,15,0.6225,0.0221,0.6221,Whisper,IEMOCAP,0
Layer 16,16,0.6201,0.019,0.6194,Whisper,IEMOCAP,0
Layer 17,17,0.6222,0.0181,0.6216,Whisper,IEMOCAP,0
Layer 18,18,0.6179,0.0217,0.6175,Whisper,IEMOCAP,0
Layer 19,19,0.6181,0.0167,0.6178,Whisper,IEMOCAP,0
Layer 20,20,0.6249,0.0157,0.6246,Whisper,IEMOCAP,0
Layer 21,21,0.622,0.0219,0.6217,Whisper,IEMOCAP,0
Layer 22,22,0.6262,0.0181,0.6259,Whisper,IEMOCAP,0
Layer 23,23,0.628,0.0168,0.6278,Whisper,IEMOCAP,0
Layer 24,24,0.6267,0.0095,0.6263,Whisper,IEMOCAP,0
CNN,0,0.5344,0.0126,0.5334,Whisper,IEMOCAP,10
Layer 1,1,0.5775,0.0191,0.5774,Whisper,IEMOCAP,10
Layer 2,2,0.587,0.0199,0.5869,Whisper,IEMOCAP,10
Layer 3,3,0.5892,0.0227,0.5891,Whisper,IEMOCAP,10
Layer 4,4,0.6005,0.0147,0.6003,Whisper,IEMOCAP,10
Layer 5,5,0.6093,0.0223,0.6092,Whisper,IEMOCAP,10
Layer 6,6,0.6139,0.0177,0.6139,Whisper,IEMOCAP,10
Layer 7,7,0.6148,0.0167,0.6147,Whisper,IEMOCAP,10
Layer 8,8,0.6299,0.0155,0.6297,Whisper,IEMOCAP,10
Layer 9,9,0.6423,0.0209,0.6421,Whisper,IEMOCAP,10
Layer 10,10,0.6408,0.02,0.6404,Whisper,IEMOCAP,10
