Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.8316,0.0261,0.8311,Whisper,RAVDESS,clean
Layer 1,1,0.8972,0.0229,0.8973,Whisper,RAVDESS,clean
Layer 2,2,0.9244,0.0113,0.9245,Whisper,RAVDESS,clean
Layer 3,3,0.9275,0.011,0.9275,Whisper,RAVDESS,clean
Layer 4,4,0.9452,0.0097,0.9452,Whisper,RAVDESS,clean
Layer 5,5,0.9573,0.0075,0.9571,Whisper,RAVDESS,clean
Layer 6,6,0.9633,0.0081,0.9633,Whisper,RAVDESS,clean
Layer 7,7,0.962,0.0138,0.962,Whisper,RAVDESS,clean
Layer 8,8,0.962,0.0065,0.9621,Whisper,RAVDESS,clean
Layer 9,9,0.9646,0.0065,0.9648,Whisper,RAVDESS,clean
Layer 10,10,0.9693,0.0102,0.9695,Whisper,RAVDESS,clean
Layer 11,11,0.9663,0.0087,0.9665,Whisper,RAVDESS,clean
Layer 12,12,0.9685,0.0074,0.9686,Whisper,RAVDESS,clean
Layer 13,13,0.968,0.0103,0.968,Whisper,RAVDESS,clean
Layer 14,14,0.9689,0.0073,0.9689,Whisper,RAVDESS,clean
Layer 15,15,0.9655,0.0088,0.9654,Whisper,RAVDESS,clean
Layer 16,16,0.968,0.0074,0.9681,Whisper,RAVDESS,clean
Layer 17,17,0.9737,0.0072,0.9737,Whisper,RAVDESS,clean
Layer 18,18,0.9732,0.0079,0.9733,Whisper,RAVDESS,clean
Layer 19,19,0.9693,0.0046,0.9694,Whisper,RAVDESS,clean
Layer 20,20,0.9685,0.0078,0.9685,Whisper,RAVDESS,clean
Layer 21,21,0.9676,0.0081,0.9676,Whisper,RAVDESS,clean
Layer 22,22,0.9672,0.0034,0.9672,Whisper,RAVDESS,clean
Layer 23,23,0.9633,0.006,0.9633,Whisper,RAVDESS,clean
Layer 24,24,0.9624,0.0072,0.9625,Whisper,RAVDESS,clean
CNN,0,0.3756,0.0171,0.3715,Whisper,RAVDESS,0
Layer 1,1,0.4884,0.022,0.4874,Whisper,RAVDESS,0
Layer 2,2,0.5639,0.0293,0.5637,Whisper,RAVDESS,0
Layer 3,3,0.6049,0.0192,0.6034,Whisper,RAVDESS,0
Layer 4,4,0.674,0.0302,0.6733,Whisper,RAVDESS,0
Layer 5,5,0.7025,0.0336,0.702,Whisper,RAVDESS,0
Layer 6,6,0.7461,0.026,0.7459,Whisper,RAVDESS,0
Layer 7,7,0.7496,0.0295,0.7488,Whisper,RAVDESS,0
Layer 8,8,0.8001,0.0145,0.7997,Whisper,RAVDESS,0
Layer 9,9,0.8161,0.0277,0.8157,Whisper,RAVDESS,0
Layer 10,10,0.8325,0.0148,0.8322,Whisper,RAVDESS,0
Layer 11,11,0.8437,0.0165,0.8435,Whisper,RAVDESS,0
Layer 12,12,0.8579,0.0141,0.8581,Whisper,RAVDESS,0
Layer 13,13,0.8674,0.0203,0.8676,Whisper,RAVDESS,0
Layer 14,14,0.8597,0.0217,0.8598,Whisper,RAVDESS,0
Layer 15,15,0.8562,0.0119,0.8563,Whisper,RAVDESS,0
Layer 16,16,0.8523,0.0175,0.8527,Whisper,RAVDESS,0
Layer 17,17,0.8523,0.0168,0.8523,Whisper,RAVDESS,0
Layer 18,18,0.842,0.0145,0.8418,Whisper,RAVDESS,0
Layer 19,19,0.8402,0.0166,0.84,Whisper,RAVDESS,0
Layer 20,20,0.8415,0.0131,0.8418,Whisper,RAVDESS,0
Layer 21,21,0.8446,0.0148,0.8448,Whisper,RAVDESS,0
Layer 22,22,0.8381,0.0157,0.838,Whisper,RAVDESS,0
Layer 23,23,0.8286,0.0248,0.828,Whisper,RAVDESS,0
Layer 24,24,0.8212,0.0132,0.821,Whisper,RAVDESS,0
CNN,0,0.4594,0.0282,0.4562,Whisper,RAVDESS,10
Layer 1,1,0.611,0.0264,0.6093,Whisper,RAVDESS,10
Layer 2,2,0.6731,0.0372,0.6727,Whisper,RAVDESS,10
Layer 3,3,0.696,0.0351,0.6956,Whisper,RAVDESS,10
Layer 4,4,0.7668,0.0268,0.7663,Whisper,RAVDESS,10
Layer 5,5,0.8066,0.0279,0.8062,Whisper,RAVDESS,10
Layer 6,6,0.8316,0.0211,0.8312,Whisper,RAVDESS,10
Layer 7,7,0.8359,0.0179,0.8353,Whisper,RAVDESS,10
Layer 8,8,0.8649,0.0162,0.8649,Whisper,RAVDESS,10
Layer 9,9,0.8687,0.0126,0.8688,Whisper,RAVDESS,10
Layer 10,10,0.8877,0.0137,0.8876,Whisper,RAVDESS,10
Layer 11,11,0.8998,0.0125,0.9001,Whisper,RAVDESS,10
Layer 12,12,0.9128,0.0149,0.9128,Whisper,RAVDESS,10
Layer 13,13,0.9167,0.0127,0.9166,Whisper,RAVDESS,10
