Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.7771,0.0193,0.7761,Whisper,SAVEE,clean
Layer 1,1,0.6979,0.0336,0.695,Whisper,SAVEE,clean
Layer 2,2,0.7708,0.0114,0.7696,Whisper,SAVEE,clean
Layer 3,3,0.8146,0.0267,0.8127,Whisper,SAVEE,clean
Layer 4,4,0.8479,0.0364,0.845,Whisper,SAVEE,clean
Layer 5,5,0.8583,0.0352,0.8574,Whisper,SAVEE,clean
Layer 6,6,0.875,0.0228,0.8743,Whisper,SAVEE,clean
Layer 7,7,0.8917,0.0252,0.8908,Whisper,SAVEE,clean
Layer 8,8,0.8833,0.0202,0.8829,Whisper,SAVEE,clean
Layer 9,9,0.8979,0.0179,0.897,Whisper,SAVEE,clean
Layer 10,10,0.8771,0.0167,0.876,Whisper,SAVEE,clean
Layer 11,11,0.8562,0.0202,0.8533,Whisper,SAVEE,clean
Layer 12,12,0.8396,0.0106,0.8374,Whisper,SAVEE,clean
Layer 13,13,0.8188,0.0299,0.8171,Whisper,SAVEE,clean
Layer 14,14,0.8292,0.0252,0.8273,Whisper,SAVEE,clean
Layer 15,15,0.8229,0.0272,0.821,Whisper,SAVEE,clean
Layer 16,16,0.8479,0.0193,0.8467,Whisper,SAVEE,clean
Layer 17,17,0.8375,0.034,0.8371,Whisper,SAVEE,clean
Layer 18,18,0.8458,0.029,0.8454,Whisper,SAVEE,clean
Layer 19,19,0.8458,0.0319,0.8454,Whisper,SAVEE,clean
Layer 20,20,0.85,0.0376,0.8501,Whisper,SAVEE,clean
Layer 21,21,0.8708,0.0409,0.8702,Whisper,SAVEE,clean
Layer 22,22,0.8729,0.0267,0.8726,Whisper,SAVEE,clean
Layer 23,23,0.8438,0.0228,0.8434,Whisper,SAVEE,clean
Layer 24,24,0.8458,0.0267,0.8462,Whisper,SAVEE,clean
CNN,0,0.3208,0.0319,0.3199,Whisper,SAVEE,0
Layer 1,1,0.4312,0.0299,0.4259,Whisper,SAVEE,0
Layer 2,2,0.4688,0.0688,0.463,Whisper,SAVEE,0
Layer 3,3,0.4667,0.068,0.4625,Whisper,SAVEE,0
Layer 4,4,0.5292,0.0468,0.5239,Whisper,SAVEE,0
Layer 5,5,0.5562,0.0268,0.5512,Whisper,SAVEE,0
Layer 6,6,0.5792,0.0425,0.5734,Whisper,SAVEE,0
Layer 7,7,0.6271,0.0512,0.6223,Whisper,SAVEE,0
Layer 8,8,0.6083,0.0306,0.6063,Whisper,SAVEE,0
Layer 9,9,0.6167,0.0408,0.6111,Whisper,SAVEE,0
Layer 10,10,0.6729,0.0234,0.6671,Whisper,SAVEE,0
Layer 11,11,0.6667,0.0295,0.6641,Whisper,SAVEE,0
Layer 12,12,0.6625,0.0193,0.6519,Whisper,SAVEE,0
Layer 13,13,0.6625,0.0234,0.6527,Whisper,SAVEE,0
Layer 14,14,0.6667,0.0272,0.6566,Whisper,SAVEE,0
Layer 15,15,0.6729,0.032,0.6663,Whisper,SAVEE,0
Layer 16,16,0.7104,0.0241,0.7025,Whisper,SAVEE,0
Layer 17,17,0.7042,0.0352,0.6977,Whisper,SAVEE,0
Layer 18,18,0.6917,0.0182,0.683,Whisper,SAVEE,0
Layer 19,19,0.6854,0.0222,0.6792,Whisper,SAVEE,0
Layer 20,20,0.6833,0.0364,0.6755,Whisper,SAVEE,0
Layer 21,21,0.6667,0.028,0.662,Whisper,SAVEE,0
Layer 22,22,0.65,0.0415,0.6446,Whisper,SAVEE,0
Layer 23,23,0.6542,0.0463,0.647,Whisper,SAVEE,0
Layer 24,24,0.6292,0.0268,0.6254,Whisper,SAVEE,0
CNN,0,0.4292,0.0424,0.4253,Whisper,SAVEE,10
Layer 1,1,0.5167,0.0292,0.5094,Whisper,SAVEE,10
Layer 2,2,0.525,0.0705,0.5198,Whisper,SAVEE,10
Layer 3,3,0.5646,0.0609,0.5614,Whisper,SAVEE,10
Layer 4,4,0.6188,0.0204,0.6146,Whisper,SAVEE,10
