Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.4822,0.0348,0.4808,w2v-BERT,EmoDB,clean
Layer 1,1,0.8523,0.0171,0.8506,w2v-BERT,EmoDB,clean
Layer 2,2,0.9252,0.0132,0.9247,w2v-BERT,EmoDB,clean
Layer 3,3,0.9589,0.014,0.9581,w2v-BERT,EmoDB,clean
Layer 4,4,0.9664,0.0095,0.9661,w2v-BERT,EmoDB,clean
Layer 5,5,0.9495,0.0173,0.9491,w2v-BERT,EmoDB,clean
Layer 6,6,0.9421,0.028,0.9419,w2v-BERT,EmoDB,clean
Layer 7,7,0.9533,0.0156,0.9522,w2v-BERT,EmoDB,clean
Layer 8,8,0.9383,0.0152,0.9382,w2v-BERT,EmoDB,clean
Layer 9,9,0.9626,0.0205,0.962,w2v-BERT,EmoDB,clean
Layer 10,10,0.9458,0.0181,0.9452,w2v-BERT,EmoDB,clean
Layer 11,11,0.929,0.014,0.9285,w2v-BERT,EmoDB,clean
Layer 12,12,0.929,0.0127,0.9284,w2v-BERT,EmoDB,clean
Layer 13,13,0.9308,0.0163,0.9297,w2v-BERT,EmoDB,clean
Layer 14,14,0.9551,0.0137,0.9546,w2v-BERT,EmoDB,clean
Layer 15,15,0.957,0.014,0.9565,w2v-BERT,EmoDB,clean
Layer 16,16,0.9738,0.0171,0.9734,w2v-BERT,EmoDB,clean
Layer 17,17,0.9869,0.0095,0.9868,w2v-BERT,EmoDB,clean
Layer 18,18,0.9682,0.0095,0.9678,w2v-BERT,EmoDB,clean
Layer 19,19,0.9701,0.0109,0.9699,w2v-BERT,EmoDB,clean
Layer 20,20,0.9701,0.015,0.97,w2v-BERT,EmoDB,clean
Layer 21,21,0.9495,0.0218,0.9494,w2v-BERT,EmoDB,clean
Layer 22,22,0.9159,0.0426,0.9157,w2v-BERT,EmoDB,clean
Layer 23,23,0.9103,0.0412,0.91,w2v-BERT,EmoDB,clean
Layer 24,24,0.843,0.0463,0.8414,w2v-BERT,EmoDB,clean
CNN,0,0.2523,0.0334,0.2556,w2v-BERT,EmoDB,0
Layer 1,1,0.5813,0.0463,0.5712,w2v-BERT,EmoDB,0
Layer 2,2,0.7178,0.0366,0.713,w2v-BERT,EmoDB,0
Layer 3,3,0.8318,0.0465,0.8279,w2v-BERT,EmoDB,0
Layer 4,4,0.8841,0.0293,0.8821,w2v-BERT,EmoDB,0
Layer 5,5,0.8804,0.0286,0.8781,w2v-BERT,EmoDB,0
Layer 6,6,0.9009,0.0305,0.8991,w2v-BERT,EmoDB,0
Layer 7,7,0.8822,0.0416,0.8801,w2v-BERT,EmoDB,0
Layer 8,8,0.8486,0.0309,0.8452,w2v-BERT,EmoDB,0
Layer 9,9,0.8897,0.0254,0.8878,w2v-BERT,EmoDB,0
Layer 10,10,0.8841,0.0449,0.8816,w2v-BERT,EmoDB,0
Layer 11,11,0.8449,0.0316,0.8399,w2v-BERT,EmoDB,0
Layer 12,12,0.7776,0.0208,0.7722,w2v-BERT,EmoDB,0
Layer 13,13,0.8093,0.0287,0.8031,w2v-BERT,EmoDB,0
Layer 14,14,0.8486,0.026,0.8445,w2v-BERT,EmoDB,0
Layer 15,15,0.8673,0.0357,0.8641,w2v-BERT,EmoDB,0
Layer 16,16,0.8879,0.036,0.885,w2v-BERT,EmoDB,0
Layer 17,17,0.8972,0.0446,0.8955,w2v-BERT,EmoDB,0
Layer 18,18,0.8505,0.0277,0.8487,w2v-BERT,EmoDB,0
Layer 19,19,0.8243,0.0161,0.8223,w2v-BERT,EmoDB,0
Layer 20,20,0.7981,0.0201,0.7948,w2v-BERT,EmoDB,0
Layer 21,21,0.7776,0.0181,0.7714,w2v-BERT,EmoDB,0
Layer 22,22,0.714,0.0183,0.7041,w2v-BERT,EmoDB,0
Layer 23,23,0.6486,0.0425,0.6362,w2v-BERT,EmoDB,0
