Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.4172,0.0053,0.4158,w2v-BERT,IEMOCAP,clean
Layer 1,1,0.58,0.0113,0.5801,w2v-BERT,IEMOCAP,clean
Layer 2,2,0.5929,0.0194,0.5926,w2v-BERT,IEMOCAP,clean
Layer 3,3,0.6299,0.0131,0.6297,w2v-BERT,IEMOCAP,clean
Layer 4,4,0.6319,0.011,0.6316,w2v-BERT,IEMOCAP,clean
Layer 5,5,0.6352,0.0098,0.6348,w2v-BERT,IEMOCAP,clean
Layer 6,6,0.6463,0.0149,0.6465,w2v-BERT,IEMOCAP,clean
Layer 7,7,0.6432,0.0092,0.6433,w2v-BERT,IEMOCAP,clean
Layer 8,8,0.6359,0.0132,0.6354,w2v-BERT,IEMOCAP,clean
Layer 9,9,0.6577,0.0107,0.6575,w2v-BERT,IEMOCAP,clean
Layer 10,10,0.6531,0.0142,0.6529,w2v-BERT,IEMOCAP,clean
Layer 11,11,0.6401,0.0087,0.64,w2v-BERT,IEMOCAP,clean
Layer 12,12,0.639,0.0145,0.6386,w2v-BERT,IEMOCAP,clean
Layer 13,13,0.6333,0.0064,0.6329,w2v-BERT,IEMOCAP,clean
Layer 14,14,0.6513,0.0111,0.6513,w2v-BERT,IEMOCAP,clean
Layer 15,15,0.6526,0.0096,0.6523,w2v-BERT,IEMOCAP,clean
Layer 16,16,0.6703,0.019,0.6705,w2v-BERT,IEMOCAP,clean
Layer 17,17,0.6603,0.0112,0.6602,w2v-BERT,IEMOCAP,clean
Layer 18,18,0.6581,0.0124,0.658,w2v-BERT,IEMOCAP,clean
Layer 19,19,0.6568,0.014,0.6568,w2v-BERT,IEMOCAP,clean
Layer 20,20,0.6381,0.009,0.6379,w2v-BERT,IEMOCAP,clean
Layer 21,21,0.6469,0.0071,0.6467,w2v-BERT,IEMOCAP,clean
Layer 22,22,0.6233,0.0123,0.6232,w2v-BERT,IEMOCAP,clean
Layer 23,23,0.6051,0.0204,0.6051,w2v-BERT,IEMOCAP,clean
Layer 24,24,0.5923,0.02,0.5921,w2v-BERT,IEMOCAP,clean
CNN,0,0.3042,0.0135,0.2938,w2v-BERT,IEMOCAP,0
Layer 1,1,0.4344,0.003,0.4341,w2v-BERT,IEMOCAP,0
Layer 2,2,0.4815,0.0141,0.4812,w2v-BERT,IEMOCAP,0
Layer 3,3,0.5291,0.0149,0.5287,w2v-BERT,IEMOCAP,0
Layer 4,4,0.5355,0.018,0.5352,w2v-BERT,IEMOCAP,0
Layer 5,5,0.5449,0.0176,0.5442,w2v-BERT,IEMOCAP,0
Layer 6,6,0.5502,0.0102,0.5498,w2v-BERT,IEMOCAP,0
Layer 7,7,0.5548,0.0085,0.5541,w2v-BERT,IEMOCAP,0
Layer 8,8,0.5447,0.0106,0.5443,w2v-BERT,IEMOCAP,0
Layer 9,9,0.5615,0.0124,0.5615,w2v-BERT,IEMOCAP,0
