Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.3201,0.0358,0.3164,w2v-BERT,MESD,clean
Layer 1,1,0.6996,0.0235,0.6979,w2v-BERT,MESD,clean
Layer 2,2,0.768,0.0037,0.7672,w2v-BERT,MESD,clean
Layer 3,3,0.8306,0.0235,0.8306,w2v-BERT,MESD,clean
Layer 4,4,0.8388,0.0256,0.8385,w2v-BERT,MESD,clean
Layer 5,5,0.8481,0.0284,0.8484,w2v-BERT,MESD,clean
Layer 6,6,0.8318,0.0236,0.8317,w2v-BERT,MESD,clean
Layer 7,7,0.8237,0.026,0.8233,w2v-BERT,MESD,clean
Layer 8,8,0.8075,0.0319,0.8066,w2v-BERT,MESD,clean
Layer 9,9,0.8225,0.0313,0.8208,w2v-BERT,MESD,clean
Layer 10,10,0.8294,0.0169,0.8295,w2v-BERT,MESD,clean
Layer 11,11,0.8063,0.0296,0.8047,w2v-BERT,MESD,clean
Layer 12,12,0.7749,0.0306,0.7739,w2v-BERT,MESD,clean
Layer 13,13,0.7761,0.0233,0.7749,w2v-BERT,MESD,clean
Layer 14,14,0.8097,0.0093,0.8094,w2v-BERT,MESD,clean
Layer 15,15,0.8086,0.0168,0.8083,w2v-BERT,MESD,clean
Layer 16,16,0.8353,0.0216,0.8352,w2v-BERT,MESD,clean
Layer 17,17,0.8678,0.0191,0.8675,w2v-BERT,MESD,clean
Layer 18,18,0.8458,0.0389,0.8466,w2v-BERT,MESD,clean
Layer 19,19,0.8481,0.0311,0.8471,w2v-BERT,MESD,clean
Layer 20,20,0.8226,0.0394,0.8225,w2v-BERT,MESD,clean
Layer 21,21,0.7808,0.0333,0.779,w2v-BERT,MESD,clean
Layer 22,22,0.7448,0.0452,0.7439,w2v-BERT,MESD,clean
Layer 23,23,0.7227,0.0485,0.7226,w2v-BERT,MESD,clean
Layer 24,24,0.6358,0.0262,0.6332,w2v-BERT,MESD,clean
CNN,0,0.1787,0.025,0.1773,w2v-BERT,MESD,0
Layer 1,1,0.492,0.038,0.4902,w2v-BERT,MESD,0
Layer 2,2,0.5906,0.0455,0.5891,w2v-BERT,MESD,0
Layer 3,3,0.6729,0.0236,0.6729,w2v-BERT,MESD,0
Layer 4,4,0.6775,0.0178,0.6762,w2v-BERT,MESD,0
Layer 5,5,0.6694,0.0209,0.6701,w2v-BERT,MESD,0
Layer 6,6,0.6578,0.0067,0.6598,w2v-BERT,MESD,0
Layer 7,7,0.6752,0.0268,0.6747,w2v-BERT,MESD,0
Layer 8,8,0.6786,0.0245,0.679,w2v-BERT,MESD,0
Layer 9,9,0.6624,0.0165,0.6623,w2v-BERT,MESD,0
Layer 10,10,0.6659,0.0275,0.6669,w2v-BERT,MESD,0
Layer 11,11,0.6115,0.0461,0.6117,w2v-BERT,MESD,0
Layer 12,12,0.5767,0.0413,0.5773,w2v-BERT,MESD,0
Layer 13,13,0.5128,0.0198,0.5126,w2v-BERT,MESD,0
Layer 14,14,0.5789,0.0222,0.5792,w2v-BERT,MESD,0
Layer 15,15,0.5871,0.0181,0.5856,w2v-BERT,MESD,0
Layer 16,16,0.6392,0.021,0.6392,w2v-BERT,MESD,0
Layer 17,17,0.6566,0.0262,0.6557,w2v-BERT,MESD,0
Layer 18,18,0.6252,0.032,0.6251,w2v-BERT,MESD,0
Layer 19,19,0.6334,0.014,0.6326,w2v-BERT,MESD,0
Layer 20,20,0.6218,0.0166,0.6204,w2v-BERT,MESD,0
Layer 21,21,0.5731,0.0075,0.5729,w2v-BERT,MESD,0
Layer 22,22,0.565,0.0187,0.5628,w2v-BERT,MESD,0
Layer 23,23,0.5198,0.0546,0.5205,w2v-BERT,MESD,0
Layer 24,24,0.4514,0.0388,0.4501,w2v-BERT,MESD,0
CNN,0,0.1973,0.0164,0.1979,w2v-BERT,MESD,10
Layer 1,1,0.5825,0.0619,0.5801,w2v-BERT,MESD,10
Layer 2,2,0.6904,0.0406,0.6885,w2v-BERT,MESD,10
Layer 3,3,0.7738,0.0181,0.7742,w2v-BERT,MESD,10
Layer 4,4,0.7773,0.0339,0.7766,w2v-BERT,MESD,10
Layer 5,5,0.7622,0.0229,0.7624,w2v-BERT,MESD,10
Layer 6,6,0.7506,0.0333,0.7501,w2v-BERT,MESD,10
Layer 7,7,0.7634,0.0342,0.7618,w2v-BERT,MESD,10
Layer 8,8,0.7332,0.0187,0.7322,w2v-BERT,MESD,10
Layer 9,9,0.7576,0.0374,0.7569,w2v-BERT,MESD,10
Layer 10,10,0.739,0.044,0.7391,w2v-BERT,MESD,10
Layer 11,11,0.6892,0.0384,0.6892,w2v-BERT,MESD,10
Layer 12,12,0.6578,0.0318,0.6586,w2v-BERT,MESD,10
Layer 13,13,0.645,0.0237,0.6456,w2v-BERT,MESD,10
Layer 14,14,0.6834,0.0323,0.6843,w2v-BERT,MESD,10
Layer 15,15,0.7031,0.034,0.7021,w2v-BERT,MESD,10
Layer 16,16,0.7298,0.0269,0.7295,w2v-BERT,MESD,10
Layer 17,17,0.775,0.0228,0.7735,w2v-BERT,MESD,10
Layer 18,18,0.7471,0.032,0.7456,w2v-BERT,MESD,10
Layer 19,19,0.7599,0.0217,0.7599,w2v-BERT,MESD,10
Layer 20,20,0.7367,0.0168,0.7355,w2v-BERT,MESD,10
Layer 21,21,0.71,0.0301,0.7079,w2v-BERT,MESD,10
Layer 22,22,0.6694,0.021,0.6676,w2v-BERT,MESD,10
Layer 23,23,0.6079,0.0292,0.6078,w2v-BERT,MESD,10
Layer 24,24,0.5465,0.0327,0.5461,w2v-BERT,MESD,10
CNN,0,0.2076,0.0283,0.2082,w2v-BERT,MESD,20
Layer 1,1,0.6428,0.0406,0.642,w2v-BERT,MESD,20
Layer 2,2,0.7321,0.0464,0.7311,w2v-BERT,MESD,20
Layer 3,3,0.8353,0.0264,0.8345,w2v-BERT,MESD,20
Layer 4,4,0.8191,0.0432,0.8185,w2v-BERT,MESD,20
Layer 5,5,0.8261,0.0358,0.8255,w2v-BERT,MESD,20
Layer 6,6,0.7947,0.0319,0.7942,w2v-BERT,MESD,20
Layer 7,7,0.8121,0.0366,0.8125,w2v-BERT,MESD,20
Layer 8,8,0.7785,0.0429,0.7781,w2v-BERT,MESD,20
Layer 9,9,0.8017,0.0305,0.8016,w2v-BERT,MESD,20
Layer 10,10,0.7796,0.0293,0.7805,w2v-BERT,MESD,20
Layer 11,11,0.7436,0.0122,0.743,w2v-BERT,MESD,20
Layer 12,12,0.6914,0.0201,0.6905,w2v-BERT,MESD,20
Layer 13,13,0.688,0.0379,0.687,w2v-BERT,MESD,20
Layer 14,14,0.7146,0.02,0.7144,w2v-BERT,MESD,20
Layer 15,15,0.7448,0.0259,0.7438,w2v-BERT,MESD,20
