Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.5142,0.0027,0.4526,w2v-BERT,MSP-Podcast,clean
Layer 1,1,0.5722,0.0044,0.564,w2v-BERT,MSP-Podcast,clean
Layer 2,2,0.5932,0.0038,0.5854,w2v-BERT,MSP-Podcast,clean
Layer 3,3,0.5941,0.0061,0.5899,w2v-BERT,MSP-Podcast,clean
Layer 4,4,0.6013,0.0042,0.5973,w2v-BERT,MSP-Podcast,clean
Layer 5,5,0.6064,0.0072,0.6022,w2v-BERT,MSP-Podcast,clean
Layer 6,6,0.6042,0.0076,0.5996,w2v-BERT,MSP-Podcast,clean
Layer 7,7,0.6083,0.0093,0.6028,w2v-BERT,MSP-Podcast,clean
Layer 8,8,0.5978,0.0036,0.5925,w2v-BERT,MSP-Podcast,clean
Layer 9,9,0.6104,0.0111,0.6049,w2v-BERT,MSP-Podcast,clean
Layer 10,10,0.6099,0.0066,0.6055,w2v-BERT,MSP-Podcast,clean
Layer 11,11,0.6025,0.0129,0.5998,w2v-BERT,MSP-Podcast,clean
Layer 12,12,0.6088,0.0054,0.6078,w2v-BERT,MSP-Podcast,clean
Layer 13,13,0.6152,0.0073,0.6142,w2v-BERT,MSP-Podcast,clean
Layer 14,14,0.6181,0.0129,0.6158,w2v-BERT,MSP-Podcast,clean
Layer 15,15,0.6115,0.0086,0.6082,w2v-BERT,MSP-Podcast,clean
Layer 16,16,0.611,0.0071,0.6088,w2v-BERT,MSP-Podcast,clean
Layer 17,17,0.6112,0.0094,0.6087,w2v-BERT,MSP-Podcast,clean
Layer 18,18,0.6064,0.0076,0.603,w2v-BERT,MSP-Podcast,clean
Layer 19,19,0.6027,0.005,0.5996,w2v-BERT,MSP-Podcast,clean
Layer 20,20,0.6024,0.0087,0.5992,w2v-BERT,MSP-Podcast,clean
Layer 21,21,0.6001,0.0106,0.5959,w2v-BERT,MSP-Podcast,clean
Layer 22,22,0.5929,0.0034,0.5888,w2v-BERT,MSP-Podcast,clean
Layer 23,23,0.5862,0.0068,0.5806,w2v-BERT,MSP-Podcast,clean
Layer 24,24,0.5809,0.0094,0.5733,w2v-BERT,MSP-Podcast,clean
CNN,0,0.5008,0.0085,0.4197,w2v-BERT,MSP-Podcast,0
Layer 1,1,0.5281,0.0088,0.5176,w2v-BERT,MSP-Podcast,0
Layer 2,2,0.5486,0.0049,0.5425,w2v-BERT,MSP-Podcast,0
Layer 3,3,0.5666,0.008,0.5611,w2v-BERT,MSP-Podcast,0
Layer 4,4,0.5751,0.0053,0.57,w2v-BERT,MSP-Podcast,0
Layer 5,5,0.5813,0.0064,0.577,w2v-BERT,MSP-Podcast,0
Layer 6,6,0.5805,0.0026,0.5764,w2v-BERT,MSP-Podcast,0
Layer 7,7,0.5822,0.0059,0.5765,w2v-BERT,MSP-Podcast,0
Layer 8,8,0.5804,0.0044,0.5742,w2v-BERT,MSP-Podcast,0
Layer 9,9,0.5813,0.0111,0.5756,w2v-BERT,MSP-Podcast,0
Layer 10,10,0.5822,0.0079,0.5791,w2v-BERT,MSP-Podcast,0
Layer 11,11,0.5847,0.0073,0.5815,w2v-BERT,MSP-Podcast,0
Layer 12,12,0.5828,0.0074,0.5803,w2v-BERT,MSP-Podcast,0
Layer 13,13,0.5877,0.0102,0.5856,w2v-BERT,MSP-Podcast,0
Layer 14,14,0.5913,0.0079,0.5885,w2v-BERT,MSP-Podcast,0
Layer 15,15,0.5926,0.0069,0.5882,w2v-BERT,MSP-Podcast,0
Layer 16,16,0.5859,0.0065,0.5836,w2v-BERT,MSP-Podcast,0
Layer 17,17,0.5814,0.0064,0.5777,w2v-BERT,MSP-Podcast,0
Layer 18,18,0.5771,0.0064,0.5744,w2v-BERT,MSP-Podcast,0
Layer 19,19,0.5737,0.0057,0.571,w2v-BERT,MSP-Podcast,0
Layer 20,20,0.5692,0.0084,0.5656,w2v-BERT,MSP-Podcast,0
Layer 21,21,0.5709,0.0103,0.567,w2v-BERT,MSP-Podcast,0
Layer 22,22,0.5552,0.0039,0.5514,w2v-BERT,MSP-Podcast,0
Layer 23,23,0.5464,0.0075,0.5443,w2v-BERT,MSP-Podcast,0
Layer 24,24,0.5519,0.0057,0.5457,w2v-BERT,MSP-Podcast,0
CNN,0,0.507,0.0022,0.4329,w2v-BERT,MSP-Podcast,10
Layer 1,1,0.5428,0.0113,0.5343,w2v-BERT,MSP-Podcast,10
Layer 2,2,0.5624,0.0069,0.5558,w2v-BERT,MSP-Podcast,10
Layer 3,3,0.5796,0.0086,0.5762,w2v-BERT,MSP-Podcast,10
Layer 4,4,0.5789,0.0026,0.5758,w2v-BERT,MSP-Podcast,10
Layer 5,5,0.5901,0.008,0.5861,w2v-BERT,MSP-Podcast,10
Layer 6,6,0.5981,0.0046,0.5934,w2v-BERT,MSP-Podcast,10
Layer 7,7,0.589,0.0082,0.5847,w2v-BERT,MSP-Podcast,10
Layer 8,8,0.5914,0.0082,0.5867,w2v-BERT,MSP-Podcast,10
Layer 9,9,0.5886,0.006,0.5839,w2v-BERT,MSP-Podcast,10
Layer 10,10,0.59,0.0107,0.5863,w2v-BERT,MSP-Podcast,10
Layer 11,11,0.5927,0.0071,0.5911,w2v-BERT,MSP-Podcast,10
Layer 12,12,0.5963,0.01,0.5954,w2v-BERT,MSP-Podcast,10
Layer 13,13,0.5941,0.0086,0.5936,w2v-BERT,MSP-Podcast,10
Layer 14,14,0.6053,0.0136,0.6019,w2v-BERT,MSP-Podcast,10
Layer 15,15,0.5988,0.0085,0.5959,w2v-BERT,MSP-Podcast,10
Layer 16,16,0.5934,0.0085,0.5917,w2v-BERT,MSP-Podcast,10
Layer 17,17,0.5916,0.0064,0.5897,w2v-BERT,MSP-Podcast,10
Layer 18,18,0.5913,0.0035,0.5881,w2v-BERT,MSP-Podcast,10
Layer 19,19,0.5852,0.0072,0.5826,w2v-BERT,MSP-Podcast,10
Layer 20,20,0.5833,0.0058,0.5805,w2v-BERT,MSP-Podcast,10
Layer 21,21,0.5784,0.009,0.5751,w2v-BERT,MSP-Podcast,10
Layer 22,22,0.5628,0.007,0.5604,w2v-BERT,MSP-Podcast,10
Layer 23,23,0.559,0.0102,0.5563,w2v-BERT,MSP-Podcast,10
Layer 24,24,0.5608,0.0047,0.5548,w2v-BERT,MSP-Podcast,10
CNN,0,0.5082,0.0048,0.4383,w2v-BERT,MSP-Podcast,20
Layer 1,1,0.5577,0.0118,0.5494,w2v-BERT,MSP-Podcast,20
Layer 2,2,0.5703,0.0098,0.566,w2v-BERT,MSP-Podcast,20
Layer 3,3,0.589,0.0069,0.5856,w2v-BERT,MSP-Podcast,20
Layer 4,4,0.5806,0.0056,0.5784,w2v-BERT,MSP-Podcast,20
Layer 5,5,0.5935,0.0043,0.5909,w2v-BERT,MSP-Podcast,20
Layer 6,6,0.6021,0.0065,0.5979,w2v-BERT,MSP-Podcast,20
Layer 7,7,0.5967,0.0111,0.5919,w2v-BERT,MSP-Podcast,20
Layer 8,8,0.5973,0.007,0.593,w2v-BERT,MSP-Podcast,20
Layer 9,9,0.5973,0.0087,0.5924,w2v-BERT,MSP-Podcast,20
Layer 10,10,0.5912,0.003,0.5881,w2v-BERT,MSP-Podcast,20
Layer 11,11,0.5977,0.0075,0.5956,w2v-BERT,MSP-Podcast,20
Layer 12,12,0.5924,0.0042,0.5931,w2v-BERT,MSP-Podcast,20
Layer 13,13,0.604,0.0097,0.6034,w2v-BERT,MSP-Podcast,20
Layer 14,14,0.6123,0.0092,0.6104,w2v-BERT,MSP-Podcast,20
Layer 15,15,0.6065,0.0082,0.6043,w2v-BERT,MSP-Podcast,20
Layer 16,16,0.5949,0.0085,0.5932,w2v-BERT,MSP-Podcast,20
Layer 17,17,0.599,0.0074,0.5971,w2v-BERT,MSP-Podcast,20
Layer 18,18,0.5904,0.0085,0.5883,w2v-BERT,MSP-Podcast,20
Layer 19,19,0.5897,0.0025,0.5873,w2v-BERT,MSP-Podcast,20
Layer 20,20,0.587,0.0081,0.5851,w2v-BERT,MSP-Podcast,20
Layer 21,21,0.5819,0.0059,0.5795,w2v-BERT,MSP-Podcast,20
Layer 22,22,0.5706,0.006,0.5682,w2v-BERT,MSP-Podcast,20
Layer 23,23,0.5659,0.0027,0.5631,w2v-BERT,MSP-Podcast,20
Layer 24,24,0.5619,0.0069,0.556,w2v-BERT,MSP-Podcast,20
CNN,0,0.5013,0.0036,0.4232,w2v-BERT,MSP-Podcast,5
Layer 1,1,0.5376,0.0085,0.5283,w2v-BERT,MSP-Podcast,5
Layer 2,2,0.5582,0.007,0.5512,w2v-BERT,MSP-Podcast,5
Layer 3,3,0.5732,0.0056,0.5692,w2v-BERT,MSP-Podcast,5
Layer 4,4,0.5754,0.006,0.5722,w2v-BERT,MSP-Podcast,5
Layer 5,5,0.5873,0.0075,0.5828,w2v-BERT,MSP-Podcast,5
Layer 6,6,0.5922,0.005,0.5876,w2v-BERT,MSP-Podcast,5
Layer 7,7,0.5842,0.009,0.5793,w2v-BERT,MSP-Podcast,5
Layer 8,8,0.5829,0.005,0.5777,w2v-BERT,MSP-Podcast,5
Layer 9,9,0.586,0.007,0.5804,w2v-BERT,MSP-Podcast,5
Layer 10,10,0.5907,0.0042,0.5864,w2v-BERT,MSP-Podcast,5
Layer 11,11,0.5893,0.0083,0.5867,w2v-BERT,MSP-Podcast,5
Layer 12,12,0.594,0.0048,0.5929,w2v-BERT,MSP-Podcast,5
Layer 13,13,0.596,0.008,0.5945,w2v-BERT,MSP-Podcast,5
Layer 14,14,0.6002,0.008,0.5963,w2v-BERT,MSP-Podcast,5
Layer 15,15,0.5954,0.0051,0.5921,w2v-BERT,MSP-Podcast,5
Layer 16,16,0.5895,0.0048,0.5876,w2v-BERT,MSP-Podcast,5
Layer 17,17,0.5843,0.0073,0.5823,w2v-BERT,MSP-Podcast,5
Layer 18,18,0.5858,0.0043,0.5828,w2v-BERT,MSP-Podcast,5
Layer 19,19,0.5799,0.0036,0.5767,w2v-BERT,MSP-Podcast,5
Layer 20,20,0.5808,0.009,0.5771,w2v-BERT,MSP-Podcast,5
Layer 21,21,0.5796,0.0139,0.576,w2v-BERT,MSP-Podcast,5
Layer 22,22,0.5606,0.0053,0.5574,w2v-BERT,MSP-Podcast,5
Layer 23,23,0.5556,0.0099,0.5533,w2v-BERT,MSP-Podcast,5
Layer 24,24,0.5613,0.0039,0.5553,w2v-BERT,MSP-Podcast,5
