Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.3519,0.0155,0.3507,w2v-BERT,RAVDESS,clean
Layer 1,1,0.8761,0.0165,0.8763,w2v-BERT,RAVDESS,clean
Layer 2,2,0.924,0.0148,0.9244,w2v-BERT,RAVDESS,clean
Layer 3,3,0.9417,0.0162,0.9419,w2v-BERT,RAVDESS,clean
Layer 4,4,0.9573,0.0082,0.9573,w2v-BERT,RAVDESS,clean
Layer 5,5,0.9495,0.0131,0.9496,w2v-BERT,RAVDESS,clean
Layer 6,6,0.9547,0.0124,0.9549,w2v-BERT,RAVDESS,clean
Layer 7,7,0.9568,0.0148,0.9569,w2v-BERT,RAVDESS,clean
Layer 8,8,0.9413,0.0126,0.9412,w2v-BERT,RAVDESS,clean
Layer 9,9,0.9503,0.0116,0.9504,w2v-BERT,RAVDESS,clean
Layer 10,10,0.9568,0.0133,0.9569,w2v-BERT,RAVDESS,clean
Layer 11,11,0.9478,0.0145,0.9478,w2v-BERT,RAVDESS,clean
Layer 12,12,0.9443,0.015,0.9444,w2v-BERT,RAVDESS,clean
Layer 13,13,0.9447,0.0108,0.9451,w2v-BERT,RAVDESS,clean
Layer 14,14,0.9486,0.0153,0.9486,w2v-BERT,RAVDESS,clean
Layer 15,15,0.9503,0.0072,0.9505,w2v-BERT,RAVDESS,clean
Layer 16,16,0.962,0.0071,0.962,w2v-BERT,RAVDESS,clean
Layer 17,17,0.9655,0.0064,0.9655,w2v-BERT,RAVDESS,clean
Layer 18,18,0.9611,0.0101,0.9612,w2v-BERT,RAVDESS,clean
Layer 19,19,0.9516,0.01,0.9518,w2v-BERT,RAVDESS,clean
Layer 20,20,0.9529,0.0112,0.9531,w2v-BERT,RAVDESS,clean
Layer 21,21,0.9391,0.008,0.9393,w2v-BERT,RAVDESS,clean
Layer 22,22,0.9201,0.0102,0.9205,w2v-BERT,RAVDESS,clean
Layer 23,23,0.9162,0.0097,0.9167,w2v-BERT,RAVDESS,clean
Layer 24,24,0.8847,0.0128,0.8849,w2v-BERT,RAVDESS,clean
CNN,0,0.1615,0.0191,0.1602,w2v-BERT,RAVDESS,0
Layer 1,1,0.3912,0.0231,0.3906,w2v-BERT,RAVDESS,0
Layer 2,2,0.4875,0.0205,0.4862,w2v-BERT,RAVDESS,0
Layer 3,3,0.6153,0.0088,0.6139,w2v-BERT,RAVDESS,0
Layer 4,4,0.6736,0.0205,0.6736,w2v-BERT,RAVDESS,0
Layer 5,5,0.6831,0.0252,0.6827,w2v-BERT,RAVDESS,0
Layer 6,6,0.6727,0.0152,0.6731,w2v-BERT,RAVDESS,0
Layer 7,7,0.6576,0.0322,0.6585,w2v-BERT,RAVDESS,0
Layer 8,8,0.6183,0.0247,0.6173,w2v-BERT,RAVDESS,0
Layer 9,9,0.7068,0.0277,0.7062,w2v-BERT,RAVDESS,0
Layer 10,10,0.6956,0.0233,0.6953,w2v-BERT,RAVDESS,0
Layer 11,11,0.6697,0.0151,0.6694,w2v-BERT,RAVDESS,0
Layer 12,12,0.636,0.013,0.6353,w2v-BERT,RAVDESS,0
Layer 13,13,0.6235,0.0178,0.624,w2v-BERT,RAVDESS,0
Layer 14,14,0.6572,0.0236,0.6579,w2v-BERT,RAVDESS,0
Layer 15,15,0.671,0.0095,0.6704,w2v-BERT,RAVDESS,0
