Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.3021,0.0422,0.3049,w2v-BERT,SAVEE,clean
Layer 1,1,0.675,0.0486,0.6713,w2v-BERT,SAVEE,clean
Layer 2,2,0.7333,0.0268,0.7305,w2v-BERT,SAVEE,clean
Layer 3,3,0.7688,0.0472,0.7679,w2v-BERT,SAVEE,clean
Layer 4,4,0.7917,0.0316,0.7916,w2v-BERT,SAVEE,clean
Layer 5,5,0.7729,0.0351,0.7696,w2v-BERT,SAVEE,clean
Layer 6,6,0.7896,0.0298,0.7856,w2v-BERT,SAVEE,clean
Layer 7,7,0.7792,0.0138,0.78,w2v-BERT,SAVEE,clean
Layer 8,8,0.7479,0.0259,0.7472,w2v-BERT,SAVEE,clean
Layer 9,9,0.8083,0.0106,0.8068,w2v-BERT,SAVEE,clean
Layer 10,10,0.8167,0.0193,0.8177,w2v-BERT,SAVEE,clean
Layer 11,11,0.8062,0.026,0.8058,w2v-BERT,SAVEE,clean
Layer 12,12,0.7958,0.0214,0.7951,w2v-BERT,SAVEE,clean
Layer 13,13,0.7979,0.0214,0.7973,w2v-BERT,SAVEE,clean
Layer 14,14,0.7938,0.0179,0.7905,w2v-BERT,SAVEE,clean
Layer 15,15,0.775,0.0284,0.774,w2v-BERT,SAVEE,clean
Layer 16,16,0.8292,0.0193,0.829,w2v-BERT,SAVEE,clean
Layer 17,17,0.8292,0.0276,0.829,w2v-BERT,SAVEE,clean
Layer 18,18,0.8167,0.026,0.8153,w2v-BERT,SAVEE,clean
Layer 19,19,0.7979,0.0243,0.7955,w2v-BERT,SAVEE,clean
Layer 20,20,0.7958,0.0141,0.7941,w2v-BERT,SAVEE,clean
Layer 21,21,0.7688,0.0222,0.7668,w2v-BERT,SAVEE,clean
Layer 22,22,0.7229,0.0252,0.7232,w2v-BERT,SAVEE,clean
Layer 23,23,0.6854,0.0202,0.683,w2v-BERT,SAVEE,clean
Layer 24,24,0.6021,0.0325,0.5982,w2v-BERT,SAVEE,clean
CNN,0,0.1812,0.0327,0.1776,w2v-BERT,SAVEE,0
Layer 1,1,0.3562,0.0705,0.3516,w2v-BERT,SAVEE,0
Layer 2,2,0.4292,0.0495,0.4212,w2v-BERT,SAVEE,0
Layer 3,3,0.5146,0.0358,0.5072,w2v-BERT,SAVEE,0
Layer 4,4,0.5188,0.0463,0.5117,w2v-BERT,SAVEE,0
Layer 5,5,0.5646,0.0202,0.5576,w2v-BERT,SAVEE,0
Layer 6,6,0.5417,0.0432,0.5365,w2v-BERT,SAVEE,0
Layer 7,7,0.5292,0.0564,0.518,w2v-BERT,SAVEE,0
Layer 8,8,0.4792,0.0432,0.4747,w2v-BERT,SAVEE,0
Layer 9,9,0.5667,0.0554,0.5607,w2v-BERT,SAVEE,0
Layer 10,10,0.5146,0.0268,0.5087,w2v-BERT,SAVEE,0
Layer 11,11,0.5042,0.0169,0.4975,w2v-BERT,SAVEE,0
Layer 12,12,0.4833,0.0654,0.4789,w2v-BERT,SAVEE,0
