Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.8748,0.0281,0.8754,wav2vec2,EmoDB,clean
Layer 1,1,0.914,0.0161,0.9128,wav2vec2,EmoDB,clean
Layer 2,2,0.929,0.0358,0.9271,wav2vec2,EmoDB,clean
Layer 3,3,0.9439,0.0277,0.9433,wav2vec2,EmoDB,clean
Layer 4,4,0.9514,0.0254,0.9509,wav2vec2,EmoDB,clean
Layer 5,5,0.957,0.0163,0.9566,wav2vec2,EmoDB,clean
Layer 6,6,0.9682,0.0127,0.9681,wav2vec2,EmoDB,clean
Layer 7,7,0.9776,0.0095,0.9774,wav2vec2,EmoDB,clean
Layer 8,8,0.9738,0.0124,0.9735,wav2vec2,EmoDB,clean
Layer 9,9,0.9701,0.007,0.9699,wav2vec2,EmoDB,clean
Layer 10,10,0.9514,0.0181,0.9514,wav2vec2,EmoDB,clean
Layer 11,11,0.9477,0.0152,0.9476,wav2vec2,EmoDB,clean
Layer 12,12,0.9458,0.007,0.9454,wav2vec2,EmoDB,clean
Layer 13,13,0.9252,0.0084,0.9253,wav2vec2,EmoDB,clean
Layer 14,14,0.9047,0.0161,0.9044,wav2vec2,EmoDB,clean
Layer 15,15,0.9065,0.0213,0.9062,wav2vec2,EmoDB,clean
Layer 16,16,0.9084,0.0247,0.9076,wav2vec2,EmoDB,clean
Layer 17,17,0.8953,0.0286,0.8944,wav2vec2,EmoDB,clean
Layer 18,18,0.9178,0.028,0.9168,wav2vec2,EmoDB,clean
Layer 19,19,0.8766,0.0336,0.8753,wav2vec2,EmoDB,clean
Layer 20,20,0.8636,0.0449,0.8618,wav2vec2,EmoDB,clean
Layer 21,21,0.8019,0.0286,0.7994,wav2vec2,EmoDB,clean
Layer 22,22,0.7757,0.0156,0.7708,wav2vec2,EmoDB,clean
Layer 23,23,0.7084,0.0533,0.7012,wav2vec2,EmoDB,clean
Layer 24,24,0.585,0.0226,0.5753,wav2vec2,EmoDB,clean
CNN,0,0.5589,0.0436,0.5572,wav2vec2,EmoDB,0
Layer 1,1,0.6374,0.0482,0.6364,wav2vec2,EmoDB,0
Layer 2,2,0.6766,0.0255,0.6701,wav2vec2,EmoDB,0
Layer 3,3,0.7121,0.0298,0.705,wav2vec2,EmoDB,0
Layer 4,4,0.7364,0.026,0.7327,wav2vec2,EmoDB,0
Layer 5,5,0.7645,0.0298,0.7609,wav2vec2,EmoDB,0
Layer 6,6,0.7738,0.0517,0.7703,wav2vec2,EmoDB,0
Layer 7,7,0.7607,0.0327,0.7552,wav2vec2,EmoDB,0
Layer 8,8,0.8,0.0441,0.795,wav2vec2,EmoDB,0
Layer 9,9,0.7589,0.0485,0.7545,wav2vec2,EmoDB,0
Layer 10,10,0.7664,0.0535,0.7615,wav2vec2,EmoDB,0
Layer 11,11,0.7645,0.0499,0.7584,wav2vec2,EmoDB,0
Layer 12,12,0.7178,0.0347,0.7127,wav2vec2,EmoDB,0
Layer 13,13,0.6953,0.0381,0.6888,wav2vec2,EmoDB,0
Layer 14,14,0.6729,0.0469,0.6649,wav2vec2,EmoDB,0
Layer 15,15,0.6804,0.0352,0.6743,wav2vec2,EmoDB,0
Layer 16,16,0.6822,0.0296,0.6725,wav2vec2,EmoDB,0
Layer 17,17,0.6935,0.0216,0.6857,wav2vec2,EmoDB,0
Layer 18,18,0.686,0.0226,0.6734,wav2vec2,EmoDB,0
Layer 19,19,0.6579,0.0248,0.6505,wav2vec2,EmoDB,0
Layer 20,20,0.6131,0.0348,0.6068,wav2vec2,EmoDB,0
Layer 21,21,0.5589,0.0171,0.5523,wav2vec2,EmoDB,0
Layer 22,22,0.5252,0.0513,0.5192,wav2vec2,EmoDB,0
Layer 23,23,0.4879,0.0436,0.4786,wav2vec2,EmoDB,0
Layer 24,24,0.443,0.0358,0.4319,wav2vec2,EmoDB,0
CNN,0,0.7121,0.0459,0.7073,wav2vec2,EmoDB,10
Layer 1,1,0.785,0.0244,0.7849,wav2vec2,EmoDB,10
Layer 2,2,0.8131,0.0177,0.8107,wav2vec2,EmoDB,10
Layer 3,3,0.8374,0.0226,0.8346,wav2vec2,EmoDB,10
Layer 4,4,0.8841,0.0192,0.8827,wav2vec2,EmoDB,10
Layer 5,5,0.8935,0.0255,0.8926,wav2vec2,EmoDB,10
Layer 6,6,0.9103,0.0152,0.9096,wav2vec2,EmoDB,10
Layer 7,7,0.9065,0.0102,0.9053,wav2vec2,EmoDB,10
Layer 8,8,0.9084,0.015,0.9067,wav2vec2,EmoDB,10
Layer 9,9,0.9009,0.0348,0.8997,wav2vec2,EmoDB,10
Layer 10,10,0.8991,0.0247,0.8976,wav2vec2,EmoDB,10
Layer 11,11,0.8822,0.0293,0.8795,wav2vec2,EmoDB,10
Layer 12,12,0.8879,0.0364,0.8851,wav2vec2,EmoDB,10
Layer 13,13,0.8523,0.0247,0.8479,wav2vec2,EmoDB,10
Layer 14,14,0.8393,0.0247,0.8346,wav2vec2,EmoDB,10
Layer 15,15,0.8523,0.0361,0.8472,wav2vec2,EmoDB,10
Layer 16,16,0.8112,0.0273,0.8068,wav2vec2,EmoDB,10
Layer 17,17,0.7981,0.0268,0.7939,wav2vec2,EmoDB,10
Layer 18,18,0.8168,0.0381,0.8128,wav2vec2,EmoDB,10
Layer 19,19,0.7907,0.0268,0.788,wav2vec2,EmoDB,10
Layer 20,20,0.7421,0.0348,0.7353,wav2vec2,EmoDB,10
Layer 21,21,0.7103,0.035,0.706,wav2vec2,EmoDB,10
Layer 22,22,0.6636,0.0469,0.6577,wav2vec2,EmoDB,10
Layer 23,23,0.5981,0.0588,0.5906,wav2vec2,EmoDB,10
Layer 24,24,0.4822,0.0412,0.4722,wav2vec2,EmoDB,10
CNN,0,0.7738,0.0326,0.7714,wav2vec2,EmoDB,20
Layer 1,1,0.8636,0.0241,0.8635,wav2vec2,EmoDB,20
Layer 2,2,0.8935,0.0192,0.8914,wav2vec2,EmoDB,20
Layer 3,3,0.9196,0.0192,0.9185,wav2vec2,EmoDB,20
Layer 4,4,0.9308,0.0095,0.9301,wav2vec2,EmoDB,20
Layer 5,5,0.9327,0.0181,0.9322,wav2vec2,EmoDB,20
Layer 6,6,0.9402,0.0192,0.9401,wav2vec2,EmoDB,20
Layer 7,7,0.9402,0.0226,0.9398,wav2vec2,EmoDB,20
Layer 8,8,0.9458,0.0037,0.9454,wav2vec2,EmoDB,20
Layer 9,9,0.9308,0.0192,0.9299,wav2vec2,EmoDB,20
Layer 10,10,0.9383,0.0241,0.9377,wav2vec2,EmoDB,20
Layer 11,11,0.9327,0.0298,0.9315,wav2vec2,EmoDB,20
Layer 12,12,0.8935,0.0255,0.8911,wav2vec2,EmoDB,20
Layer 13,13,0.8991,0.0273,0.8978,wav2vec2,EmoDB,20
Layer 14,14,0.8991,0.0232,0.8958,wav2vec2,EmoDB,20
Layer 15,15,0.8879,0.0177,0.8855,wav2vec2,EmoDB,20
Layer 16,16,0.8804,0.0216,0.878,wav2vec2,EmoDB,20
Layer 17,17,0.871,0.0298,0.8675,wav2vec2,EmoDB,20
Layer 18,18,0.8523,0.0273,0.8483,wav2vec2,EmoDB,20
Layer 19,19,0.8243,0.0496,0.8215,wav2vec2,EmoDB,20
Layer 20,20,0.8318,0.0378,0.827,wav2vec2,EmoDB,20
Layer 21,21,0.7589,0.0403,0.756,wav2vec2,EmoDB,20
Layer 22,22,0.7178,0.0161,0.7161,wav2vec2,EmoDB,20
Layer 23,23,0.6542,0.0307,0.6494,wav2vec2,EmoDB,20
Layer 24,24,0.5252,0.0352,0.5162,wav2vec2,EmoDB,20
