Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.639,0.0163,0.6388,wav2vec2,IEMOCAP,clean
Layer 1,1,0.6342,0.0114,0.6342,wav2vec2,IEMOCAP,clean
Layer 2,2,0.6306,0.0185,0.6305,wav2vec2,IEMOCAP,clean
Layer 3,3,0.6278,0.0076,0.6278,wav2vec2,IEMOCAP,clean
Layer 4,4,0.6368,0.0101,0.6366,wav2vec2,IEMOCAP,clean
Layer 5,5,0.6313,0.0208,0.631,wav2vec2,IEMOCAP,clean
Layer 6,6,0.6385,0.0119,0.6381,wav2vec2,IEMOCAP,clean
Layer 7,7,0.6218,0.0109,0.6214,wav2vec2,IEMOCAP,clean
Layer 8,8,0.6408,0.0109,0.6405,wav2vec2,IEMOCAP,clean
Layer 9,9,0.6381,0.0177,0.638,wav2vec2,IEMOCAP,clean
Layer 10,10,0.6278,0.0116,0.6275,wav2vec2,IEMOCAP,clean
Layer 11,11,0.6211,0.013,0.6208,wav2vec2,IEMOCAP,clean
Layer 12,12,0.6179,0.0095,0.6174,wav2vec2,IEMOCAP,clean
Layer 13,13,0.6103,0.011,0.6099,wav2vec2,IEMOCAP,clean
Layer 14,14,0.6044,0.007,0.6043,wav2vec2,IEMOCAP,clean
Layer 15,15,0.6152,0.0159,0.6148,wav2vec2,IEMOCAP,clean
Layer 16,16,0.6095,0.0191,0.6094,wav2vec2,IEMOCAP,clean
Layer 17,17,0.6101,0.0155,0.6099,wav2vec2,IEMOCAP,clean
Layer 18,18,0.6134,0.0184,0.6134,wav2vec2,IEMOCAP,clean
Layer 19,19,0.6156,0.0191,0.6154,wav2vec2,IEMOCAP,clean
Layer 20,20,0.6011,0.0132,0.6008,wav2vec2,IEMOCAP,clean
Layer 21,21,0.6011,0.0142,0.6006,wav2vec2,IEMOCAP,clean
Layer 22,22,0.5795,0.0166,0.5788,wav2vec2,IEMOCAP,clean
Layer 23,23,0.5487,0.0125,0.5482,wav2vec2,IEMOCAP,clean
Layer 24,24,0.4991,0.0143,0.4982,wav2vec2,IEMOCAP,clean
CNN,0,0.4692,0.0122,0.4692,wav2vec2,IEMOCAP,0
Layer 1,1,0.4647,0.0124,0.464,wav2vec2,IEMOCAP,0
Layer 2,2,0.4615,0.0182,0.4612,wav2vec2,IEMOCAP,0
Layer 3,3,0.4826,0.0131,0.4825,wav2vec2,IEMOCAP,0
Layer 4,4,0.4729,0.0144,0.4723,wav2vec2,IEMOCAP,0
Layer 5,5,0.4712,0.0182,0.4708,wav2vec2,IEMOCAP,0
Layer 6,6,0.481,0.012,0.4804,wav2vec2,IEMOCAP,0
Layer 7,7,0.4912,0.0203,0.4908,wav2vec2,IEMOCAP,0
Layer 8,8,0.489,0.0053,0.4883,wav2vec2,IEMOCAP,0
Layer 9,9,0.48,0.0113,0.4795,wav2vec2,IEMOCAP,0
Layer 10,10,0.4947,0.0137,0.4943,wav2vec2,IEMOCAP,0
Layer 11,11,0.4949,0.0191,0.4944,wav2vec2,IEMOCAP,0
Layer 12,12,0.4806,0.0151,0.4802,wav2vec2,IEMOCAP,0
Layer 13,13,0.4749,0.0164,0.4741,wav2vec2,IEMOCAP,0
Layer 14,14,0.4705,0.0111,0.4699,wav2vec2,IEMOCAP,0
Layer 15,15,0.4676,0.019,0.4672,wav2vec2,IEMOCAP,0
Layer 16,16,0.4614,0.0144,0.4609,wav2vec2,IEMOCAP,0
Layer 17,17,0.4665,0.0165,0.4655,wav2vec2,IEMOCAP,0
Layer 18,18,0.4634,0.0195,0.4629,wav2vec2,IEMOCAP,0
Layer 19,19,0.454,0.0166,0.4536,wav2vec2,IEMOCAP,0
Layer 20,20,0.4471,0.0038,0.4466,wav2vec2,IEMOCAP,0
