Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.8808,0.0209,0.8806,wav2vec2,RAVDESS,clean
Layer 1,1,0.9093,0.0135,0.9096,wav2vec2,RAVDESS,clean
Layer 2,2,0.9236,0.0139,0.9237,wav2vec2,RAVDESS,clean
Layer 3,3,0.9361,0.0078,0.9363,wav2vec2,RAVDESS,clean
Layer 4,4,0.9521,0.0057,0.9521,wav2vec2,RAVDESS,clean
Layer 5,5,0.9542,0.0076,0.9543,wav2vec2,RAVDESS,clean
Layer 6,6,0.9542,0.0159,0.9542,wav2vec2,RAVDESS,clean
Layer 7,7,0.9516,0.0175,0.9515,wav2vec2,RAVDESS,clean
Layer 8,8,0.9581,0.0106,0.9582,wav2vec2,RAVDESS,clean
Layer 9,9,0.9495,0.0035,0.9497,wav2vec2,RAVDESS,clean
Layer 10,10,0.9508,0.0089,0.9508,wav2vec2,RAVDESS,clean
Layer 11,11,0.9512,0.0133,0.9512,wav2vec2,RAVDESS,clean
Layer 12,12,0.9486,0.013,0.9488,wav2vec2,RAVDESS,clean
Layer 13,13,0.9495,0.0144,0.9497,wav2vec2,RAVDESS,clean
Layer 14,14,0.9508,0.0131,0.951,wav2vec2,RAVDESS,clean
Layer 15,15,0.9447,0.016,0.945,wav2vec2,RAVDESS,clean
Layer 16,16,0.9374,0.0071,0.9375,wav2vec2,RAVDESS,clean
Layer 17,17,0.9383,0.0149,0.9384,wav2vec2,RAVDESS,clean
Layer 18,18,0.9335,0.0078,0.9337,wav2vec2,RAVDESS,clean
Layer 19,19,0.9275,0.0186,0.9278,wav2vec2,RAVDESS,clean
Layer 20,20,0.9214,0.0132,0.9215,wav2vec2,RAVDESS,clean
Layer 21,21,0.9123,0.0105,0.9122,wav2vec2,RAVDESS,clean
Layer 22,22,0.8968,0.0069,0.8968,wav2vec2,RAVDESS,clean
Layer 23,23,0.8692,0.0144,0.8692,wav2vec2,RAVDESS,clean
Layer 24,24,0.8333,0.0098,0.8333,wav2vec2,RAVDESS,clean
CNN,0,0.3761,0.0064,0.3762,wav2vec2,RAVDESS,0
Layer 1,1,0.3959,0.0274,0.3952,wav2vec2,RAVDESS,0
Layer 2,2,0.437,0.0228,0.4368,wav2vec2,RAVDESS,0
