Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.6771,0.028,0.6712,wav2vec2,SAVEE,clean
Layer 1,1,0.7292,0.0287,0.7269,wav2vec2,SAVEE,clean
Layer 2,2,0.7458,0.0376,0.7419,wav2vec2,SAVEE,clean
Layer 3,3,0.7583,0.0414,0.7545,wav2vec2,SAVEE,clean
Layer 4,4,0.7896,0.0275,0.7845,wav2vec2,SAVEE,clean
Layer 5,5,0.7958,0.0141,0.7928,wav2vec2,SAVEE,clean
Layer 6,6,0.8021,0.0147,0.7998,wav2vec2,SAVEE,clean
Layer 7,7,0.8208,0.0319,0.8199,wav2vec2,SAVEE,clean
Layer 8,8,0.8188,0.0169,0.8174,wav2vec2,SAVEE,clean
Layer 9,9,0.8375,0.0234,0.8356,wav2vec2,SAVEE,clean
Layer 10,10,0.8375,0.044,0.8358,wav2vec2,SAVEE,clean
Layer 11,11,0.8292,0.0284,0.8274,wav2vec2,SAVEE,clean
Layer 12,12,0.8542,0.0114,0.8537,wav2vec2,SAVEE,clean
Layer 13,13,0.8583,0.0169,0.857,wav2vec2,SAVEE,clean
Layer 14,14,0.8583,0.0234,0.8575,wav2vec2,SAVEE,clean
Layer 15,15,0.8333,0.0329,0.8339,wav2vec2,SAVEE,clean
Layer 16,16,0.8396,0.0193,0.8394,wav2vec2,SAVEE,clean
Layer 17,17,0.8208,0.0339,0.8214,wav2vec2,SAVEE,clean
Layer 18,18,0.7917,0.0342,0.7899,wav2vec2,SAVEE,clean
Layer 19,19,0.7938,0.0259,0.7933,wav2vec2,SAVEE,clean
Layer 20,20,0.7688,0.0202,0.7665,wav2vec2,SAVEE,clean
Layer 21,21,0.7458,0.0234,0.7443,wav2vec2,SAVEE,clean
Layer 22,22,0.7375,0.029,0.7322,wav2vec2,SAVEE,clean
Layer 23,23,0.6625,0.0214,0.6588,wav2vec2,SAVEE,clean
Layer 24,24,0.5292,0.0241,0.5268,wav2vec2,SAVEE,clean
CNN,0,0.3042,0.0775,0.3069,wav2vec2,SAVEE,0
Layer 1,1,0.3604,0.0795,0.351,wav2vec2,SAVEE,0
Layer 2,2,0.3833,0.0529,0.3765,wav2vec2,SAVEE,0
Layer 3,3,0.4021,0.0252,0.3983,wav2vec2,SAVEE,0
Layer 4,4,0.4125,0.0631,0.3997,wav2vec2,SAVEE,0
Layer 5,5,0.3875,0.0576,0.3793,wav2vec2,SAVEE,0
Layer 6,6,0.3958,0.0551,0.3882,wav2vec2,SAVEE,0
Layer 7,7,0.4375,0.0456,0.4299,wav2vec2,SAVEE,0
Layer 8,8,0.4458,0.0775,0.4397,wav2vec2,SAVEE,0
Layer 9,9,0.4021,0.05,0.3935,wav2vec2,SAVEE,0
Layer 10,10,0.4062,0.0411,0.3983,wav2vec2,SAVEE,0
Layer 11,11,0.4229,0.0299,0.4064,wav2vec2,SAVEE,0
Layer 12,12,0.4312,0.0364,0.4212,wav2vec2,SAVEE,0
Layer 13,13,0.4562,0.0332,0.4466,wav2vec2,SAVEE,0
Layer 14,14,0.4312,0.0399,0.4231,wav2vec2,SAVEE,0
Layer 15,15,0.4292,0.0533,0.418,wav2vec2,SAVEE,0
Layer 16,16,0.4375,0.0531,0.4291,wav2vec2,SAVEE,0
Layer 17,17,0.4,0.0455,0.383,wav2vec2,SAVEE,0
Layer 18,18,0.3833,0.0345,0.3787,wav2vec2,SAVEE,0
Layer 19,19,0.3604,0.0517,0.3584,wav2vec2,SAVEE,0
Layer 20,20,0.3583,0.0234,0.3511,wav2vec2,SAVEE,0
Layer 21,21,0.3333,0.0578,0.3291,wav2vec2,SAVEE,0
Layer 22,22,0.2958,0.0588,0.2866,wav2vec2,SAVEE,0
Layer 23,23,0.2688,0.0429,0.2644,wav2vec2,SAVEE,0
Layer 24,24,0.2146,0.0284,0.2069,wav2vec2,SAVEE,0
CNN,0,0.3729,0.0454,0.3683,wav2vec2,SAVEE,10
Layer 1,1,0.4188,0.0676,0.4095,wav2vec2,SAVEE,10
Layer 2,2,0.4958,0.0156,0.4903,wav2vec2,SAVEE,10
Layer 3,3,0.4854,0.0464,0.4744,wav2vec2,SAVEE,10
Layer 4,4,0.5396,0.0537,0.5303,wav2vec2,SAVEE,10
Layer 5,5,0.5146,0.0469,0.5027,wav2vec2,SAVEE,10
Layer 6,6,0.5479,0.0399,0.54,wav2vec2,SAVEE,10
Layer 7,7,0.5938,0.0437,0.5848,wav2vec2,SAVEE,10
Layer 8,8,0.5958,0.0481,0.5899,wav2vec2,SAVEE,10
Layer 9,9,0.6104,0.0388,0.6054,wav2vec2,SAVEE,10
Layer 10,10,0.6021,0.0561,0.5996,wav2vec2,SAVEE,10
Layer 11,11,0.6375,0.0647,0.6324,wav2vec2,SAVEE,10
Layer 12,12,0.6792,0.0508,0.6774,wav2vec2,SAVEE,10
Layer 13,13,0.6896,0.0369,0.6899,wav2vec2,SAVEE,10
Layer 14,14,0.6646,0.0549,0.6584,wav2vec2,SAVEE,10
Layer 15,15,0.6375,0.0481,0.6375,wav2vec2,SAVEE,10
Layer 16,16,0.6688,0.0357,0.6628,wav2vec2,SAVEE,10
Layer 17,17,0.6625,0.058,0.657,wav2vec2,SAVEE,10
Layer 18,18,0.6375,0.0319,0.6306,wav2vec2,SAVEE,10
Layer 19,19,0.6292,0.043,0.6237,wav2vec2,SAVEE,10
Layer 20,20,0.5812,0.063,0.5755,wav2vec2,SAVEE,10
Layer 21,21,0.5896,0.0557,0.5878,wav2vec2,SAVEE,10
Layer 22,22,0.5375,0.0388,0.5334,wav2vec2,SAVEE,10
Layer 23,23,0.4708,0.0275,0.4719,wav2vec2,SAVEE,10
Layer 24,24,0.3854,0.0432,0.3811,wav2vec2,SAVEE,10
CNN,0,0.4583,0.0417,0.4513,wav2vec2,SAVEE,20
Layer 1,1,0.5208,0.0555,0.5104,wav2vec2,SAVEE,20
Layer 2,2,0.6042,0.0452,0.6016,wav2vec2,SAVEE,20
Layer 3,3,0.6354,0.0461,0.6305,wav2vec2,SAVEE,20
Layer 4,4,0.6437,0.0616,0.6415,wav2vec2,SAVEE,20
Layer 5,5,0.6542,0.0549,0.6509,wav2vec2,SAVEE,20
Layer 6,6,0.6646,0.0369,0.6578,wav2vec2,SAVEE,20
Layer 7,7,0.7083,0.0497,0.7014,wav2vec2,SAVEE,20
Layer 8,8,0.7292,0.0497,0.7265,wav2vec2,SAVEE,20
Layer 9,9,0.7458,0.0268,0.7424,wav2vec2,SAVEE,20
Layer 10,10,0.7458,0.0599,0.7441,wav2vec2,SAVEE,20
Layer 11,11,0.7396,0.0422,0.7364,wav2vec2,SAVEE,20
Layer 12,12,0.7521,0.0369,0.748,wav2vec2,SAVEE,20
Layer 13,13,0.7604,0.048,0.7598,wav2vec2,SAVEE,20
Layer 14,14,0.7521,0.0561,0.7491,wav2vec2,SAVEE,20
