Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4529,0.0067,0.3946
Layer 1,1,0.4359,0.0072,0.4023
Layer 2,2,0.4258,0.0045,0.4052
Layer 3,3,0.4161,0.0077,0.4
Layer 4,4,0.417,0.0045,0.4031
Layer 5,5,0.4237,0.0076,0.4096
Layer 6,6,0.4246,0.0066,0.4117
Layer 7,7,0.4257,0.0062,0.4116
Layer 8,8,0.4246,0.005,0.4127
Layer 9,9,0.4221,0.0077,0.4093
Layer 10,10,0.4317,0.0029,0.4184
Layer 11,11,0.4317,0.008,0.4173
Layer 12,12,0.4335,0.0075,0.4183
Layer 13,13,0.4338,0.007,0.4206
Layer 14,14,0.4366,0.0076,0.423
Layer 15,15,0.4339,0.0068,0.4221
Layer 16,16,0.4342,0.0037,0.4236
Layer 17,17,0.4354,0.0046,0.4257
Layer 18,18,0.4341,0.0076,0.425
Layer 19,19,0.4406,0.0066,0.4312
Layer 20,20,0.4368,0.0041,0.4285
Layer 21,21,0.4325,0.0046,0.4242
Layer 22,22,0.4369,0.0039,0.428
Layer 23,23,0.4376,0.007,0.4253
Layer 24,24,0.4391,0.0041,0.4262
