Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4594,0.0047,0.4055
Layer 1,1,0.4505,0.0058,0.4154
Layer 2,2,0.441,0.0075,0.4148
Layer 3,3,0.4343,0.0051,0.4123
Layer 4,4,0.4292,0.0048,0.4104
Layer 5,5,0.4265,0.0082,0.4105
Layer 6,6,0.4266,0.0058,0.4115
Layer 7,7,0.4308,0.0049,0.4149
Layer 8,8,0.4271,0.0056,0.4122
Layer 9,9,0.4239,0.004,0.4091
Layer 10,10,0.4299,0.0054,0.4153
Layer 11,11,0.4303,0.0035,0.4156
Layer 12,12,0.4299,0.0065,0.4156
Layer 13,13,0.4295,0.0043,0.4147
Layer 14,14,0.4239,0.0038,0.4098
Layer 15,15,0.426,0.0054,0.4113
Layer 16,16,0.4211,0.011,0.4075
Layer 17,17,0.4219,0.0052,0.4077
Layer 18,18,0.4182,0.0068,0.4035
Layer 19,19,0.4142,0.0072,0.3998
Layer 20,20,0.4162,0.0088,0.4014
Layer 21,21,0.4183,0.0097,0.4024
Layer 22,22,0.4165,0.0067,0.4004
Layer 23,23,0.4207,0.0057,0.4047
Layer 24,24,0.4277,0.0024,0.4086
