Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4149,0.0026,0.3514
Layer 1,1,0.4006,0.0049,0.3592
Layer 2,2,0.3909,0.0033,0.3612
Layer 3,3,0.39,0.008,0.3666
Layer 4,4,0.3898,0.0055,0.3694
Layer 5,5,0.3867,0.0032,0.3678
Layer 6,6,0.388,0.0081,0.3701
Layer 7,7,0.3908,0.0027,0.3734
Layer 8,8,0.3904,0.0091,0.3733
Layer 9,9,0.3957,0.002,0.3768
Layer 10,10,0.3988,0.0055,0.3798
Layer 11,11,0.3922,0.0065,0.3733
Layer 12,12,0.3862,0.0086,0.369
Layer 13,13,0.3885,0.0042,0.3709
Layer 14,14,0.3874,0.0059,0.3694
Layer 15,15,0.383,0.0041,0.3655
Layer 16,16,0.3803,0.0064,0.3642
Layer 17,17,0.3826,0.0024,0.3666
Layer 18,18,0.3836,0.0042,0.3676
Layer 19,19,0.3797,0.0043,0.3639
Layer 20,20,0.3833,0.0087,0.3675
Layer 21,21,0.3801,0.0058,0.3633
Layer 22,22,0.383,0.0036,0.3651
Layer 23,23,0.3774,0.0053,0.3613
Layer 24,24,0.3752,0.0051,0.3583
