Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4744,0.0036,0.4164
Layer 1,1,0.4585,0.0049,0.4276
Layer 2,2,0.4444,0.0045,0.4221
Layer 3,3,0.4407,0.0087,0.4231
Layer 4,4,0.4409,0.0047,0.4258
Layer 5,5,0.4374,0.0015,0.4218
Layer 6,6,0.4419,0.0066,0.4276
Layer 7,7,0.4416,0.0048,0.4274
Layer 8,8,0.441,0.0054,0.4282
Layer 9,9,0.4412,0.0077,0.4287
Layer 10,10,0.4464,0.0071,0.4338
Layer 11,11,0.4484,0.0092,0.4352
Layer 12,12,0.45,0.0112,0.4364
Layer 13,13,0.447,0.0069,0.4337
Layer 14,14,0.446,0.0075,0.433
Layer 15,15,0.4489,0.0037,0.4368
Layer 16,16,0.4518,0.0027,0.4418
Layer 17,17,0.4566,0.0047,0.4486
Layer 18,18,0.4573,0.0076,0.449
Layer 19,19,0.4564,0.0062,0.4494
Layer 20,20,0.4542,0.0047,0.4466
Layer 21,21,0.4537,0.0082,0.4451
Layer 22,22,0.4596,0.0079,0.4475
Layer 23,23,0.4573,0.0084,0.4458
Layer 24,24,0.4587,0.0059,0.4444
