Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4814,0.0027,0.4211
Layer 1,1,0.4692,0.0024,0.424
Layer 2,2,0.4589,0.0082,0.4249
Layer 3,3,0.4556,0.0031,0.4287
Layer 4,4,0.4495,0.0042,0.4286
Layer 5,5,0.4493,0.0083,0.4311
Layer 6,6,0.4448,0.0082,0.4301
Layer 7,7,0.4427,0.0034,0.429
Layer 8,8,0.448,0.0027,0.4321
Layer 9,9,0.448,0.0065,0.4335
Layer 10,10,0.4392,0.0069,0.4253
Layer 11,11,0.4444,0.0084,0.4312
Layer 12,12,0.4462,0.0093,0.4338
Layer 13,13,0.4472,0.0088,0.436
Layer 14,14,0.4434,0.0059,0.4329
Layer 15,15,0.4494,0.0045,0.4393
Layer 16,16,0.4494,0.0032,0.44
Layer 17,17,0.4453,0.0067,0.4381
Layer 18,18,0.4456,0.0071,0.4381
Layer 19,19,0.4473,0.0035,0.4402
Layer 20,20,0.4558,0.0107,0.4487
Layer 21,21,0.4493,0.0067,0.4429
Layer 22,22,0.4576,0.0121,0.4516
Layer 23,23,0.4552,0.0056,0.4493
Layer 24,24,0.4558,0.0096,0.452
