Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4607,0.0063,0.4167
Layer 1,1,0.4366,0.0055,0.4128
Layer 2,2,0.4225,0.0063,0.4048
Layer 3,3,0.4248,0.0023,0.4108
Layer 4,4,0.4273,0.0061,0.4159
Layer 5,5,0.4332,0.0063,0.4201
Layer 6,6,0.4342,0.0055,0.4216
Layer 7,7,0.4341,0.0069,0.424
Layer 8,8,0.4252,0.0028,0.414
Layer 9,9,0.4262,0.0052,0.4167
Layer 10,10,0.4311,0.0052,0.4219
Layer 11,11,0.4398,0.0035,0.4289
Layer 12,12,0.4337,0.0063,0.4249
Layer 13,13,0.4258,0.0072,0.4172
Layer 14,14,0.4264,0.0074,0.4174
Layer 15,15,0.4196,0.0088,0.4119
Layer 16,16,0.4238,0.007,0.4146
Layer 17,17,0.424,0.0051,0.4144
Layer 18,18,0.4192,0.006,0.4071
Layer 19,19,0.4324,0.0044,0.4195
Layer 20,20,0.4282,0.0071,0.4123
Layer 21,21,0.4162,0.0072,0.3993
Layer 22,22,0.4167,0.0072,0.3952
Layer 23,23,0.4026,0.0053,0.3795
Layer 24,24,0.3861,0.0014,0.3605
