Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4382,0.0039,0.3944
Layer 1,1,0.4115,0.0139,0.3927
Layer 2,2,0.4048,0.0023,0.3909
Layer 3,3,0.4043,0.0014,0.3919
Layer 4,4,0.4081,0.0043,0.3951
Layer 5,5,0.4108,0.0029,0.3989
Layer 6,6,0.421,0.0077,0.409
Layer 7,7,0.4194,0.003,0.4085
Layer 8,8,0.411,0.0029,0.4016
Layer 9,9,0.4153,0.0036,0.4064
Layer 10,10,0.4171,0.0028,0.4067
Layer 11,11,0.4134,0.0069,0.4027
Layer 12,12,0.425,0.006,0.4145
Layer 13,13,0.4181,0.0031,0.4086
Layer 14,14,0.4207,0.0054,0.4126
Layer 15,15,0.4129,0.0057,0.4054
Layer 16,16,0.4155,0.0076,0.4063
Layer 17,17,0.4159,0.0051,0.4053
Layer 18,18,0.4087,0.005,0.3965
Layer 19,19,0.4121,0.005,0.3983
Layer 20,20,0.4102,0.0032,0.3936
Layer 21,21,0.4108,0.0066,0.3912
Layer 22,22,0.4087,0.0068,0.3865
Layer 23,23,0.396,0.0079,0.3733
Layer 24,24,0.3816,0.0112,0.3555
