Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.4594,0.0047,0.4055,MERT,MSP-Podcast,clean
Layer 1,1,0.4505,0.0058,0.4154,MERT,MSP-Podcast,clean
Layer 2,2,0.441,0.0075,0.4148,MERT,MSP-Podcast,clean
Layer 3,3,0.4343,0.0051,0.4123,MERT,MSP-Podcast,clean
Layer 4,4,0.4292,0.0048,0.4104,MERT,MSP-Podcast,clean
Layer 5,5,0.4265,0.0082,0.4105,MERT,MSP-Podcast,clean
Layer 6,6,0.4266,0.0058,0.4115,MERT,MSP-Podcast,clean
Layer 7,7,0.4308,0.0049,0.4149,MERT,MSP-Podcast,clean
Layer 8,8,0.4271,0.0056,0.4122,MERT,MSP-Podcast,clean
Layer 9,9,0.4239,0.004,0.4091,MERT,MSP-Podcast,clean
Layer 10,10,0.4299,0.0054,0.4153,MERT,MSP-Podcast,clean
Layer 11,11,0.4303,0.0035,0.4156,MERT,MSP-Podcast,clean
Layer 12,12,0.4299,0.0065,0.4156,MERT,MSP-Podcast,clean
Layer 13,13,0.4295,0.0043,0.4147,MERT,MSP-Podcast,clean
Layer 14,14,0.4239,0.0038,0.4098,MERT,MSP-Podcast,clean
Layer 15,15,0.426,0.0054,0.4113,MERT,MSP-Podcast,clean
Layer 16,16,0.4211,0.011,0.4075,MERT,MSP-Podcast,clean
Layer 17,17,0.4219,0.0052,0.4077,MERT,MSP-Podcast,clean
Layer 18,18,0.4182,0.0068,0.4035,MERT,MSP-Podcast,clean
Layer 19,19,0.4142,0.0072,0.3998,MERT,MSP-Podcast,clean
Layer 20,20,0.4162,0.0088,0.4014,MERT,MSP-Podcast,clean
Layer 21,21,0.4183,0.0097,0.4024,MERT,MSP-Podcast,clean
Layer 22,22,0.4165,0.0067,0.4004,MERT,MSP-Podcast,clean
Layer 23,23,0.4207,0.0057,0.4047,MERT,MSP-Podcast,clean
Layer 24,24,0.4277,0.0024,0.4086,MERT,MSP-Podcast,clean
CNN,0,0.4149,0.0026,0.3514,MERT,MSP-Podcast,0
Layer 1,1,0.4006,0.0049,0.3592,MERT,MSP-Podcast,0
Layer 2,2,0.3909,0.0033,0.3612,MERT,MSP-Podcast,0
Layer 3,3,0.39,0.008,0.3666,MERT,MSP-Podcast,0
Layer 4,4,0.3898,0.0055,0.3694,MERT,MSP-Podcast,0
Layer 5,5,0.3867,0.0032,0.3678,MERT,MSP-Podcast,0
Layer 6,6,0.388,0.0081,0.3701,MERT,MSP-Podcast,0
Layer 7,7,0.3908,0.0027,0.3734,MERT,MSP-Podcast,0
Layer 8,8,0.3904,0.0091,0.3733,MERT,MSP-Podcast,0
Layer 9,9,0.3957,0.002,0.3768,MERT,MSP-Podcast,0
Layer 10,10,0.3988,0.0055,0.3798,MERT,MSP-Podcast,0
Layer 11,11,0.3922,0.0065,0.3733,MERT,MSP-Podcast,0
Layer 12,12,0.3862,0.0086,0.369,MERT,MSP-Podcast,0
Layer 13,13,0.3885,0.0042,0.3709,MERT,MSP-Podcast,0
Layer 14,14,0.3874,0.0059,0.3694,MERT,MSP-Podcast,0
Layer 15,15,0.383,0.0041,0.3655,MERT,MSP-Podcast,0
Layer 16,16,0.3803,0.0064,0.3642,MERT,MSP-Podcast,0
Layer 17,17,0.3826,0.0024,0.3666,MERT,MSP-Podcast,0
Layer 18,18,0.3836,0.0042,0.3676,MERT,MSP-Podcast,0
Layer 19,19,0.3797,0.0043,0.3639,MERT,MSP-Podcast,0
Layer 20,20,0.3833,0.0087,0.3675,MERT,MSP-Podcast,0
Layer 21,21,0.3801,0.0058,0.3633,MERT,MSP-Podcast,0
Layer 22,22,0.383,0.0036,0.3651,MERT,MSP-Podcast,0
Layer 23,23,0.3774,0.0053,0.3613,MERT,MSP-Podcast,0
Layer 24,24,0.3752,0.0051,0.3583,MERT,MSP-Podcast,0
CNN,0,0.4359,0.0079,0.3758,MERT,MSP-Podcast,10
Layer 1,1,0.413,0.0078,0.377,MERT,MSP-Podcast,10
Layer 2,2,0.4036,0.0041,0.3783,MERT,MSP-Podcast,10
Layer 3,3,0.4039,0.0046,0.3821,MERT,MSP-Podcast,10
Layer 4,4,0.4069,0.0064,0.387,MERT,MSP-Podcast,10
Layer 5,5,0.403,0.0063,0.3861,MERT,MSP-Podcast,10
Layer 6,6,0.3972,0.0052,0.3823,MERT,MSP-Podcast,10
Layer 7,7,0.4053,0.007,0.3894,MERT,MSP-Podcast,10
Layer 8,8,0.4028,0.0076,0.3875,MERT,MSP-Podcast,10
Layer 9,9,0.407,0.0072,0.3916,MERT,MSP-Podcast,10
Layer 10,10,0.4037,0.0014,0.3872,MERT,MSP-Podcast,10
Layer 11,11,0.4089,0.0062,0.3926,MERT,MSP-Podcast,10
Layer 12,12,0.401,0.0031,0.3847,MERT,MSP-Podcast,10
Layer 13,13,0.4043,0.007,0.3872,MERT,MSP-Podcast,10
Layer 14,14,0.4062,0.0033,0.3896,MERT,MSP-Podcast,10
Layer 15,15,0.4015,0.0042,0.3858,MERT,MSP-Podcast,10
Layer 16,16,0.4043,0.0044,0.3885,MERT,MSP-Podcast,10
Layer 17,17,0.4022,0.0079,0.3877,MERT,MSP-Podcast,10
Layer 18,18,0.4015,0.0082,0.3863,MERT,MSP-Podcast,10
Layer 19,19,0.3989,0.0061,0.384,MERT,MSP-Podcast,10
Layer 20,20,0.3981,0.0024,0.3839,MERT,MSP-Podcast,10
Layer 21,21,0.3991,0.0065,0.3835,MERT,MSP-Podcast,10
Layer 22,22,0.3958,0.0055,0.3818,MERT,MSP-Podcast,10
Layer 23,23,0.397,0.0064,0.3821,MERT,MSP-Podcast,10
Layer 24,24,0.3969,0.0053,0.3811,MERT,MSP-Podcast,10
CNN,0,0.4411,0.0052,0.3846,MERT,MSP-Podcast,20
Layer 1,1,0.421,0.0043,0.3869,MERT,MSP-Podcast,20
Layer 2,2,0.4133,0.0092,0.3877,MERT,MSP-Podcast,20
Layer 3,3,0.411,0.0044,0.3911,MERT,MSP-Podcast,20
